,SMILES
0,c1sc(c2c1sc([N+](=O)[O-])c2)
1,c1sccc1NC=C
2,c1oc(cc1C=O)C=C
3,c1sc(c2c1[C@H](C#N)CC[C@H]2C#N)C=C
4,c1c(C#N)sc(OC)c1C=C
5,c(s1)c2c(=O)n(CC)c(=O)c2c1C=C
6,c1sc(c2c1CC[C@@H](C(=O)O)C2)C=C
7,c1c(C#N)sc(OC)c1
8,c1sc(c2c1c(C(=O)C(F)(F)F)ccc2)
9,c1sccc1O
10,C1=CC2=CC(=NC2=C1)C=C
11,c1sc(c2c1C[C@H](F)[C@@H](F)C2)
12,c1sc(c2c1CC[C@@H](C)C2)C=C
13,c1sc(c2c1cc(OC)cc2)C=C
14,c1sc(c2c1[C@H](N(=O)=O)CC[C@H]2N(=O)=O)C=C
15,c1sc(c2c1[C@H](C(=O)C)CCC2)C=C
16,C/C=C\1/OCCC(OCC1)C=C
17,c1sc(c2c1cc(F)c(F)c2)C=C
18,c1sc(c2c1sc(C(=O)CC)c2F)
19,c1sc(c2c1C(=O)CCC2=O)
20,c1nnc(nn1)
21,C1=Cc2[nH]c(cc2C1)
22,C1=Cc2cc3=CC(=Cc3cc2=C1)
23,c1occ(C)c1C=C
24,C1=C2C(OC1=O)c1c(cc(O)o1)C=C2C=C
25,c1cc(N(=O)=O)c(cc1)
26,c1cc2c(cc1)c1c(C2)cc(cc1)
27,C1=C(N(=O)=O)C=C/C/1=C\1/C=CC(N(=O)=O)=C1C=C
28,c1cc(c2c(c1)c1c(s2)cccc1)
29,N1cc2c3c(c1)ccc1c3c(cc2)cN(c1)
30,c1c2c(ncc(C)n2)c(s1)
31,C1=C(F)C=C/C/1=C\1/C(=CC(=C1)F)
32,c1c2c(=O)sc(=O)c2c(c2c1c(=O)oc2=O)
33,c1sc(c2c1nc(CN)c(CN)n2)
34,c1sc(c2c1C[C@H](C(F)(F)F)[C@@H](C#N)C2)
35,c1oc(nn1)
36,c1oc(c(c1O)C(=O)O)C=C
37,c1c2nc(CC)c(CC)nc2c(s1)
38,c1cccc2c1N(C)C(=O)C2C1C(=O)N(C)c2cc(ccc12)
