gen,filename,score
1,"[158, 225]",1.887
1,"[203, 386]",2.077
1,"[117, 328]",2.147
1,"[147, 420]",2.164
1,"[201, 386]",2.166
1,"[141, 260]",2.177
1,"[235, 325]",2.246
1,"[247, 322]",2.25
1,"[95, 419]",2.28
1,"[288, 364]",2.302
1,"[172, 412]",2.317
1,"[128, 264]",2.426
1,"[312, 355]",2.461
1,"[6, 81]",2.549
1,"[225, 275]",2.571
1,"[176, 184]",2.608
1,"[82, 350]",2.612
1,"[27, 220]",2.656
1,"[349, 394]",2.715
1,"[40, 386]",2.752
1,"[65, 287]",2.754
1,"[43, 275]",2.93
1,"[216, 287]",2.987
1,"[239, 401]",2.991
1,"[59, 89]",2.994
1,"[16, 233]",3.054
1,"[228, 422]",3.185
1,"[5, 314]",3.247
1,"[365, 430]",3.379
1,"[350, 406]",3.503
1,"[273, 399]",3.718
1,"[220, 299]",4.138
2,"[158, 225]",1.887
2,"[203, 386]",2.077
2,"[117, 328]",2.147
2,"[147, 420]",2.164
2,"[201, 386]",2.166
2,"[141, 260]",2.177
2,"[264, 312]",2.195
2,"[235, 325]",2.246
2,"[247, 322]",2.25
2,"[95, 419]",2.28
2,"[288, 364]",2.302
2,"[172, 412]",2.317
2,"[172, 260]",2.373
2,"[121, 239]",2.409
2,"[128, 264]",2.426
2,"[312, 355]",2.461
2,"[180, 201]",2.509
2,"[40, 420]",2.526
2,"[6, 81]",2.549
2,"[225, 275]",2.571
2,"[176, 184]",2.608
2,"[128, 325]",2.622
2,"[239, 328]",2.637
2,"[81, 436]",2.798
2,"[81, 228]",2.893
2,"[128, 225]",3.092
2,"[83, 314]",3.163
2,"[65, 314]",3.191
2,"[216, 350]",3.355
2,"[43, 225]",3.562
2,"[16, 299]",4.111
2,"[5, 299]",4.121
3,"[158, 225]",1.887
3,"[141, 386]",1.948
3,"[11, 420]",2.057
3,"[91, 420]",2.076
3,"[203, 386]",2.077
3,"[19, 420]",2.121
3,"[117, 328]",2.147
3,"[147, 420]",2.164
3,"[201, 386]",2.166
3,"[141, 260]",2.177
3,"[264, 312]",2.195
3,"[105, 386]",2.226
3,"[235, 325]",2.246
3,"[150, 420]",2.25
3,"[247, 322]",2.25
3,"[95, 419]",2.28
3,"[223, 436]",2.298
3,"[288, 364]",2.302
3,"[141, 239]",2.307
3,"[95, 364]",2.31
3,"[172, 412]",2.317
3,"[172, 260]",2.373
3,"[121, 239]",2.409
3,"[128, 264]",2.426
3,"[312, 355]",2.461
3,"[121, 299]",2.603
3,"[76, 128]",2.738
3,"[168, 436]",2.751
3,"[147, 205]",2.86
3,"[43, 81]",3.098
3,"[144, 247]",3.194
3,"[106, 312]",3.353
4,"[147, 266]",1.147
4,"[158, 225]",1.887
4,"[141, 386]",1.948
4,"[121, 420]",2.037
4,"[312, 420]",2.05
4,"[11, 420]",2.057
4,"[91, 420]",2.076
4,"[203, 386]",2.077
4,"[19, 420]",2.121
4,"[171, 364]",2.123
4,"[117, 328]",2.147
4,"[147, 420]",2.164
4,"[141, 355]",2.165
4,"[201, 386]",2.166
4,"[158, 322]",2.173
4,"[141, 260]",2.177
4,"[264, 264]",2.193
4,"[264, 312]",2.195
4,"[105, 386]",2.226
4,"[11, 386]",2.227
4,"[235, 325]",2.246
4,"[247, 322]",2.25
4,"[150, 420]",2.25
4,"[95, 419]",2.28
4,"[340, 420]",2.305
4,"[121, 311]",2.332
4,"[260, 290]",2.338
4,"[288, 325]",2.378
4,"[201, 225]",2.563
4,"[128, 288]",2.763
4,"[128, 355]",2.805
4,"[76, 377]",3.058
5,"[147, 266]",1.147
5,"[158, 225]",1.887
5,"[141, 386]",1.948
5,"[121, 420]",2.037
5,"[141, 420]",2.037
5,"[312, 420]",2.05
5,"[11, 420]",2.057
5,"[147, 311]",2.061
5,"[91, 420]",2.076
5,"[203, 386]",2.077
5,"[244, 420]",2.096
5,"[203, 264]",2.115
5,"[19, 420]",2.121
5,"[171, 364]",2.123
5,"[121, 419]",2.141
5,"[117, 328]",2.147
5,"[147, 420]",2.164
5,"[141, 355]",2.165
5,"[201, 386]",2.166
5,"[158, 322]",2.173
5,"[141, 260]",2.177
5,"[231, 322]",2.228
5,"[150, 420]",2.25
5,"[11, 376]",2.286
5,"[76, 419]",2.347
5,"[19, 385]",2.359
5,"[95, 127]",2.409
5,"[147, 290]",2.97
5,"[150, 290]",3.153
5,"[105, 398]",3.159
5,"[11, 260]",3.521
5,"[11, 225]",3.599
6,"[121, 266]",1.082
6,"[147, 266]",1.147
6,"[158, 225]",1.887
6,"[8, 95]",1.891
6,"[141, 386]",1.948
6,"[171, 386]",2.018
6,"[141, 420]",2.037
6,"[121, 420]",2.037
6,"[312, 420]",2.05
6,"[11, 420]",2.057
