gen,min_score,med_score,max_score,spearman,conv_counter
1,1.503,2.84,4.602,0,0
2,1.503,2.464,3.679,0.9999999999999999,1
3,1.503,2.352,4.923,-0.09090909090909088,0
4,1.503,2.165,2.84,0.0303030303030303,0
5,1.503,2.123,4.027,0.19999999999999998,0
6,1.223,2.115,4.012,0.7454545454545454,1
7,1.223,2.078,3.271,0.07878787878787878,0
8,1.223,2.068,3.765,0.22424242424242422,0
9,1.223,1.995,3.841,0.5515151515151515,0
10,1.223,1.974,4.243,0.35757575757575755,0
11,1.166,1.951,10,0.6363636363636362,0
12,1.166,1.928,3.408,0.33333333333333326,0
13,1.166,1.919,10,0.3696969696969697,0
14,1.166,1.767,10,-0.0303030303030303,0
15,1.166,1.726,10,0.7454545454545454,1
16,1.166,1.71,10,0.5636363636363636,0
17,1.166,1.627,10,0.9515151515151514,1
18,1.166,1.503,10,0.8909090909090909,2
19,0.564,1.426,10,0.5151515151515151,0
20,0.564,1.426,4.589,0.8787878787878788,1
21,0.564,1.404,10,0.9999999999999999,2
22,0.564,1.341,10,0.8787878787878788,3
23,0.564,1.286,10,0.9999999999999999,4
24,0.564,1.264,10,0.8060606060606059,5
25,0.564,1.247,10,0.9515151515151514,6
26,0.564,1.244,10,0.7696969696969697,7
27,0.564,1.242,3.653,0.9757575757575757,8
28,0.564,1.234,10,0.9393939393939393,9
29,0.564,1.234,10,0.5878787878787878,0
30,0.564,1.231,3.27,0.9999999999999999,1
31,0.564,1.217,10,0.9999999999999999,2
32,0.564,1.217,10,0.5636363636363636,0
33,0.564,1.199,10,0.9878787878787878,1
34,0.564,1.197,10,0.9999999999999999,2
35,0.564,1.197,10,0.9272727272727272,3
36,0.564,1.197,10,0.9878787878787878,4
37,0.564,1.196,10,0.9636363636363635,5
38,0.564,1.188,4.197,0.9999999999999999,6
39,0.564,1.185,4.423,0.7939393939393938,7
40,0.564,1.184,3.971,0.3696969696969697,0
41,0.564,1.184,10,0.6727272727272726,0
42,0.564,1.172,10,0.9515151515151514,1
43,0.564,1.172,10,0.9999999999999999,2
44,0.564,1.172,10,0.6484848484848483,0
45,0.564,1.172,10,0.6969696969696969,0
46,0.564,1.166,10,0.6727272727272726,0
