run,conv_gen,champion,coverage,speedup
opt_bg_A,50,1.0,4,145.32365747460088
opt_bg_B,47,17.0,2,158.93333333333334
opt_bg_C,38,141.0,0,184.3977900552486
opt_bg_D,24,306.0,0,277.3628808864266
opt_bg_E,41,4.0,7,178.8
polar_A,37,1.0,20,189.99620493358634
polar_B,39,4.0,9,179.11985688729874
polar_C,32,1.0,23,217.19739696312365
polar_D,23,156.0,0,287.7241379310345
polar_E,36,1.0,16,191.08396946564886
solv_eng_A,65,1.0,12,118.35460992907801
solv_eng_B,29,2.0,5,232.85581395348837
solv_eng_C,41,9.0,5,171.74614065180103
solv_eng_D,52,2.0,15,137.72764786795048
solv_eng_E,50,30.0,2,142.22727272727272
