,Run Label,Champion,Coverage,Speedup
polar,A,1.0,55,44.62032085561497
polar,B,1.0,63,48.91450903761602
polar,C,1.0,71,44.031662269129285
polar,D,1.0,58,41.25587144622991
polar,E,1.0,90,24.023032629558543
opt_bg,A,1.0,32,41.306930693069305
opt_bg,B,1.0,35,34.3492281303602
opt_bg,C,1.0,36,26.629787234042553
opt_bg,D,32.0,9,27.12026002166847
opt_bg,E,1.0,41,27.32751091703057
solv_eng,A,1.0,23,49.49480968858131
solv_eng,B,1.0,50,29.614906832298136
solv_eng,C,1.0,41,28.855331412103748
solv_eng,D,2.0,19,53.31629392971246
solv_eng,E,1.0,54,23.02851885924563
