,Run Label,Champion,Coverage,Speedup
polar,A,1.0,43,46.50627032048305
polar,B,1.0,74,45.554140127388536
polar,C,1.0,51,50.620829120323556
polar,D,1.0,61,40.42309245054501
polar,E,1.0,82,30.005394066526822
opt_bg,A,1.0,22,58.31566686080373
opt_bg,B,41.0,5,71.52
opt_bg,C,1.0,22,64.06142034548944
opt_bg,D,9.0,7,59.67103694874851
opt_bg,E,4.0,5,52.45049764274489
solv_eng,A,16.0,17,65.83037475345168
solv_eng,B,3.0,18,56.69762174405436
solv_eng,C,2.0,11,100.32865731462925
solv_eng,D,2.0,30,49.76540755467197
solv_eng,E,1.0,40,39.15838873680094
