,Run Label,Champion,Coverage,Speedup
polar,A,1.0,46,85.94678111587983
polar,B,1.0,69,39.70182394924663
polar,C,1.0,49,69.2448132780083
polar,D,1.0,37,80.7483870967742
polar,E,1.0,56,57.67741935483871
opt_bg,A,4.0,17,67.24513096037609
opt_bg,B,34.0,7,54.18181818181818
opt_bg,C,1.0,13,69.82426778242677
opt_bg,D,1.0,22,42.14141414141414
opt_bg,E,1.0,28,68.16065350578624
solv_eng,A,5.0,27,56.37837837837838
solv_eng,B,30.0,4,104.08316008316008
solv_eng,C,5.0,22,80.16653322658127
solv_eng,D,1.0,45,48.986301369863014
solv_eng,E,14.0,19,74.5
