,Run Label,Champion,Coverage,Speedup
polar,A,1.0,91,30.18631293337353
polar,B,2.0,45,46.87640449438202
polar,C,1.0,79,40.76872964169381
polar,D,1.0,69,38.144
polar,E,2.0,37,39.498224852071004
polar,F,1.0,78,50.74911302584896
polar,G,1.0,77,56.729745042492915
polar,H,1.0,82,33.20995024875622
polar,I,1.0,76,40.3741935483871
polar,J,1.0,67,59.635497319833235
opt_bg,A,4.0,4,72.76744186046511
opt_bg,B,41.0,7,87.44803493449781
opt_bg,C,4.0,7,36.988548208348725
opt_bg,D,1.0,22,52.15
opt_bg,E,9.0,5,79.8468899521531
opt_bg,F,1.0,45,48.16161616161616
opt_bg,G,1.0,23,58.829612220916566
opt_bg,H,41.0,7,40.93540474243663
opt_bg,I,1.0,40,41.52965574450435
opt_bg,J,1.0,34,56.92325184764071
