,Run Label,Champion,Coverage,Speedup
polar,A,1.0,86,41.75479566305254
polar,B,1.0,78,46.44155844155844
polar,C,1.0,73,47.03053076561766
polar,D,1.0,56,59.6
polar,E,4.0,31,53.43009605122732
polar,F,1.0,64,46.810659186535766
polar,G,1.0,84,33.838458938830684
polar,H,1.0,93,29.84441132637854
polar,I,1.0,77,53.54438502673797
polar,J,1.0,64,59.635497319833235
opt_bg,A,1.0,47,45.306787330316745
opt_bg,B,41.0,9,40.702439024390245
opt_bg,C,9.0,15,68.86382393397524
opt_bg,D,1.0,42,34.899965144649705
opt_bg,E,1.0,29,38.8997668997669
opt_bg,F,4.0,6,43.8580814717477
opt_bg,G,11.0,17,80.87883683360259
opt_bg,H,9.0,8,60.57350272232305
opt_bg,I,41.0,8,56.15703869882221
opt_bg,J,9.0,8,93.66510757717494
