,Run Label,Champion,Coverage,Speedup
polar,A,1.0,91,40.702439024390245
polar,B,1.0,83,52.89381933438986
polar,C,1.0,72,79.02762430939227
polar,D,1.0,79,47.00845070422535
polar,E,1.0,78,58.52016364699006
opt_bg,A,1.0,38,38.15853658536585
opt_bg,B,41.0,8,38.54041570438799
opt_bg,C,4.0,15,36.636663007683865
opt_bg,D,1.0,20,51.55921730175077
opt_bg,E,9.0,7,47.45402843601896
solv_eng,A,3.0,31,46.20581449007845
solv_eng,B,1.0,35,57.67741935483871
solv_eng,C,1.0,31,71.46895074946467
solv_eng,D,2.0,24,86.6159169550173
solv_eng,E,1.0,47,39.18904109589041
