,Run Label,Champion,Coverage,Speedup
polar,A,1.0,74,48.605825242718446
polar,B,1.0,85,34.88780487804878
polar,C,1.0,82,27.469958847736624
polar,D,1.0,67,39.12778429073857
polar,E,1.0,60,36.35729847494554
opt_bg,A,1.0,19,44.880322725235324
opt_bg,B,7.0,13,42.30164765525982
opt_bg,C,1.0,31,44.501333333333335
opt_bg,D,9.0,3,49.348447511089205
opt_bg,E,1.0,9,49.790154152163105
solv_eng,A,1.0,52,32.60436339954412
solv_eng,B,1.0,38,44.3436669619132
solv_eng,C,1.0,61,26.516949152542374
solv_eng,D,1.0,33,50.67206477732793
solv_eng,E,1.0,44,35.04655232761638
