gen,filename,score
1,"[100, 427]",1.511
1,"[69, 300]",1.526
1,"[131, 328]",1.825
1,"[263, 399]",1.848
1,"[8, 431]",1.943
1,"[145, 284]",2.154
1,"[90, 257]",2.187
1,"[73, 216]",2.198
1,"[188, 287]",2.239
1,"[204, 350]",2.25
1,"[194, 392]",2.342
1,"[339, 403]",2.354
1,"[17, 132]",2.368
1,"[166, 432]",2.403
1,"[124, 289]",2.447
1,"[4, 335]",2.465
1,"[206, 339]",2.528
1,"[221, 385]",2.539
1,"[84, 168]",2.55
1,"[405, 424]",2.689
1,"[148, 267]",2.704
1,"[169, 202]",2.722
1,"[261, 393]",3.224
1,"[114, 442]",3.28
1,"[135, 161]",3.287
1,"[217, 316]",3.721
1,"[209, 255]",3.793
1,"[102, 155]",4.022
1,"[250, 255]",4.148
1,"[43, 316]",4.173
1,"[132, 341]",4.346
1,"[234, 374]",10
2,"[100, 427]",1.511
2,"[69, 300]",1.526
2,"[69, 359]",1.547
2,"[131, 328]",1.825
2,"[17, 287]",2.211
2,"[17, 385]",2.223
2,"[158, 424]",2.283
2,"[168, 204]",2.29
2,"[161, 188]",2.391
2,"[73, 77]",2.397
2,"[84, 287]",2.4
2,"[100, 399]",2.476
2,"[124, 257]",2.53
2,"[148, 393]",2.542
2,"[101, 114]",2.603
2,"[187, 328]",2.614
2,"[114, 289]",2.623
2,"[102, 300]",2.623
2,"[399, 408]",2.678
2,"[132, 350]",2.795
2,"[4, 442]",2.874
2,"[94, 393]",2.913
2,"[114, 328]",2.935
2,"[114, 385]",2.943
2,"[148, 392]",3.009
2,"[100, 255]",3.021
2,"[209, 385]",3.077
2,"[148, 316]",3.17
2,"[300, 405]",3.192
2,"[102, 321]",3.216
2,"[102, 255]",3.659
2,"[135, 399]",3.79
3,"[69, 442]",1.442
3,"[100, 427]",1.511
3,"[69, 300]",1.526
3,"[69, 359]",1.547
3,"[263, 359]",1.932
3,"[100, 289]",2.058
3,"[17, 424]",2.132
3,"[17, 204]",2.158
3,"[300, 431]",2.239
3,"[17, 393]",2.266
3,"[17, 328]",2.267
3,"[102, 286]",2.282
3,"[148, 289]",2.307
3,"[84, 424]",2.328
3,"[219, 442]",2.386
3,"[148, 417]",2.412
3,"[101, 385]",2.412
3,"[148, 328]",2.457
3,"[100, 399]",2.476
3,"[168, 287]",2.516
3,"[206, 255]",2.573
3,"[161, 350]",2.636
3,"[257, 382]",2.751
3,"[114, 287]",3.071
3,"[4, 424]",3.174
3,"[102, 405]",3.194
3,"[114, 240]",3.466
3,"[77, 161]",3.561
3,"[273, 399]",3.718
3,"[114, 299]",3.799
3,"[114, 321]",3.835
3,"[132, 316]",4.14
4,"[69, 442]",1.442
4,"[69, 287]",1.497
4,"[100, 427]",1.511
4,"[69, 300]",1.526
4,"[69, 417]",1.538
4,"[69, 427]",1.545
4,"[263, 328]",1.773
4,"[263, 286]",1.936
4,"[100, 289]",2.058
4,"[17, 167]",2.136
4,"[3, 17]",2.223
4,"[17, 393]",2.266
4,"[102, 442]",2.298
4,"[148, 424]",2.434
4,"[102, 424]",2.466
4,"[114, 424]",2.495
4,"[167, 287]",2.534
4,"[161, 326]",2.67
4,"[69, 424]",2.686
4,"[399, 422]",2.769
4,"[148, 295]",2.783
4,"[114, 350]",2.832
4,"[114, 161]",2.902
4,"[114, 328]",2.935
4,"[32, 219]",3.005
4,"[114, 414]",3.066
4,"[114, 427]",3.225
4,"[328, 347]",3.301
4,"[299, 375]",3.679
4,"[156, 328]",3.833
4,"[102, 316]",4.241
4,"[100, 351]",10
5,"[347, 356]",0.797
5,"[69, 414]",1.081
5,"[69, 442]",1.442
5,"[69, 287]",1.497
5,"[100, 427]",1.511
5,"[69, 366]",1.562
5,"[388, 427]",1.612
5,"[17, 427]",1.631
5,"[77, 286]",1.677
5,"[69, 422]",1.748
5,"[69, 289]",1.796
5,"[148, 421]",2.034
5,"[102, 147]",2.049
5,"[17, 92]",2.084
5,"[33, 328]",2.094
