gen,filename,score
1,"[23, 354]",-0.18782075155324826
1,"[261, 436]",-0.09418252570379741
1,"[42, 261]",0.0387010928831093
1,"[373, 414]",0.2897174368383282
1,"[168, 272]",0.4283699099094086
1,"[141, 403]",0.44723450444514
1,"[53, 231]",0.5325518662184174
1,"[42, 51]",0.5886062222214627
1,"[279, 409]",0.7505554448537477
1,"[76, 249]",0.7564561538740032
1,"[273, 396]",0.8356060455968815
1,"[52, 71]",0.9973974796948963
1,"[171, 325]",1.091727837652565
1,"[25, 311]",1.0992106892319138
1,"[239, 433]",1.2686467646106316
1,"[278, 291]",1.5068048410319568
1,"[349, 393]",1.839063871463265
1,"[62, 75]",1.868885790226031
1,"[32, 109]",1.9050358051668754
1,"[83, 147]",2.1316657369791847
1,"[314, 439]",2.3685466453204516
1,"[59, 159]",2.384245346691668
1,"[181, 394]",2.4680230510644674
1,"[81, 244]",2.6065892945143356
1,"[28, 442]",3.063073848169484
1,"[79, 107]",3.2287869158482487
1,"[86, 92]",4.520790263872721
1,"[23, 152]",5.343723834093724
1,"[319, 418]",7.509909248743193
1,"[195, 318]",9.463145546485215
1,"[133, 357]",21.118812289307836
1,"[137, 418]",21.1444571514614
2,"[23, 354]",-0.18782075155324826
2,"[130, 272]",-0.10692644682082118
2,"[261, 436]",-0.09418252570379741
2,"[42, 261]",0.0387010928831093
2,"[261, 357]",0.16458848443402438
2,"[373, 414]",0.2897174368383282
2,"[53, 71]",0.30945950906865655
2,"[76, 109]",0.43805677126276826
2,"[436, 439]",0.5026244455374032
2,"[325, 385]",0.5241783681598382
2,"[159, 404]",0.5452761117263324
2,"[86, 409]",0.6122326250487911
2,"[239, 244]",0.7723569419248675
2,"[79, 414]",0.8644086810722358
2,"[42, 391]",0.9493361582641977
2,"[32, 147]",1.0782194421987756
2,"[171, 414]",1.3141748405509877
2,"[279, 439]",1.4298767390961273
2,"[71, 181]",1.560684627039198
2,"[42, 440]",1.7879350128388607
2,"[249, 273]",1.7881569192876219
2,"[28, 393]",2.2317614306046356
2,"[168, 325]",2.3289481445952434
2,"[159, 165]",2.437083061399625
2,"[291, 293]",2.9315121647803073
2,"[231, 349]",3.012503775251096
2,"[81, 318]",3.176212883085405
2,"[181, 433]",4.087094335017223
2,"[133, 394]",7.832813106391865
2,"[137, 159]",8.945720065529779
2,"[362, 433]",12.418662965806769
2,"[23, 433]",27.193563340691234
3,"[23, 354]",-0.18782075155324826
3,"[71, 261]",-0.14985581121647065
3,"[239, 261]",-0.13991067431985862
3,"[130, 272]",-0.10692644682082118
3,"[261, 436]",-0.09418252570379741
3,"[272, 325]",-0.03070629735044858
3,"[42, 261]",0.0387010928831093
3,"[279, 404]",0.09935563640921277
3,"[42, 272]",0.1863559544406614
3,"[3, 391]",0.44456305806208857
3,"[52, 325]",0.5192980926278659
