gen,filename,score
1,"[216, 302]",1.427
1,"[385, 414]",1.754
1,"[22, 177]",1.891
1,"[177, 337]",2.011
1,"[57, 96]",2.014
1,"[204, 444]",2.094
1,"[118, 262]",2.196
1,"[322, 358]",2.253
1,"[146, 376]",2.26
1,"[231, 388]",2.477
1,"[76, 140]",2.497
1,"[262, 287]",2.503
1,"[125, 201]",2.517
1,"[166, 408]",2.558
1,"[129, 400]",2.726
1,"[101, 129]",2.747
1,"[55, 326]",2.76
1,"[219, 261]",2.805
1,"[321, 354]",2.808
1,"[160, 279]",2.886
1,"[19, 405]",2.915
1,"[189, 262]",2.951
1,"[164, 329]",3.075
1,"[19, 277]",3.112
1,"[240, 279]",3.169
1,"[32, 413]",3.379
1,"[81, 181]",3.423
1,"[83, 405]",3.494
1,"[133, 426]",3.692
1,"[156, 358]",3.874
1,"[11, 383]",4.46
1,"[60, 155]",4.735
2,"[160, 302]",1.373
2,"[216, 302]",1.427
2,"[385, 414]",1.754
2,"[22, 177]",1.891
2,"[337, 369]",1.922
2,"[177, 337]",2.011
2,"[57, 96]",2.014
2,"[204, 444]",2.094
2,"[146, 337]",2.137
2,"[118, 262]",2.196
2,"[322, 358]",2.253
2,"[177, 385]",2.302
2,"[19, 201]",2.394
2,"[231, 287]",2.412
2,"[57, 140]",2.487
2,"[81, 408]",2.488
2,"[22, 148]",2.492
2,"[166, 177]",2.513
2,"[140, 166]",2.573
2,"[160, 358]",2.587
2,"[19, 358]",2.628
2,"[166, 354]",2.637
2,"[240, 262]",2.815
2,"[22, 325]",2.874
2,"[216, 358]",2.899
2,"[204, 211]",2.91
2,"[118, 383]",3.258
2,"[83, 279]",3.518
2,"[81, 261]",3.625
2,"[193, 383]",3.987
2,"[16, 400]",4.422
2,"[266, 321]",10
3,"[160, 302]",1.373
3,"[216, 302]",1.427
3,"[240, 414]",1.613
3,"[385, 414]",1.754
3,"[22, 177]",1.891
3,"[337, 369]",1.922
3,"[22, 263]",1.949
3,"[177, 337]",2.011
3,"[57, 96]",2.014
3,"[204, 444]",2.094
3,"[199, 322]",2.161
3,"[337, 400]",2.191
3,"[322, 358]",2.253
3,"[166, 337]",2.293
3,"[231, 325]",2.335
3,"[83, 163]",2.39
3,"[22, 140]",2.428
3,"[193, 199]",2.484
3,"[219, 231]",2.517
3,"[240, 402]",2.553
3,"[177, 301]",2.592
3,"[329, 358]",2.639
3,"[204, 369]",2.657
3,"[204, 348]",2.666
3,"[177, 393]",2.687
3,"[369, 411]",2.689
3,"[81, 398]",2.846
3,"[166, 440]",2.89
3,"[83, 358]",2.943
3,"[211, 358]",3.269
3,"[81, 321]",3.291
3,"[140, 321]",3.474
4,"[166, 414]",1.225
4,"[177, 374]",1.36
4,"[160, 302]",1.373
4,"[177, 414]",1.413
4,"[216, 302]",1.427
4,"[373, 414]",1.503
4,"[240, 414]",1.613
4,"[6, 414]",1.668
4,"[385, 414]",1.754
4,"[22, 177]",1.891
4,"[72, 204]",1.912
4,"[337, 369]",1.922
4,"[22, 263]",1.949
4,"[177, 337]",2.011
4,"[337, 358]",2.104
4,"[204, 322]",2.163
4,"[204, 358]",2.21
4,"[57, 337]",2.251
4,"[322, 412]",2.302
4,"[83, 337]",2.31
4,"[177, 177]",2.388
4,"[358, 439]",2.583
4,"[204, 369]",2.657
4,"[166, 267]",2.682
4,"[83, 140]",2.876
4,"[240, 411]",2.885
4,"[240, 400]",2.935
4,"[166, 398]",3.022
4,"[140, 348]",3.064
4,"[329, 433]",3.064
4,"[25, 166]",3.095
4,"[193, 205]",4.965
5,"[240, 302]",1.171
5,"[166, 414]",1.225
5,"[177, 374]",1.36
5,"[160, 302]",1.373
5,"[193, 302]",1.374
5,"[177, 414]",1.413
5,"[216, 302]",1.427
5,"[373, 414]",1.503
5,"[240, 414]",1.613
5,"[6, 414]",1.668
5,"[385, 414]",1.754
5,"[177, 337]",2.011
5,"[72, 177]",2.019
5,"[112, 337]",2.048
5,"[177, 179]",2.179
5,"[22, 337]",2.286
5,"[216, 400]",2.296
5,"[72, 397]",2.342
5,"[267, 373]",2.464
5,"[373, 412]",2.637
5,"[204, 369]",2.657
5,"[14, 160]",2.678
5,"[204, 332]",2.737
5,"[204, 216]",2.758
5,"[177, 373]",2.836
5,"[25, 302]",3.042
5,"[3, 25]",3.269
5,"[140, 216]",3.503
5,"[78, 240]",3.543
5,"[179, 374]",10
5,"[204, 414]",10
5,"[309, 374]",10
6,"[216, 414]",1.047
6,"[193, 414]",1.054
6,"[240, 302]",1.171
6,"[166, 414]",1.225
6,"[177, 302]",1.343
6,"[190, 302]",1.344
6,"[177, 374]",1.36
6,"[160, 302]",1.373
6,"[193, 302]",1.374
6,"[177, 414]",1.413
6,"[216, 302]",1.427
6,"[302, 437]",1.431
6,"[373, 414]",1.503
6,"[204, 302]",1.518
6,"[72, 414]",1.656
6,"[72, 337]",1.941
6,"[302, 309]",2.228
6,"[22, 400]",2.368
6,"[31, 204]",2.395
6,"[22, 240]",2.403
6,"[100, 112]",2.482
6,"[177, 400]",2.515
6,"[32, 204]",2.517
6,"[177, 216]",2.747
6,"[25, 243]",2.935
6,"[177, 193]",3.076
