gen,filename,score
1,"[169, 202]",452.640107
1,"[84, 168]",509.849635
1,"[339, 403]",546.340654
1,"[263, 399]",553.439248
1,"[206, 339]",582.13013
1,"[209, 255]",592.965107
1,"[217, 316]",608.676365
1,"[73, 216]",610.713237
1,"[8, 431]",630.887515
1,"[17, 132]",647.815393
1,"[132, 341]",665.459808
1,"[90, 257]",666.961048
1,"[102, 155]",671.715786
1,"[261, 393]",677.767881
1,"[43, 316]",686.721578
1,"[204, 350]",688.68921
1,"[188, 287]",698.24075
1,"[4, 335]",750.403695
1,"[250, 255]",770.628445
1,"[194, 392]",782.258135
1,"[114, 442]",801.393161
1,"[166, 432]",808.556278
1,"[405, 424]",814.175393
1,"[124, 289]",829.970196
1,"[100, 427]",843.977067
1,"[69, 300]",847.401438
1,"[131, 328]",849.46173
1,"[221, 385]",896.071807
1,"[145, 284]",945.243841
1,"[234, 374]",1047.76713
1,"[148, 267]",1057.794276
1,"[135, 161]",1069.062147
2,"[90, 432]",494.938395
2,"[90, 316]",536.630745
2,"[84, 424]",600.789607
2,"[155, 158]",646.646565
2,"[8, 316]",647.969676
2,"[194, 289]",657.363263
2,"[8, 101]",657.717234
2,"[194, 316]",688.095332
2,"[73, 284]",729.171668
2,"[206, 255]",743.791871
2,"[206, 267]",752.075742
2,"[102, 267]",799.300333
2,"[4, 300]",799.741474
2,"[8, 335]",800.865607
2,"[187, 374]",812.113391
2,"[393, 405]",826.501403
2,"[100, 427]",843.977067
2,"[69, 300]",847.401438
2,"[131, 328]",849.46173
2,"[284, 408]",849.87137
2,"[77, 100]",873.670858
2,"[206, 321]",874.602557
2,"[221, 385]",896.071807
2,"[148, 359]",903.03846
2,"[124, 216]",924.59784
2,"[132, 148]",928.762816
2,"[145, 284]",945.243841
2,"[234, 374]",1047.76713
2,"[148, 267]",1057.794276
2,"[135, 161]",1069.062147
2,"[135, 255]",1085.859045
2,"[135, 284]",1130.245408
3,"[187, 286]",594.194372
3,"[4, 316]",597.746273
3,"[84, 158]",600.059191
3,"[8, 432]",605.909925
3,"[8, 359]",637.899565
3,"[194, 328]",658.084896
3,"[73, 161]",667.312915
3,"[161, 263]",682.65606
3,"[8, 417]",685.959515
3,"[382, 408]",791.229336
3,"[100, 273]",792.975314
3,"[299, 300]",821.077525
3,"[69, 284]",826.817339
3,"[100, 284]",832.943912
3,"[145, 267]",908.722771
3,"[124, 216]",924.59784
3,"[132, 148]",928.762816
3,"[124, 287]",929.220352
3,"[145, 284]",945.243841
3,"[194, 374]",967.089249
3,"[148, 206]",1000.346879
3,"[234, 374]",1047.76713
3,"[102, 148]",1047.82683
3,"[148, 267]",1057.794276
3,"[131, 405]",1060.651445
3,"[135, 161]",1069.062147
3,"[135, 255]",1085.859045
3,"[135, 267]",1093.328937
3,"[135, 284]",1130.245408
3,"[135, 405]",1131.900255
3,"[148, 234]",1161.925216
3,"[94, 255]",1555.649928
4,"[422, 432]",517.603788
4,"[326, 359]",520.306424
4,"[167, 284]",694.152725
4,"[158, 375]",705.771927
4,"[240, 287]",708.072497
4,"[161, 206]",727.476121
4,"[73, 284]",729.171668
4,"[194, 263]",730.265119
4,"[219, 300]",730.739111
4,"[84, 234]",738.40687
4,"[234, 431]",751.521223
4,"[267, 382]",787.596311
4,"[194, 267]",832.752155
4,"[100, 351]",867.847515
4,"[3, 234]",958.940889
4,"[124, 158]",970.366424
4,"[148, 286]",973.358998
4,"[131, 405]",1060.651445
4,"[135, 161]",1069.062147
4,"[267, 347]",1077.148944
4,"[135, 255]",1085.859045
4,"[135, 267]",1093.328937
4,"[148, 284]",1095.242411
4,"[135, 284]",1130.245408
4,"[135, 405]",1131.900255
4,"[148, 234]",1161.925216
4,"[135, 234]",1197.749567
4,"[135, 374]",1223.388972
4,"[148, 148]",1306.783501
4,"[135, 148]",1342.387447
4,"[94, 255]",1555.649928
4,"[94, 148]",1812.01783
5,"[219, 414]",499.094609
5,"[287, 326]",598.885365
5,"[161, 431]",623.06381
5,"[167, 382]",635.099095
5,"[73, 356]",635.879017
5,"[84, 405]",673.310602
5,"[267, 295]",679.635875
5,"[156, 234]",759.331278
5,"[167, 234]",761.124419
5,"[284, 419]",786.185712
5,"[212, 374]",797.843618
5,"[206, 345]",818.679744
5,"[55, 374]",860.453981
5,"[3, 88]",869.011794
5,"[194, 284]",869.781196
5,"[148, 167]",905.447837
5,"[77, 405]",925.849064
5,"[32, 131]",1014.943321
5,"[267, 421]",1079.516762
5,"[135, 255]",1085.859045
5,"[135, 284]",1130.245408
5,"[135, 405]",1131.900255
5,"[148, 234]",1161.925216
5,"[135, 234]",1197.749567
5,"[135, 374]",1223.388972
5,"[131, 347]",1290.494728
5,"[148, 148]",1306.783501
5,"[135, 148]",1342.387447
5,"[94, 255]",1555.649928
5,"[94, 267]",1563.293902
5,"[94, 300]",1621.158565
5,"[94, 148]",1812.01783
6,"[59, 73]",612.648375
6,"[272, 326]",629.546282
6,"[33, 431]",641.689775
6,"[147, 287]",671.731705
6,"[267, 326]",674.879899
6,"[356, 356]",697.580215
6,"[197, 300]",712.042309
6,"[77, 280]",753.78965
6,"[141, 194]",770.069228
6,"[184, 300]",807.752898
6,"[388, 405]",856.852187
6,"[3, 366]",881.810254
6,"[135, 414]",919.414533
6,"[234, 300]",970.992915
6,"[284, 374]",980.780873
6,"[148, 278]",1012.84298
6,"[88, 148]",1072.389789
6,"[135, 267]",1093.328937
6,"[148, 405]",1096.619062
6,"[92, 405]",1128.209836
6,"[135, 374]",1223.388972
6,"[131, 347]",1290.494728
6,"[148, 148]",1306.783501
6,"[135, 148]",1342.387447
6,"[94, 167]",1410.735939
6,"[94, 295]",1432.533731
6,"[94, 255]",1555.649928
6,"[94, 267]",1563.293902
6,"[94, 300]",1621.158565
6,"[94, 131]",1776.360125
6,"[234, 283]",1806.709183
6,"[94, 148]",1812.01783
7,"[9, 59]",522.485147
7,"[280, 417]",569.289545
7,"[246, 278]",610.868687
7,"[59, 356]",674.535358
7,"[267, 295]",679.635875
7,"[141, 278]",701.952958
7,"[280, 284]",713.310813
7,"[3, 280]",721.5957
7,"[180, 234]",766.455379
7,"[33, 424]",769.195577
7,"[184, 300]",807.752898
7,"[88, 436]",809.350423
7,"[267, 267]",809.396395
7,"[267, 388]",817.868698
7,"[267, 405]",847.94209
7,"[131, 167]",870.536381
7,"[148, 295]",927.101994
7,"[234, 444]",954.43219
7,"[148, 373]",955.099533
7,"[148, 405]",1096.619062
7,"[131, 234]",1126.742198
7,"[131, 148]",1271.304553
7,"[94, 431]",1401.552721
7,"[94, 167]",1410.735939
7,"[94, 295]",1432.533731
7,"[94, 441]",1497.61649
7,"[94, 255]",1555.649928
7,"[94, 267]",1563.293902
7,"[94, 300]",1621.158565
7,"[94, 131]",1776.360125
7,"[234, 283]",1806.709183
7,"[94, 148]",1812.01783
8,"[9, 295]",471.559039
8,"[167, 180]",511.031327
8,"[180, 350]",599.592546
