gen,filename,score
1,"[53, 73]",0.24575046902217648
1,"[412, 439]",0.6496032636161541
1,"[38, 71]",0.7298312187865953
1,"[87, 222]",0.805523952064251
1,"[407, 431]",0.8600927698712753
1,"[158, 348]",0.9375088561407207
1,"[25, 214]",0.94020373292185
1,"[320, 416]",0.947627465128723
1,"[17, 142]",0.9622380687238329
1,"[362, 429]",0.9776401948447889
1,"[101, 385]",1.0874260591246994
1,"[181, 309]",1.213035265405203
1,"[281, 329]",1.4335466966298054
1,"[44, 65]",1.4822143364759341
1,"[16, 90]",1.5955844069280185
1,"[64, 118]",1.6922438519887621
1,"[111, 196]",1.832939175366079
1,"[5, 224]",2.021637210416645
1,"[95, 427]",2.0840933615689354
1,"[187, 408]",2.284000392369598
1,"[249, 406]",2.4295941788712465
1,"[302, 353]",2.7752262740176428
1,"[21, 366]",2.872600893249655
1,"[94, 396]",2.919429163931817
1,"[87, 293]",3.2966060308078906
1,"[254, 353]",3.6269323763268635
1,"[195, 437]",3.8120114192131904
1,"[231, 359]",4.949134671611997
1,"[15, 267]",5.849200967001363
1,"[28, 303]",6.903683971224413
1,"[75, 303]",8.098221862271227
1,"[197, 435]",48.60981030568412
2,"[214, 352]",0.24208541630139177
2,"[53, 73]",0.24575046902217648
2,"[33, 196]",0.34124509557531313
2,"[412, 439]",0.6496032636161541
2,"[38, 71]",0.7298312187865953
2,"[87, 222]",0.805523952064251
2,"[407, 431]",0.8600927698712753
2,"[243, 431]",0.8940254493239917
2,"[158, 348]",0.9375088561407207
2,"[25, 214]",0.94020373292185
2,"[320, 416]",0.947627465128723
2,"[25, 90]",0.9531872647861002
2,"[38, 408]",1.0098965544354321
2,"[176, 435]",1.069881953942381
2,"[223, 320]",1.1602034843946691
2,"[95, 421]",1.2166530228180605
2,"[87, 429]",1.2857673570250876
2,"[44, 200]",1.3550715795175898
2,"[5, 427]",1.7179130860439054
2,"[71, 439]",1.7268087488392212
2,"[292, 303]",1.778284831396818
2,"[73, 386]",2.3520880332687755
2,"[71, 366]",4.20439637948484
2,"[303, 407]",4.425557131197416
2,"[293, 407]",4.902905655216194
2,"[28, 353]",6.151329288016749
2,"[111, 348]",7.078897303370946
2,"[353, 424]",7.865795875412436
2,"[197, 207]",7.9994505460529135
2,"[197, 303]",10.918902272140684
2,"[195, 293]",16.298561990968786
2,"[111, 435]",51.85942214829544
3,"[214, 352]",0.24208541630139177
3,"[53, 73]",0.24575046902217648
3,"[33, 196]",0.34124509557531313
3,"[196, 412]",0.43477320377610046
3,"[276, 431]",0.5824134383788966
3,"[412, 439]",0.6496032636161541
3,"[5, 431]",0.6936598635610425
3,"[38, 71]",0.7298312187865953
3,"[203, 320]",0.7841987704255488
3,"[87, 222]",0.805523952064251
3,"[25, 407]",0.814317913621193
3,"[407, 431]",0.8600927698712753
3,"[243, 431]",0.8940254493239917
3,"[38, 435]",0.9948939750386556
3,"[38, 366]",1.0525372982077117
3,"[25, 303]",1.0570502868758969
3,"[111, 320]",1.4289963428380998
3,"[33, 366]",1.4320885897803397
3,"[87, 439]",1.8646332711174962
3,"[100, 111]",1.9862513870984428
3,"[214, 292]",2.054036782851354
3,"[392, 407]",2.517315916059602
3,"[353, 416]",3.869823525750537
3,"[197, 407]",3.9993677532429586
3,"[111, 427]",4.769267796559122
3,"[71, 293]",4.872944746989045
3,"[111, 283]",7.1069453243404155
3,"[111, 214]",8.530727038875263
3,"[195, 298]",9.10098690858043
3,"[193, 195]",13.265108026386164
3,"[73, 197]",39.17592033938425
3,"[111, 197]",216.1491710527485
4,"[354, 439]",0.11213643557408037
4,"[214, 352]",0.24208541630139177
4,"[53, 73]",0.24575046902217648
4,"[25, 416]",0.3220261079213505
4,"[33, 196]",0.34124509557531313
4,"[196, 412]",0.43477320377610046
4,"[276, 431]",0.5824134383788966
4,"[412, 439]",0.6496032636161541
4,"[25, 439]",0.6869479450781316
4,"[5, 431]",0.6936598635610425
4,"[38, 71]",0.7298312187865953
4,"[33, 391]",0.8061507850348448
4,"[407, 412]",0.9052394303433451
4,"[38, 366]",1.0525372982077117
4,"[33, 303]",1.0963412855734762
4,"[197, 412]",1.1250102949942307
4,"[50, 73]",1.2236989261486193
4,"[111, 320]",1.4289963428380998
4,"[111, 431]",1.578519008530755
4,"[71, 155]",1.6871514143037607
4,"[5, 197]",1.8945311645446463
4,"[71, 374]",1.9152704114529902
4,"[214, 439]",1.9862388885859619
4,"[243, 247]",2.1171871214039517
4,"[73, 235]",2.1261547739073356
4,"[214, 427]",2.9108005260206053
4,"[195, 226]",3.5254102647167653
4,"[87, 283]",3.8337806391561418
4,"[111, 407]",4.958327003499775
4,"[195, 197]",15.02626562885588
4,"[303, 379]",18.373813479500715
4,"[111, 435]",51.85942214829544
5,"[195, 352]",-0.12465055284264788
5,"[73, 354]",-0.04237429193451818
5,"[25, 352]",0.06507578671799027
5,"[354, 439]",0.11213643557408037
5,"[24, 33]",0.2184884888752515
5,"[214, 352]",0.24208541630139177
5,"[53, 73]",0.24575046902217648
5,"[25, 416]",0.3220261079213505
5,"[33, 196]",0.34124509557531313
5,"[33, 412]",0.35955065046331414
5,"[25, 412]",0.38565794948999343
5,"[196, 412]",0.43477320377610046
5,"[196, 439]",0.4392176624303724
5,"[276, 431]",0.5824134383788966
5,"[412, 439]",0.6496032636161541
5,"[25, 197]",0.7806982338017681
5,"[283, 354]",0.8833615053640598
5,"[38, 172]",1.0143646363302299
5,"[25, 303]",1.0570502868758969
5,"[196, 303]",1.1687978003288357
5,"[155, 276]",1.220144485171283
5,"[33, 407]",1.233068107498753
5,"[111, 431]",1.578519008530755
5,"[5, 197]",1.8945311645446463
5,"[226, 327]",1.982051419834319
5,"[407, 439]",2.376903874787302
5,"[83, 439]",2.405604773084341
5,"[196, 369]",2.527325339998523
5,"[247, 418]",5.105210477021452
5,"[73, 195]",10.808451866716183
5,"[111, 416]",10.846238222634197
5,"[73, 111]",16.135838486186262
6,"[195, 352]",-0.12465055284264788
6,"[73, 354]",-0.04237429193451818
6,"[33, 352]",0.001930150299917005
6,"[24, 352]",0.006888213432945194
6,"[196, 352]",0.0383349860438733
6,"[25, 352]",0.06507578671799027
6,"[354, 439]",0.11213643557408037
6,"[33, 295]",0.14718590849196767
6,"[38, 352]",0.18261353945963277
6,"[111, 352]",0.18478603896678175
6,"[24, 33]",0.2184884888752515
6,"[214, 352]",0.24208541630139177
6,"[53, 73]",0.24575046902217648
6,"[25, 416]",0.3220261079213505
6,"[273, 439]",0.3780236313702805
6,"[402, 412]",0.42266177437419644
6,"[196, 412]",0.43477320377610046
6,"[219, 303]",0.47063872070213136
6,"[155, 431]",0.606200128717976
6,"[25, 439]",0.6869479450781316
6,"[320, 439]",0.7804783683160003
6,"[407, 431]",0.8600927698712753
6,"[237, 412]",1.0241272182979666
6,"[196, 303]",1.1687978003288357
6,"[61, 197]",1.8201254676324405
6,"[83, 416]",5.877706895660574
6,"[73, 416]",7.081595845819291
6,"[195, 303]",7.5794676232202205
6,"[73, 303]",9.51501009693233
6,"[111, 338]",70.9411276764976
