gen,filename,score
1,"[219, 261]",-0.2719754012474472
1,"[32, 413]",-0.08016703578854004
1,"[60, 155]",0.21509418163458371
1,"[76, 140]",0.2477240292004802
1,"[19, 405]",0.313834650377097
1,"[321, 354]",0.31393476137144066
1,"[19, 277]",0.3347801087502893
1,"[262, 287]",0.534060581519048
1,"[385, 414]",0.6464596466834928
1,"[55, 326]",0.7956690921770296
1,"[118, 262]",0.8213712315575284
1,"[81, 181]",0.8233780803525589
1,"[11, 383]",0.8961758300309652
1,"[216, 302]",0.9526785617935142
1,"[240, 279]",1.2544062079796061
1,"[189, 262]",1.3780463406988328
1,"[129, 400]",1.6545078718231014
1,"[177, 337]",1.6586773088383298
1,"[83, 405]",1.7103982607828956
1,"[156, 358]",1.7589178043661
1,"[166, 408]",2.1864232700493953
1,"[57, 96]",2.234664208757488
1,"[231, 388]",2.2474843456727105
1,"[101, 129]",2.334480403192031
1,"[204, 444]",2.453316300453232
1,"[160, 279]",2.8485019172267863
1,"[146, 376]",2.865603044752937
1,"[133, 426]",3.42267746532361
1,"[125, 201]",3.7829019166829156
1,"[164, 329]",4.041054780782854
1,"[322, 358]",5.2328363311810335
1,"[22, 177]",18.881043413010666
2,"[219, 261]",-0.2719754012474472
2,"[32, 413]",-0.08016703578854004
2,"[204, 277]",0.07545487258931768
2,"[156, 261]",0.0937476154756591
2,"[60, 325]",0.1454520714650778
2,"[219, 287]",0.19424561853851105
2,"[60, 155]",0.21509418163458371
2,"[76, 140]",0.2477240292004802
2,"[146, 337]",0.29847046164555024
2,"[19, 405]",0.313834650377097
2,"[321, 354]",0.31393476137144066
2,"[55, 181]",0.3156108329567997
2,"[19, 277]",0.3347801087502893
2,"[60, 148]",0.47246525744970896
2,"[262, 287]",0.534060581519048
2,"[19, 262]",0.5828131508247469
2,"[216, 405]",0.5895959152690099
2,"[385, 414]",0.6464596466834928
2,"[216, 262]",0.8627729343978886
2,"[146, 302]",0.9852283198744157
2,"[155, 216]",1.1401498770352916
2,"[140, 385]",1.2140812487825237
2,"[156, 329]",1.5809969049107138
2,"[16, 279]",1.61206247113085
2,"[32, 155]",1.640067157498345
2,"[19, 358]",1.8396739837592069
2,"[101, 201]",2.224977698649691
2,"[133, 358]",2.4340010743694336
2,"[83, 266]",2.4595872500646694
2,"[211, 321]",3.593913670183677
2,"[140, 369]",7.510596054576486
2,"[193, 358]",8.447596189973554
3,"[219, 261]",-0.2719754012474472
3,"[32, 413]",-0.08016703578854004
3,"[60, 262]",0.04847989134601511
3,"[204, 277]",0.07545487258931768
3,"[156, 261]",0.0937476154756591
3,"[60, 219]",0.13964481421915767
3,"[60, 325]",0.1454520714650778
3,"[219, 287]",0.19424561853851105
3,"[60, 155]",0.21509418163458371
3,"[60, 279]",0.22305259857151377
3,"[156, 277]",0.22726083170499908
3,"[76, 140]",0.2477240292004802
3,"[146, 337]",0.29847046164555024
3,"[216, 287]",0.42073068887993187
3,"[219, 301]",0.6440121194641144
3,"[60, 369]",0.6838341197623655
3,"[199, 211]",0.7502983401761657
3,"[199, 321]",0.768131402251409
3,"[216, 329]",0.9733942068591177
3,"[393, 414]",1.028205236340624
3,"[156, 263]",1.2727521537977433
3,"[19, 348]",1.624468360254094
3,"[156, 402]",1.651646893954257
3,"[19, 358]",1.8396739837592069
3,"[16, 140]",1.9234461659640592
3,"[133, 302]",1.9419679436226782
3,"[216, 358]",2.000990107825603
3,"[140, 440]",2.0036538407121856
3,"[83, 398]",2.4249766651250417
3,"[302, 321]",2.7814751110438998
3,"[325, 411]",3.7440692616217124
3,"[358, 358]",8.284087374276512
4,"[219, 261]",-0.2719754012474472
4,"[32, 413]",-0.08016703578854004
4,"[133, 261]",-0.04790529318071855
4,"[60, 287]",0.007182895917883103
4,"[60, 262]",0.04847989134601511
4,"[16, 261]",0.04952526947467486
4,"[277, 412]",0.05254987520357816
4,"[204, 277]",0.07545487258931768
4,"[156, 261]",0.0937476154756591
4,"[60, 219]",0.13964481421915767
4,"[60, 325]",0.1454520714650778
4,"[60, 402]",0.1599081149162386
4,"[60, 211]",0.19370431197662327
4,"[219, 287]",0.19424561853851105
4,"[60, 155]",0.21509418163458371
4,"[140, 277]",0.27583989334930925
4,"[262, 373]",0.30620204690540237
4,"[140, 163]",0.3108453843418177
4,"[60, 322]",0.34017333557943136
4,"[6, 262]",0.3798884195854921
4,"[76, 398]",0.45629971894304644
4,"[199, 205]",0.67465627235501
4,"[72, 156]",0.894330348594203
4,"[16, 262]",1.0944854123852585
4,"[302, 393]",1.226181725506788
4,"[16, 374]",1.5668663109121719
4,"[19, 348]",1.624468360254094
4,"[140, 393]",1.6353599837932187
4,"[321, 439]",1.9100888287700897
4,"[19, 433]",2.100457379704594
4,"[358, 358]",8.284087374276512
4,"[140, 267]",33.872053625929844
5,"[219, 261]",-0.2719754012474472
5,"[60, 261]",-0.22554234506406057
5,"[32, 413]",-0.08016703578854004
5,"[133, 261]",-0.04790529318071855
5,"[60, 287]",0.007182895917883103
5,"[60, 262]",0.04847989134601511
5,"[16, 261]",0.04952526947467486
5,"[277, 412]",0.05254987520357816
5,"[204, 277]",0.07545487258931768
5,"[156, 261]",0.0937476154756591
5,"[309, 413]",0.12660296291303125
5,"[60, 219]",0.13964481421915767
5,"[60, 325]",0.1454520714650778
5,"[60, 393]",0.14838712636179763
5,"[179, 413]",0.23270774234146482
5,"[60, 397]",0.30353044655170247
5,"[60, 348]",0.34768089116113216
5,"[25, 219]",0.36133114218527984
5,"[3, 358]",0.6132130636820063
5,"[262, 412]",0.6136931509788222
5,"[156, 412]",0.8284940173995557
5,"[262, 402]",0.8858477186667059
5,"[16, 398]",0.9233829518853746
5,"[16, 262]",1.0944854123852585
5,"[32, 262]",1.094661107333116
5,"[140, 262]",1.116434997999171
5,"[14, 133]",1.1510030275984153
5,"[287, 321]",1.296340813452503
5,"[262, 332]",1.3900399860716446
5,"[179, 219]",2.382148534801543
5,"[16, 322]",3.173935378171125
5,"[140, 348]",3.549530288881941
6,"[219, 261]",-0.2719754012474472
6,"[60, 261]",-0.22554234506406057
6,"[60, 413]",-0.16653226882822858
6,"[60, 277]",-0.15778163307345472
6,"[32, 413]",-0.08016703578854004
6,"[133, 261]",-0.04790529318071855
6,"[60, 287]",0.007182895917883103
6,"[261, 309]",0.01374751127087546
6,"[60, 262]",0.04847989134601511
6,"[16, 261]",0.04952526947467486
6,"[277, 412]",0.05254987520357816
6,"[204, 277]",0.07545487258931768
6,"[60, 100]",0.1687165592796333
6,"[60, 332]",0.20899975765329898
6,"[25, 262]",0.31910986297770977
6,"[60, 322]",0.34017333557943136
6,"[60, 348]",0.34768089116113216
6,"[25, 219]",0.36133114218527984
6,"[190, 261]",0.5881605450184022
6,"[16, 287]",0.697812655764063
6,"[112, 412]",0.9833695900980641
6,"[16, 32]",1.0485598211184795
6,"[32, 262]",1.094661107333116
6,"[65, 412]",1.1721455533841572
6,"[262, 437]",1.1858986108377978
6,"[316, 325]",1.221340047374218
6,"[262, 351]",1.3030455092728606
6,"[262, 332]",1.3900399860716446
6,"[262, 290]",1.562582127039817
6,"[16, 78]",1.898893112382115
6,"[140, 243]",2.114868149099091
6,"[32, 193]",3.518435528597093
7,"[219, 261]",-0.2719754012474472
7,"[60, 261]",-0.22554234506406057
7,"[60, 413]",-0.16653226882822858
7,"[60, 277]",-0.15778163307345472
7,"[261, 262]",-0.12716573579855853
7,"[25, 277]",-0.10362911157016191
7,"[32, 413]",-0.08016703578854004
7,"[133, 261]",-0.04790529318071855
7,"[60, 287]",0.007182895917883103
7,"[178, 413]",0.007319020009540902
7,"[261, 309]",0.01374751127087546
7,"[60, 262]",0.04847989134601511
7,"[16, 261]",0.04952526947467486
7,"[60, 240]",0.125954915411799
7,"[287, 431]",0.18772711324643043
7,"[60, 412]",0.261809604168844
7,"[60, 78]",0.30023142330959995
7,"[32, 245]",0.311414243972903
7,"[60, 348]",0.34768089116113216
7,"[60, 249]",0.4356553452870459
7,"[32, 60]",0.48546949605111683
7,"[25, 290]",0.9501686298525517
7,"[325, 344]",1.3665612106692504
7,"[348, 429]",1.3858902452443878
7,"[100, 112]",1.4740209423680468
7,"[332, 405]",1.5116156711486979
7,"[31, 140]",1.552225659749779
7,"[25, 193]",1.5768830219847496
7,"[32, 332]",2.4984372127311416
7,"[190, 365]",2.903227196747068
7,"[189, 309]",3.155581676809011
7,"[332, 365]",3.531848874385313
8,"[261, 277]",-0.27800190248960754
8,"[219, 261]",-0.2719754012474472
8,"[60, 261]",-0.22554234506406057
8,"[25, 261]",-0.19839340962811475
8,"[60, 413]",-0.16653226882822858
8,"[60, 277]",-0.15778163307345472
8,"[261, 262]",-0.12716573579855853
8,"[25, 277]",-0.10362911157016191
8,"[49, 261]",-0.10078578092811864
8,"[261, 273]",-0.09925763133548254
8,"[261, 287]",-0.0955833871741486
8,"[60, 60]",-0.08143023805976743
8,"[32, 413]",-0.08016703578854004
8,"[133, 261]",-0.04790529318071855
8,"[60, 287]",0.007182895917883103
8,"[405, 413]",0.13275095997816908
8,"[60, 405]",0.1422791825850849
8,"[60, 365]",0.14719483547827958
8,"[70, 262]",0.14959510707502838
8,"[60, 245]",0.16646878457456848
8,"[60, 309]",0.2210453560129195
8,"[216, 277]",0.3906554921254805
8,"[60, 290]",0.41964110122499876
8,"[32, 405]",0.6103348457866543
8,"[100, 287]",0.6825527180817322
8,"[178, 240]",0.6875578115362004
8,"[262, 348]",1.588047322961633
8,"[32, 112]",2.165598945663633
8,"[262, 376]",2.371809637446243
8,"[81, 332]",2.823732731741702
8,"[344, 348]",4.645258426575272
8,"[348, 362]",18.016533503090326
9,"[261, 277]",-0.27800190248960754
9,"[219, 261]",-0.2719754012474472
9,"[60, 261]",-0.22554234506406057
9,"[25, 261]",-0.19839340962811475
9,"[60, 413]",-0.16653226882822858
9,"[60, 277]",-0.15778163307345472
9,"[261, 262]",-0.12716573579855853
9,"[25, 277]",-0.10362911157016191
9,"[49, 261]",-0.10078578092811864
9,"[60, 287]",0.007182895917883103
9,"[60, 273]",0.025469498215178868
9,"[261, 320]",0.049992505293963437
9,"[178, 261]",0.07285129975381162
9,"[60, 228]",0.11697514939248013
9,"[60, 362]",0.1490219127602703
9,"[60, 100]",0.1687165592796333
9,"[119, 273]",0.1762269650747655
9,"[277, 393]",0.21329580484050034
9,"[112, 413]",0.3145885043254785
9,"[25, 262]",0.31910986297770977
9,"[60, 348]",0.34768089116113216
9,"[350, 405]",0.47029350860032015
9,"[287, 405]",0.5787809017374435
9,"[262, 405]",0.5898079962710734
9,"[32, 208]",0.6391529928198517
9,"[202, 365]",1.0493796737915781
9,"[220, 405]",1.1357330318931258
9,"[240, 344]",1.7788135351239671
9,"[106, 133]",2.7938716219890662
9,"[22, 348]",4.288086010970341
9,"[116, 332]",5.114705374235111
9,"[77, 133]",17.103463463463623
10,"[70, 261]",-0.2944145155998442
