gen,filename,score
1,"[23, 354]",461.941254
1,"[319, 418]",531.571077
1,"[373, 414]",532.173629
1,"[52, 71]",591.864676
1,"[168, 272]",638.726867
1,"[141, 403]",654.577008
1,"[83, 147]",662.042901
1,"[261, 436]",685.065067
1,"[53, 231]",709.916517
1,"[278, 291]",718.893514
1,"[273, 396]",722.598177
1,"[279, 409]",723.080859
1,"[133, 357]",727.139157
1,"[81, 244]",736.155557
1,"[42, 261]",739.750923
1,"[25, 311]",745.103533
1,"[42, 51]",748.136851
1,"[181, 394]",765.114896
1,"[32, 109]",787.205844
1,"[314, 439]",802.840165
1,"[349, 393]",815.483938
1,"[28, 442]",822.986135
1,"[171, 325]",827.412406
1,"[76, 249]",852.566241
1,"[137, 418]",854.194367
1,"[239, 433]",861.315872
1,"[195, 318]",875.750179
1,"[86, 92]",889.48399
1,"[62, 75]",928.535275
1,"[79, 107]",933.533162
1,"[23, 152]",1122.786041
1,"[59, 159]",1123.637807
2,"[23, 418]",540.789544
2,"[79, 391]",620.010817
2,"[76, 409]",639.777446
2,"[181, 231]",673.899963
2,"[261, 436]",685.065067
2,"[53, 231]",709.916517
2,"[278, 291]",718.893514
2,"[273, 396]",722.598177
2,"[279, 409]",723.080859
2,"[133, 357]",727.139157
2,"[81, 244]",736.155557
2,"[42, 261]",739.750923
2,"[278, 393]",743.595717
2,"[25, 311]",745.103533
2,"[42, 51]",748.136851
2,"[181, 394]",765.114896
2,"[32, 109]",787.205844
2,"[314, 439]",802.840165
2,"[349, 393]",815.483938
2,"[28, 442]",822.986135
2,"[171, 325]",827.412406
2,"[76, 249]",852.566241
2,"[137, 418]",854.194367
2,"[239, 433]",861.315872
2,"[278, 394]",869.088127
2,"[195, 318]",875.750179
2,"[86, 92]",889.48399
2,"[62, 75]",928.535275
2,"[79, 107]",933.533162
2,"[23, 152]",1122.786041
2,"[59, 159]",1123.637807
2,"[152, 439]",1136.220554
3,"[165, 244]",552.616837
3,"[362, 439]",573.345126
3,"[25, 393]",616.073179
3,"[278, 440]",675.427529
3,"[273, 396]",722.598177
3,"[279, 409]",723.080859
3,"[133, 357]",727.139157
3,"[81, 244]",736.155557
3,"[42, 261]",739.750923
3,"[278, 393]",743.595717
3,"[25, 311]",745.103533
3,"[62, 442]",746.140077
3,"[42, 51]",748.136851
3,"[53, 433]",763.192413
3,"[181, 394]",765.114896
3,"[32, 109]",787.205844
3,"[314, 439]",802.840165
3,"[349, 393]",815.483938
3,"[28, 442]",822.986135
3,"[171, 325]",827.412406
3,"[76, 249]",852.566241
3,"[137, 418]",854.194367
3,"[239, 433]",861.315872
3,"[278, 394]",869.088127
3,"[195, 318]",875.750179
3,"[86, 92]",889.48399
3,"[62, 75]",928.535275
3,"[79, 107]",933.533162
3,"[28, 107]",1012.997786
3,"[23, 152]",1122.786041
3,"[59, 159]",1123.637807
3,"[152, 439]",1136.220554
4,"[293, 439]",566.577383
4,"[325, 385]",596.768681
4,"[81, 244]",736.155557
4,"[42, 261]",739.750923
4,"[278, 393]",743.595717
4,"[25, 311]",745.103533
4,"[62, 442]",746.140077
4,"[42, 51]",748.136851
4,"[53, 433]",763.192413
4,"[181, 394]",765.114896
4,"[32, 109]",787.205844
4,"[314, 439]",802.840165
4,"[349, 393]",815.483938
4,"[28, 442]",822.986135
4,"[171, 325]",827.412406
4,"[42, 393]",829.195119
4,"[81, 109]",850.933678
4,"[76, 249]",852.566241
4,"[137, 418]",854.194367
4,"[239, 433]",861.315872
4,"[278, 394]",869.088127
4,"[195, 318]",875.750179
4,"[86, 92]",889.48399
4,"[62, 75]",928.535275
4,"[79, 107]",933.533162
4,"[28, 107]",1012.997786
4,"[137, 433]",1023.115976
4,"[32, 92]",1081.536751
4,"[23, 152]",1122.786041
4,"[59, 159]",1123.637807
4,"[152, 439]",1136.220554
4,"[152, 393]",1266.649209
