gen,filename,score
1,"[228, 422]",558.022979
1,"[65, 287]",564.271989
1,"[176, 184]",570.836072
1,"[239, 401]",573.870519
1,"[158, 225]",589.481022
1,"[365, 430]",626.364034
1,"[216, 287]",652.318961
1,"[273, 399]",653.403917
1,"[235, 325]",673.201062
1,"[59, 89]",676.414163
1,"[225, 275]",683.777876
1,"[312, 355]",687.204825
1,"[117, 328]",710.267297
1,"[40, 386]",715.145655
1,"[247, 322]",719.560388
1,"[128, 264]",719.86243
1,"[95, 419]",726.651171
1,"[16, 233]",730.895734
1,"[172, 412]",749.693992
1,"[220, 299]",764.866691
1,"[350, 406]",783.508791
1,"[147, 420]",787.218054
1,"[203, 386]",794.411597
1,"[201, 386]",852.393204
1,"[82, 350]",862.316268
1,"[27, 220]",867.429677
1,"[6, 81]",886.358329
1,"[43, 275]",889.978897
1,"[288, 364]",921.284696
1,"[349, 394]",941.205024
1,"[5, 314]",965.182992
1,"[141, 260]",1079.717905
2,"[225, 312]",512.505631
2,"[89, 228]",608.462395
2,"[287, 350]",669.475839
2,"[158, 422]",669.789143
2,"[121, 235]",691.936088
2,"[95, 419]",726.651171
2,"[16, 233]",730.895734
2,"[220, 350]",746.989849
2,"[172, 412]",749.693992
2,"[225, 288]",759.472852
2,"[220, 299]",764.866691
2,"[365, 412]",774.659501
2,"[350, 406]",783.508791
2,"[350, 420]",784.095631
2,"[147, 420]",787.218054
2,"[128, 220]",789.75925
2,"[203, 386]",794.411597
2,"[81, 147]",802.431809
2,"[150, 365]",820.70621
2,"[201, 386]",852.393204
2,"[117, 364]",857.859275
2,"[82, 350]",862.316268
2,"[27, 220]",867.429677
2,"[43, 420]",869.336838
2,"[6, 81]",886.358329
2,"[43, 275]",889.978897
2,"[288, 364]",921.284696
2,"[349, 394]",941.205024
2,"[235, 394]",958.26154
2,"[225, 260]",958.321429
2,"[5, 314]",965.182992
2,"[141, 260]",1079.717905
3,"[126, 220]",704.523203
3,"[89, 365]",735.780936
3,"[350, 386]",761.690141
3,"[220, 364]",783.716902
3,"[43, 299]",785.170489
3,"[128, 220]",789.75925
3,"[203, 386]",794.411597
3,"[89, 235]",800.235862
3,"[81, 147]",802.431809
3,"[147, 275]",807.413131
3,"[203, 420]",817.66769
3,"[150, 365]",820.70621
3,"[235, 365]",834.888279
3,"[150, 220]",841.72111
3,"[27, 412]",851.344138
3,"[201, 386]",852.393204
3,"[117, 364]",857.859275
3,"[82, 350]",862.316268
3,"[27, 220]",867.429677
3,"[43, 420]",869.336838
3,"[349, 406]",875.459413
3,"[6, 81]",886.358329
3,"[43, 275]",889.978897
3,"[288, 364]",921.284696
3,"[349, 394]",941.205024
3,"[255, 314]",947.170959
3,"[235, 394]",958.26154
3,"[225, 260]",958.321429
3,"[80, 386]",961.38738
3,"[5, 314]",965.182992
3,"[141, 260]",1079.717905
3,"[288, 314]",1094.161566
4,"[225, 365]",604.805423
4,"[225, 420]",663.510885
4,"[147, 223]",713.844624
4,"[337, 406]",731.094541
4,"[350, 386]",761.690141
4,"[225, 314]",770.302297
4,"[89, 386]",771.679005
4,"[220, 220]",812.834871
4,"[43, 220]",832.393427
4,"[117, 364]",857.859275
4,"[82, 350]",862.316268
4,"[27, 220]",867.429677
4,"[43, 420]",869.336838
4,"[349, 406]",875.459413
4,"[235, 349]",881.335396
4,"[43, 81]",885.594322
4,"[6, 81]",886.358329
4,"[43, 275]",889.978897
4,"[81, 235]",909.048487
4,"[288, 364]",921.284696
4,"[349, 394]",941.205024
4,"[255, 314]",947.170959
4,"[220, 314]",955.889083
4,"[235, 394]",958.26154
4,"[225, 260]",958.321429
4,"[80, 386]",961.38738
4,"[5, 314]",965.182992
4,"[91, 412]",996.800694
4,"[141, 260]",1079.717905
4,"[80, 314]",1090.511926
4,"[288, 314]",1094.161566
4,"[5, 260]",1153.425494
5,"[350, 443]",646.327173
5,"[81, 225]",679.616075
5,"[81, 337]",747.678536
5,"[231, 350]",758.712945
5,"[220, 255]",802.878075
5,"[220, 349]",838.24514
5,"[5, 275]",879.316199
5,"[43, 81]",885.594322
5,"[6, 81]",886.358329
5,"[43, 275]",889.978897
5,"[89, 314]",900.228434
5,"[27, 406]",904.075855
5,"[81, 235]",909.048487
5,"[288, 364]",921.284696
5,"[349, 394]",941.205024
5,"[255, 314]",947.170959
5,"[220, 314]",955.889083
5,"[235, 394]",958.26154
5,"[225, 260]",958.321429
5,"[80, 386]",961.38738
5,"[5, 314]",965.182992
5,"[91, 412]",996.800694
5,"[244, 260]",1014.733252
5,"[117, 314]",1030.423357
5,"[141, 260]",1079.717905
5,"[89, 260]",1088.395509
5,"[80, 314]",1090.511926
5,"[288, 314]",1094.161566
5,"[5, 260]",1153.425494
5,"[43, 260]",1164.41309
5,"[235, 260]",1187.05257
5,"[290, 314]",1280.148078
6,"[89, 278]",710.448414
6,"[255, 407]",743.437931
6,"[8, 220]",793.858992
6,"[81, 350]",799.959879
6,"[89, 235]",800.235862
