gen,filename,score
1,"[169, 202]",452.640107
1,"[84, 168]",509.849635
1,"[339, 403]",546.340654
1,"[263, 399]",553.439248
1,"[206, 339]",582.13013
1,"[209, 255]",592.965107
1,"[217, 316]",608.676365
1,"[73, 216]",610.713237
1,"[8, 431]",630.887515
1,"[17, 132]",647.815393
1,"[132, 341]",665.459808
1,"[90, 257]",666.961048
1,"[102, 155]",671.715786
1,"[261, 393]",677.767881
1,"[43, 316]",686.721578
1,"[204, 350]",688.68921
1,"[188, 287]",698.24075
1,"[4, 335]",750.403695
1,"[250, 255]",770.628445
1,"[194, 392]",782.258135
1,"[114, 442]",801.393161
1,"[166, 432]",808.556278
1,"[405, 424]",814.175393
1,"[124, 289]",829.970196
1,"[100, 427]",843.977067
1,"[69, 300]",847.401438
1,"[131, 328]",849.46173
1,"[221, 385]",896.071807
1,"[145, 284]",945.243841
1,"[234, 374]",1047.76713
1,"[148, 267]",1057.794276
1,"[135, 161]",1069.062147
2,"[90, 432]",494.938395
2,"[84, 424]",600.789607
2,"[204, 316]",606.934268
2,"[155, 158]",646.646565
2,"[8, 101]",657.717234
2,"[188, 287]",698.24075
2,"[215, 284]",732.860225
2,"[4, 335]",750.403695
2,"[206, 267]",752.075742
2,"[250, 255]",770.628445
2,"[194, 392]",782.258135
2,"[4, 300]",799.741474
2,"[8, 335]",800.865607
2,"[114, 442]",801.393161
2,"[166, 432]",808.556278
2,"[187, 374]",812.113391
2,"[405, 424]",814.175393
2,"[393, 405]",826.501403
2,"[124, 289]",829.970196
2,"[100, 427]",843.977067
2,"[69, 300]",847.401438
2,"[131, 328]",849.46173
2,"[284, 408]",849.87137
2,"[206, 321]",874.602557
2,"[221, 385]",896.071807
2,"[124, 216]",924.59784
2,"[132, 148]",928.762816
2,"[145, 284]",945.243841
2,"[234, 374]",1047.76713
2,"[148, 267]",1057.794276
2,"[135, 161]",1069.062147
2,"[135, 255]",1085.859045
3,"[188, 432]",587.162787
3,"[100, 432]",608.889831
3,"[90, 259]",659.959291
3,"[4, 216]",661.559428
3,"[287, 375]",664.733435
3,"[263, 267]",706.730803
3,"[206, 267]",752.075742
3,"[8, 161]",768.493505
3,"[4, 284]",779.256233
3,"[405, 424]",814.175393
3,"[393, 405]",826.501403
3,"[124, 289]",829.970196
3,"[100, 427]",843.977067
3,"[69, 300]",847.401438
3,"[267, 405]",847.94209
3,"[131, 328]",849.46173
3,"[284, 408]",849.87137
3,"[206, 321]",874.602557
3,"[4, 374]",876.78703
3,"[221, 385]",896.071807
3,"[69, 321]",912.510642
3,"[100, 321]",918.832732
3,"[124, 216]",924.59784
3,"[114, 321]",927.891027
3,"[132, 148]",928.762816
3,"[145, 284]",945.243841
3,"[133, 148]",967.352626
3,"[234, 374]",1047.76713
3,"[148, 267]",1057.794276
3,"[135, 161]",1069.062147
3,"[135, 255]",1085.859045
3,"[94, 255]",1555.649928
4,"[9, 133]",510.003549
4,"[206, 432]",564.932817
4,"[90, 216]",600.673179
4,"[132, 287]",604.263535
4,"[8, 328]",618.752364
4,"[287, 417]",626.058516
4,"[284, 354]",665.296416
4,"[133, 267]",718.218905
4,"[267, 286]",725.543739
4,"[382, 385]",755.820815
4,"[4, 427]",790.566745
4,"[284, 408]",849.87137
4,"[206, 321]",874.602557
4,"[4, 374]",876.78703
4,"[299, 321]",886.722009
4,"[221, 385]",896.071807
4,"[69, 321]",912.510642
4,"[100, 321]",918.832732
4,"[124, 216]",924.59784
4,"[114, 321]",927.891027
4,"[132, 148]",928.762816
4,"[273, 321]",930.157372
4,"[124, 375]",936.85197
4,"[145, 284]",945.243841
4,"[234, 284]",950.217606
4,"[133, 148]",967.352626
4,"[234, 374]",1047.76713
4,"[148, 267]",1057.794276
4,"[135, 161]",1069.062147
4,"[135, 255]",1085.859045
4,"[94, 328]",1388.496292
4,"[94, 255]",1555.649928
5,"[326, 328]",500.304868
5,"[284, 328]",671.744966
5,"[219, 408]",676.527553
5,"[216, 284]",765.679429
5,"[167, 321]",779.716098
5,"[4, 351]",814.27306
5,"[287, 321]",855.750932
5,"[255, 275]",860.39876
5,"[240, 321]",907.58767
5,"[75, 216]",909.605819
5,"[69, 321]",912.510642
5,"[100, 321]",918.832732
5,"[374, 382]",921.847012
5,"[124, 216]",924.59784
5,"[114, 321]",927.891027
5,"[132, 148]",928.762816
5,"[273, 321]",930.157372
5,"[124, 375]",936.85197
5,"[145, 284]",945.243841
5,"[234, 284]",950.217606
5,"[133, 148]",967.352626
5,"[124, 233]",970.16739
5,"[148, 216]",977.168715
5,"[135, 216]",1012.610446
5,"[234, 321]",1036.49139
5,"[234, 374]",1047.76713
5,"[148, 267]",1057.794276
5,"[135, 161]",1069.062147
5,"[135, 255]",1085.859045
5,"[94, 328]",1388.496292
5,"[94, 255]",1555.649928
5,"[94, 321]",1686.605371
6,"[133, 328]",543.451084
6,"[240, 414]",609.847686
6,"[133, 375]",642.444956
6,"[219, 255]",664.912532
6,"[284, 422]",741.731249
6,"[375, 408]",743.86006
6,"[156, 321]",778.618095
6,"[234, 295]",782.694663
6,"[219, 374]",807.370024
6,"[216, 234]",832.786149
6,"[148, 167]",905.447837
6,"[273, 321]",930.157372
6,"[124, 375]",936.85197
6,"[145, 284]",945.243841
6,"[13, 321]",946.710415
6,"[234, 284]",950.217606
6,"[133, 148]",967.352626
6,"[284, 321]",969.345922
6,"[124, 233]",970.16739
6,"[234, 275]",970.187437
6,"[148, 216]",977.168715
6,"[135, 216]",1012.610446
6,"[234, 321]",1036.49139
6,"[234, 374]",1047.76713
6,"[3, 124]",1050.918979
6,"[148, 267]",1057.794276
6,"[135, 161]",1069.062147
6,"[135, 255]",1085.859045
6,"[321, 347]",1200.398537
6,"[94, 328]",1388.496292
6,"[94, 255]",1555.649928
6,"[94, 321]",1686.605371
7,"[167, 375]",588.947231
7,"[156, 356]",599.471593
7,"[212, 255]",655.028937
7,"[375, 419]",681.211894
7,"[55, 255]",718.341633
7,"[13, 88]",837.726999
7,"[32, 284]",837.963863
7,"[133, 321]",842.086448
7,"[234, 375]",844.586681
7,"[216, 321]",851.870144
7,"[345, 408]",879.142314
7,"[275, 284]",905.584275
7,"[133, 148]",967.352626
7,"[284, 321]",969.345922
7,"[124, 233]",970.16739
7,"[234, 275]",970.187437
7,"[148, 216]",977.168715
7,"[135, 216]",1012.610446
7,"[234, 321]",1036.49139
7,"[234, 374]",1047.76713
7,"[3, 124]",1050.918979
7,"[148, 267]",1057.794276
7,"[135, 161]",1069.062147
7,"[273, 421]",1076.154921
7,"[135, 255]",1085.859045
7,"[321, 347]",1200.398537
7,"[135, 374]",1223.388972
7,"[94, 328]",1388.496292
7,"[94, 375]",1494.180227
7,"[94, 255]",1555.649928
7,"[94, 321]",1686.605371
7,"[94, 374]",1697.83813
8,"[147, 156]",593.725051
8,"[32, 356]",744.973649
8,"[255, 356]",745.65688
8,"[33, 255]",795.117119
8,"[88, 388]",831.90838
