gen,filename,score
1,"[188, 287]",-0.0766855720543143
1,"[261, 393]",-0.0320753045116908
1,"[339, 403]",0.08789708044703819
1,"[8, 431]",0.3646151037955747
1,"[204, 350]",0.6741656851790441
1,"[124, 289]",0.720819749142222
1,"[169, 202]",0.7716598933878954
1,"[166, 432]",0.9006225165702635
1,"[135, 161]",0.9069473240472942
1,"[114, 442]",0.9933430035257298
1,"[90, 257]",1.0119688306706554
1,"[132, 341]",1.0564135444034353
1,"[263, 399]",1.1310786482361068
1,"[145, 284]",1.134273153009831
1,"[102, 155]",1.2437254566723033
1,"[4, 335]",1.2661401692036411
1,"[405, 424]",1.2741252881365617
1,"[206, 339]",1.2883694459274697
1,"[131, 328]",1.4020164448050105
1,"[17, 132]",1.511495415885852
1,"[69, 300]",1.5947097064572118
1,"[100, 427]",1.781612801731718
1,"[217, 316]",2.365203758719137
1,"[221, 385]",2.7703803477411264
1,"[43, 316]",2.7910301469977097
1,"[73, 216]",2.814176161846067
1,"[234, 374]",3.499489736710216
1,"[209, 255]",3.6110365652530327
1,"[84, 168]",3.7377645998347107
1,"[250, 255]",7.037526783905201
1,"[194, 392]",7.6082685563513355
1,"[148, 267]",50.832140200246464
2,"[188, 287]",-0.0766855720543143
2,"[261, 393]",-0.0320753045116908
2,"[339, 403]",0.08789708044703819
2,"[187, 403]",0.364225610601653
2,"[8, 431]",0.3646151037955747
2,"[188, 374]",0.4246269116309882
2,"[215, 431]",0.5067648496667003
2,"[204, 350]",0.6741656851790441
2,"[124, 289]",0.720819749142222
2,"[169, 202]",0.7716598933878954
2,"[132, 158]",0.7778067281122083
2,"[166, 432]",0.9006225165702635
2,"[135, 161]",0.9069473240472942
2,"[102, 202]",0.954951095211161
2,"[339, 405]",0.9656993332353362
2,"[114, 442]",0.9933430035257298
2,"[90, 257]",1.0119688306706554
2,"[135, 316]",1.0480316840447461
2,"[132, 341]",1.0564135444034353
2,"[263, 399]",1.1310786482361068
2,"[145, 284]",1.134273153009831
2,"[69, 257]",1.1685591030581464
2,"[408, 431]",1.1882906564747748
2,"[102, 155]",1.2437254566723033
2,"[4, 335]",1.2661401692036411
2,"[155, 221]",1.4701427110018443
2,"[114, 328]",1.578767045780963
2,"[209, 393]",1.6318853064241652
2,"[101, 221]",2.8979309702574505
2,"[194, 442]",3.0507273155674017
2,"[148, 316]",5.438306953723162
2,"[209, 321]",5.807634923823323
3,"[188, 287]",-0.0766855720543143
3,"[261, 393]",-0.0320753045116908
3,"[263, 403]",0.06291353156970209
3,"[4, 403]",0.07939698163314242
3,"[339, 403]",0.08789708044703819
3,"[328, 375]",0.309859680484188
3,"[135, 289]",0.34741134314793126
3,"[187, 403]",0.364225610601653
3,"[8, 431]",0.3646151037955747
3,"[188, 374]",0.4246269116309882
3,"[166, 289]",0.42752322357323264
3,"[215, 431]",0.5067648496667003
3,"[263, 393]",0.5201297354205218
3,"[132, 289]",0.5711681245314695
3,"[204, 350]",0.6741656851790441
3,"[124, 289]",0.720819749142222
3,"[102, 403]",0.7412105746283711
3,"[169, 202]",0.7716598933878954
3,"[132, 158]",0.7778067281122083
3,"[145, 431]",0.8913461796707611
3,"[166, 432]",0.9006225165702635
3,"[135, 161]",0.9069473240472942
3,"[102, 202]",0.954951095211161
3,"[339, 405]",0.9656993332353362
3,"[114, 442]",0.9933430035257298
3,"[135, 316]",1.0480316840447461
3,"[209, 259]",1.1277106832298036
3,"[114, 155]",1.277623329753676
3,"[94, 431]",1.4118154962379295
3,"[145, 221]",1.624995535477767
3,"[114, 316]",2.269841096147086
3,"[133, 374]",2.590250783670026
4,"[289, 339]",-0.17238783957870124
4,"[289, 354]",-0.08415421632406524
4,"[188, 287]",-0.0766855720543143
4,"[188, 403]",-0.0661143020152715
4,"[261, 393]",-0.0320753045116908
4,"[263, 403]",0.06291353156970209
4,"[4, 403]",0.07939698163314242
4,"[339, 403]",0.08789708044703819
4,"[273, 431]",0.16950247403062588
4,"[328, 375]",0.309859680484188
4,"[135, 289]",0.34741134314793126
4,"[187, 403]",0.364225610601653
4,"[8, 431]",0.3646151037955747
4,"[188, 374]",0.4246269116309882
4,"[187, 287]",0.42464441542189474
4,"[166, 289]",0.42752322357323264
4,"[215, 431]",0.5067648496667003
4,"[263, 393]",0.5201297354205218
4,"[328, 403]",0.5406761790998942
4,"[132, 289]",0.5711681245314695
4,"[204, 350]",0.6741656851790441
4,"[124, 289]",0.720819749142222
