gen,filename,score
1,"[216, 302]",1.427
1,"[385, 414]",1.754
1,"[22, 177]",1.891
1,"[177, 337]",2.011
1,"[57, 96]",2.014
1,"[204, 444]",2.094
1,"[118, 262]",2.196
1,"[322, 358]",2.253
1,"[146, 376]",2.26
1,"[231, 388]",2.477
1,"[76, 140]",2.497
1,"[262, 287]",2.503
1,"[125, 201]",2.517
1,"[166, 408]",2.558
1,"[129, 400]",2.726
1,"[101, 129]",2.747
1,"[55, 326]",2.76
1,"[219, 261]",2.805
1,"[321, 354]",2.808
1,"[160, 279]",2.886
1,"[19, 405]",2.915
1,"[189, 262]",2.951
1,"[164, 329]",3.075
1,"[19, 277]",3.112
1,"[240, 279]",3.169
1,"[32, 413]",3.379
1,"[81, 181]",3.423
1,"[83, 405]",3.494
1,"[133, 426]",3.692
1,"[156, 358]",3.874
1,"[11, 383]",4.46
1,"[60, 155]",4.735
2,"[160, 414]",1.274
2,"[302, 385]",1.353
2,"[216, 302]",1.427
2,"[385, 414]",1.754
2,"[22, 177]",1.891
2,"[177, 337]",2.011
2,"[57, 96]",2.014
2,"[204, 444]",2.094
2,"[129, 337]",2.095
2,"[146, 337]",2.137
2,"[118, 262]",2.196
2,"[322, 358]",2.253
2,"[146, 376]",2.26
2,"[22, 337]",2.286
2,"[22, 358]",2.34
2,"[11, 177]",2.455
2,"[231, 388]",2.477
2,"[57, 140]",2.487
2,"[81, 408]",2.488
2,"[76, 140]",2.497
2,"[262, 287]",2.503
2,"[166, 177]",2.513
2,"[125, 201]",2.517
2,"[129, 262]",2.535
2,"[166, 408]",2.558
2,"[19, 129]",2.56
2,"[240, 354]",2.587
2,"[129, 400]",2.726
2,"[101, 129]",2.747
2,"[32, 354]",3.089
2,"[83, 279]",3.518
2,"[231, 413]",3.527
3,"[160, 414]",1.274
3,"[57, 302]",1.3
3,"[177, 302]",1.343
3,"[302, 385]",1.353
3,"[216, 302]",1.427
3,"[385, 414]",1.754
3,"[22, 177]",1.891
3,"[22, 385]",1.995
3,"[177, 337]",2.011
3,"[57, 96]",2.014
3,"[204, 444]",2.094
3,"[129, 337]",2.095
3,"[146, 337]",2.137
3,"[118, 262]",2.196
3,"[322, 358]",2.253
3,"[146, 376]",2.26
3,"[22, 337]",2.286
3,"[160, 337]",2.307
3,"[22, 358]",2.34
3,"[57, 201]",2.395
3,"[22, 408]",2.409
3,"[11, 177]",2.455
3,"[166, 408]",2.558
3,"[76, 354]",2.567
3,"[166, 354]",2.637
3,"[129, 177]",2.744
3,"[76, 400]",2.846
3,"[129, 279]",3.071
3,"[32, 354]",3.089
3,"[129, 444]",3.268
3,"[216, 337]",3.298
3,"[57, 279]",3.49
4,"[22, 279]",0.725
4,"[160, 414]",1.274
4,"[129, 302]",1.297
4,"[57, 302]",1.3
4,"[302, 358]",1.331
4,"[177, 302]",1.343
4,"[302, 385]",1.353
4,"[216, 302]",1.427
4,"[385, 414]",1.754
4,"[22, 177]",1.891
4,"[22, 385]",1.995
4,"[177, 337]",2.011
4,"[57, 96]",2.014
4,"[204, 444]",2.094
4,"[129, 337]",2.095
4,"[11, 337]",2.135
4,"[146, 337]",2.137
4,"[201, 204]",2.175
4,"[118, 262]",2.196
4,"[322, 358]",2.253
4,"[146, 376]",2.26
4,"[22, 358]",2.34
4,"[22, 408]",2.409
4,"[96, 216]",2.518
4,"[118, 354]",2.576
4,"[329, 408]",2.58
4,"[32, 337]",2.685
4,"[32, 398]",2.84
4,"[57, 444]",2.879
4,"[146, 279]",2.881
4,"[216, 358]",2.899
4,"[216, 279]",3.493
5,"[22, 279]",0.725
5,"[160, 414]",1.274
5,"[129, 302]",1.297
5,"[57, 302]",1.3
5,"[146, 302]",1.308
5,"[302, 358]",1.331
5,"[22, 302]",1.337
5,"[177, 302]",1.343
5,"[302, 385]",1.353
5,"[216, 302]",1.427
5,"[146, 414]",1.476
5,"[385, 414]",1.754
5,"[22, 177]",1.891
5,"[96, 354]",1.923
5,"[22, 385]",1.995
5,"[177, 337]",2.011
5,"[57, 96]",2.014
5,"[96, 358]",2.084
5,"[204, 444]",2.094
5,"[129, 337]",2.095
5,"[118, 408]",2.123
5,"[11, 337]",2.135
5,"[118, 358]",2.162
5,"[146, 376]",2.26
5,"[22, 337]",2.286
5,"[204, 262]",2.346
5,"[22, 408]",2.409
5,"[177, 398]",2.841
5,"[146, 279]",2.881
5,"[32, 358]",3.158
5,"[279, 329]",3.308
5,"[216, 216]",3.489
6,"[22, 398]",0.533
6,"[22, 279]",0.725
6,"[160, 414]",1.274
6,"[129, 302]",1.297
6,"[57, 302]",1.3
6,"[146, 302]",1.308
6,"[302, 358]",1.331
6,"[22, 302]",1.337
6,"[177, 302]",1.343
6,"[302, 385]",1.353
6,"[160, 302]",1.373
6,"[302, 302]",1.387
6,"[177, 414]",1.413
6,"[216, 302]",1.427
6,"[146, 414]",1.476
6,"[385, 414]",1.754
6,"[22, 177]",1.891
6,"[96, 354]",1.923
6,"[22, 385]",1.995
6,"[177, 337]",2.011
6,"[96, 358]",2.084
6,"[129, 337]",2.095
6,"[337, 385]",2.124
6,"[146, 337]",2.137
6,"[118, 358]",2.162
