gen,filename,score
1,"[111, 196]",449.847901
1,"[197, 435]",568.858229
1,"[320, 416]",576.47079
1,"[53, 73]",579.473841
1,"[44, 65]",583.8099
1,"[25, 214]",588.354652
1,"[407, 431]",590.213502
1,"[16, 90]",638.021663
1,"[412, 439]",643.034265
1,"[101, 385]",644.99247
1,"[181, 309]",652.690095
1,"[281, 329]",658.741937
1,"[5, 224]",665.146788
1,"[231, 359]",667.255154
1,"[21, 366]",667.659239
1,"[87, 293]",675.669772
1,"[362, 429]",676.275884
1,"[187, 408]",681.825165
1,"[17, 142]",709.293861
1,"[195, 437]",802.845839
1,"[95, 427]",835.091428
1,"[302, 353]",839.333041
1,"[87, 222]",849.812058
1,"[15, 267]",852.11836
1,"[28, 303]",860.335947
1,"[38, 71]",873.25014
1,"[158, 348]",903.857499
1,"[64, 118]",919.900809
1,"[254, 353]",961.811474
1,"[75, 303]",1024.118339
1,"[249, 406]",1037.366693
1,"[94, 396]",1479.091861
2,"[158, 416]",480.283102
2,"[104, 111]",527.763701
2,"[21, 142]",572.795918
2,"[64, 416]",575.090175
2,"[34, 224]",639.213246
2,"[21, 232]",669.996799
2,"[362, 429]",676.275884
2,"[187, 408]",681.825165
2,"[320, 431]",709.266452
2,"[17, 142]",709.293861
2,"[58, 407]",717.968249
2,"[386, 396]",741.083395
2,"[101, 222]",759.395678
2,"[95, 267]",786.945083
2,"[28, 223]",792.223262
2,"[17, 200]",798.46764
2,"[195, 437]",802.845839
2,"[168, 348]",813.146841
2,"[95, 427]",835.091428
2,"[302, 353]",839.333041
2,"[87, 222]",849.812058
2,"[15, 267]",852.11836
2,"[28, 303]",860.335947
2,"[38, 71]",873.25014
2,"[158, 348]",903.857499
2,"[249, 396]",914.933347
2,"[64, 118]",919.900809
2,"[254, 353]",961.811474
2,"[15, 348]",982.207687
2,"[75, 303]",1024.118339
2,"[249, 406]",1037.366693
2,"[94, 396]",1479.091861
3,"[17, 416]",483.023648
3,"[142, 292]",611.649909
3,"[21, 267]",640.094325
3,"[21, 408]",644.234431
3,"[111, 384]",672.167402
3,"[295, 408]",682.104548
3,"[168, 303]",717.565169
3,"[158, 231]",787.368104
3,"[195, 437]",802.845839
3,"[119, 303]",811.097796
3,"[168, 348]",813.146841
3,"[33, 200]",824.788096
3,"[95, 427]",835.091428
3,"[302, 353]",839.333041
3,"[87, 222]",849.812058
3,"[15, 267]",852.11836
3,"[104, 193]",859.224733
3,"[28, 303]",860.335947
3,"[38, 71]",873.25014
3,"[249, 373]",895.822594
3,"[158, 348]",903.857499
3,"[64, 406]",907.585809
3,"[249, 396]",914.933347
3,"[64, 118]",919.900809
3,"[254, 353]",961.811474
3,"[15, 348]",982.207687
3,"[75, 303]",1024.118339
3,"[249, 406]",1037.366693
3,"[95, 421]",1057.231341
3,"[14, 38]",1079.663647
3,"[94, 396]",1479.091861
3,"[158, 283]",1667.061231
4,"[187, 437]",637.815199
4,"[111, 303]",657.656052
4,"[52, 142]",677.323132
4,"[21, 29]",712.428766
4,"[142, 298]",740.850491
4,"[158, 267]",774.420838
4,"[18, 231]",822.110776
4,"[71, 249]",845.733255
4,"[104, 193]",859.224733
4,"[28, 303]",860.335947
4,"[38, 71]",873.25014
4,"[57, 249]",873.991067
4,"[104, 353]",874.38301
4,"[249, 373]",895.822594
4,"[14, 303]",896.74375
4,"[158, 348]",903.857499
