gen,filename,score
1,"[158, 225]",1.887
1,"[203, 386]",2.077
1,"[117, 328]",2.147
1,"[147, 420]",2.164
1,"[201, 386]",2.166
1,"[141, 260]",2.177
1,"[235, 325]",2.246
1,"[247, 322]",2.25
1,"[95, 419]",2.28
1,"[288, 364]",2.302
1,"[172, 412]",2.317
1,"[128, 264]",2.426
1,"[312, 355]",2.461
1,"[6, 81]",2.549
1,"[225, 275]",2.571
1,"[176, 184]",2.608
1,"[82, 350]",2.612
1,"[27, 220]",2.656
1,"[349, 394]",2.715
1,"[40, 386]",2.752
1,"[65, 287]",2.754
1,"[43, 275]",2.93
1,"[216, 287]",2.987
1,"[239, 401]",2.991
1,"[59, 89]",2.994
1,"[16, 233]",3.054
1,"[228, 422]",3.185
1,"[5, 314]",3.247
1,"[365, 430]",3.379
1,"[350, 406]",3.503
1,"[273, 399]",3.718
1,"[220, 299]",4.138
2,"[158, 225]",1.887
2,"[203, 386]",2.077
2,"[117, 328]",2.147
2,"[147, 420]",2.164
2,"[201, 386]",2.166
2,"[141, 260]",2.177
2,"[105, 386]",2.226
2,"[235, 325]",2.246
2,"[247, 322]",2.25
2,"[150, 420]",2.25
2,"[95, 419]",2.28
2,"[288, 364]",2.302
2,"[172, 412]",2.317
2,"[172, 260]",2.373
2,"[121, 239]",2.409
2,"[128, 264]",2.426
2,"[312, 355]",2.461
2,"[328, 350]",2.483
2,"[109, 394]",2.495
2,"[6, 81]",2.549
2,"[225, 275]",2.571
2,"[176, 184]",2.608
2,"[83, 264]",2.65
2,"[168, 401]",2.766
2,"[319, 355]",2.926
2,"[65, 314]",3.191
2,"[43, 225]",3.562
2,"[228, 372]",3.565
2,"[89, 299]",3.679
2,"[349, 444]",3.79
2,"[9, 299]",4.041
2,"[5, 299]",4.121
3,"[158, 225]",1.887
3,"[141, 386]",1.948
3,"[91, 350]",2.013
3,"[203, 386]",2.077
3,"[117, 328]",2.147
3,"[147, 420]",2.164
3,"[201, 386]",2.166
3,"[141, 260]",2.177
3,"[328, 386]",2.191
3,"[105, 386]",2.226
3,"[235, 325]",2.246
3,"[247, 322]",2.25
3,"[150, 420]",2.25
3,"[223, 401]",2.259
3,"[95, 419]",2.28
3,"[288, 364]",2.302
3,"[172, 412]",2.317
3,"[172, 260]",2.373
3,"[121, 239]",2.409
3,"[128, 264]",2.426
3,"[76, 176]",2.487
3,"[255, 386]",2.591
3,"[80, 412]",2.744
3,"[168, 355]",2.751
3,"[147, 205]",2.86
3,"[6, 392]",2.977
3,"[307, 419]",3.05
3,"[225, 389]",3.175
3,"[144, 247]",3.194
3,"[9, 372]",3.459
3,"[81, 349]",3.686
3,"[106, 128]",3.851
4,"[307, 377]",0.452
4,"[91, 328]",1.859
4,"[158, 225]",1.887
4,"[141, 386]",1.948
4,"[91, 350]",2.013
4,"[203, 386]",2.077
4,"[117, 328]",2.147
4,"[147, 420]",2.164
4,"[201, 386]",2.166
4,"[141, 260]",2.177
4,"[231, 386]",2.186
4,"[328, 386]",2.191
4,"[105, 386]",2.226
4,"[57, 235]",2.245
4,"[235, 325]",2.246
4,"[247, 322]",2.25
4,"[150, 420]",2.25
4,"[223, 401]",2.259
4,"[95, 419]",2.28
4,"[12, 172]",2.294
4,"[288, 364]",2.302
4,"[80, 419]",2.376
4,"[172, 392]",2.425
4,"[141, 205]",2.465
4,"[235, 377]",2.539
4,"[340, 386]",2.552
4,"[56, 128]",2.728
4,"[290, 386]",3.069
4,"[247, 290]",3.26
4,"[349, 440]",3.276
4,"[5, 419]",3.328
4,"[144, 266]",10
5,"[307, 377]",0.452
5,"[12, 307]",1.826
5,"[91, 328]",1.859
5,"[158, 225]",1.887
5,"[141, 386]",1.948
5,"[91, 350]",2.013
5,"[117, 386]",2.042
5,"[203, 386]",2.077
5,"[30, 420]",2.111
5,"[117, 328]",2.147
5,"[147, 420]",2.164
5,"[201, 386]",2.166
5,"[141, 260]",2.177
5,"[235, 386]",2.178
5,"[231, 386]",2.186
5,"[328, 386]",2.191
5,"[105, 386]",2.226
5,"[172, 288]",2.226
5,"[296, 386]",2.232
5,"[57, 235]",2.245
5,"[235, 325]",2.246
5,"[247, 322]",2.25
5,"[8, 56]",2.348
5,"[141, 290]",2.619
5,"[150, 407]",2.727
5,"[349, 386]",2.795
5,"[156, 201]",2.934
5,"[204, 377]",3.036
5,"[59, 260]",3.148
5,"[117, 278]",3.24
5,"[35, 340]",3.643
5,"[413, 419]",10
6,"[307, 377]",0.452
6,"[12, 307]",1.826
6,"[91, 328]",1.859
6,"[158, 225]",1.887
6,"[141, 386]",1.948
6,"[30, 386]",1.984
6,"[91, 350]",2.013
6,"[117, 386]",2.042
6,"[203, 386]",2.077
6,"[30, 420]",2.111
