gen,filename,score
1,"[373, 414]",1.503
1,"[195, 318]",2.06
1,"[141, 403]",2.068
1,"[52, 71]",2.145
1,"[79, 107]",2.152
1,"[171, 325]",2.184
1,"[83, 147]",2.31
1,"[86, 92]",2.383
1,"[53, 231]",2.417
1,"[314, 439]",2.421
1,"[81, 244]",2.464
1,"[319, 418]",2.485
1,"[279, 409]",2.565
1,"[168, 272]",2.763
1,"[62, 75]",2.793
1,"[181, 394]",2.84
1,"[28, 442]",2.86
1,"[23, 354]",2.927
1,"[239, 433]",3.055
1,"[32, 109]",3.15
1,"[59, 159]",3.336
1,"[349, 393]",3.374
1,"[137, 418]",3.379
1,"[76, 249]",3.488
1,"[42, 261]",3.498
1,"[25, 311]",3.515
1,"[278, 291]",3.545
1,"[23, 152]",3.674
1,"[273, 396]",3.679
1,"[133, 357]",3.832
1,"[261, 436]",3.942
1,"[42, 51]",4.602
2,"[373, 414]",1.503
2,"[195, 318]",2.06
2,"[141, 403]",2.068
2,"[165, 436]",2.111
2,"[52, 71]",2.145
2,"[79, 107]",2.152
2,"[75, 147]",2.163
2,"[171, 325]",2.184
2,"[318, 439]",2.246
2,"[83, 147]",2.31
2,"[92, 418]",2.345
2,"[86, 92]",2.383
2,"[53, 231]",2.417
2,"[314, 439]",2.421
2,"[81, 244]",2.464
2,"[319, 418]",2.485
2,"[279, 409]",2.565
2,"[353, 373]",2.758
2,"[168, 272]",2.763
2,"[62, 75]",2.793
2,"[181, 394]",2.84
2,"[53, 436]",2.841
2,"[279, 363]",2.946
2,"[75, 97]",3.001
2,"[62, 291]",3.031
2,"[53, 145]",3.098
2,"[62, 249]",3.274
2,"[130, 418]",3.442
2,"[109, 239]",3.679
2,"[133, 396]",3.721
2,"[215, 349]",3.726
2,"[181, 261]",4.556
3,"[373, 414]",1.503
3,"[52, 403]",2.053
3,"[195, 318]",2.06
3,"[141, 403]",2.068
3,"[165, 436]",2.111
3,"[39, 145]",2.127
3,"[52, 71]",2.145
3,"[79, 107]",2.152
3,"[75, 147]",2.163
3,"[52, 53]",2.172
3,"[33, 168]",2.177
3,"[171, 325]",2.184
3,"[81, 318]",2.227
3,"[318, 439]",2.246
3,"[97, 171]",2.262
3,"[83, 147]",2.31
3,"[75, 92]",2.335
3,"[92, 418]",2.345
3,"[86, 92]",2.383
3,"[53, 231]",2.417
3,"[314, 439]",2.421
3,"[3, 244]",2.452
3,"[81, 244]",2.464
3,"[319, 418]",2.485
3,"[81, 272]",2.672
3,"[53, 436]",2.841
3,"[83, 272]",3.264
3,"[181, 436]",3.476
3,"[43, 349]",3.994
3,"[181, 247]",4.049
3,"[38, 109]",4.428
3,"[349, 413]",10
4,"[373, 414]",1.503
4,"[117, 244]",1.995
4,"[177, 403]",2.038
4,"[52, 403]",2.053
4,"[195, 318]",2.06
4,"[141, 403]",2.068
4,"[171, 247]",2.106
4,"[165, 436]",2.111
4,"[75, 165]",2.121
4,"[39, 145]",2.127
4,"[52, 71]",2.145
4,"[79, 107]",2.152
4,"[121, 244]",2.158
4,"[75, 147]",2.163
4,"[52, 244]",2.172
4,"[52, 53]",2.172
4,"[33, 168]",2.177
4,"[171, 325]",2.184
4,"[81, 318]",2.227
4,"[318, 439]",2.246
4,"[97, 171]",2.262
4,"[83, 147]",2.31
4,"[165, 177]",2.386
4,"[92, 92]",2.419
4,"[206, 272]",2.487
4,"[82, 86]",2.536
4,"[326, 418]",2.599
4,"[52, 432]",2.658
4,"[53, 282]",2.805
4,"[224, 244]",2.813
4,"[405, 418]",2.895
4,"[112, 436]",2.964
5,"[373, 414]",1.503
5,"[117, 244]",1.995
5,"[52, 171]",2.01
5,"[177, 403]",2.038
5,"[39, 403]",2.043
5,"[52, 403]",2.053
5,"[318, 403]",2.053
5,"[195, 318]",2.06
5,"[136, 147]",2.067
5,"[141, 403]",2.068
5,"[171, 247]",2.106
5,"[165, 436]",2.111
5,"[147, 214]",2.119
5,"[177, 318]",2.121
5,"[75, 165]",2.121
5,"[39, 145]",2.127
5,"[141, 268]",2.133
5,"[52, 71]",2.145
5,"[79, 107]",2.152
5,"[171, 373]",2.155
5,"[121, 244]",2.158
5,"[75, 147]",2.163
5,"[52, 53]",2.172
5,"[52, 244]",2.172
5,"[77, 147]",2.503
5,"[75, 201]",2.578
5,"[147, 283]",2.616
5,"[145, 210]",2.827
5,"[53, 405]",2.887
5,"[23, 436]",2.941
5,"[112, 412]",3.134
5,"[107, 346]",3.228
6,"[279, 414]",1.223
6,"[373, 414]",1.503
6,"[39, 91]",1.686
6,"[141, 244]",1.992
6,"[117, 244]",1.995
6,"[141, 319]",2.005
6,"[52, 171]",2.01
6,"[177, 403]",2.038
6,"[39, 403]",2.043
6,"[52, 403]",2.053
6,"[318, 403]",2.053
6,"[195, 318]",2.06
6,"[147, 223]",2.061
6,"[136, 147]",2.067
6,"[131, 171]",2.067
6,"[141, 403]",2.068
6,"[171, 247]",2.106
6,"[165, 436]",2.111
6,"[147, 214]",2.119
6,"[177, 318]",2.121
6,"[75, 165]",2.121
6,"[39, 145]",2.127
6,"[147, 179]",2.131
6,"[171, 177]",2.165
6,"[10, 71]",2.338
6,"[95, 247]",2.375
6,"[40, 121]",2.418
6,"[318, 346]",2.517
6,"[17, 346]",2.639
6,"[52, 207]",2.796
6,"[244, 433]",2.938
6,"[77, 192]",3.381
7,"[279, 414]",1.223
7,"[373, 414]",1.503
7,"[39, 91]",1.686
7,"[91, 117]",1.719
7,"[165, 403]",1.939
7,"[91, 443]",1.964
7,"[141, 244]",1.992
7,"[117, 244]",1.995
7,"[141, 319]",2.005
7,"[52, 171]",2.01
7,"[177, 403]",2.038
