gen,filename,score
1,"[23, 354]",461.941254
1,"[319, 418]",531.571077
1,"[373, 414]",532.173629
1,"[52, 71]",591.864676
1,"[168, 272]",638.726867
1,"[141, 403]",654.577008
1,"[83, 147]",662.042901
1,"[261, 436]",685.065067
1,"[53, 231]",709.916517
1,"[278, 291]",718.893514
1,"[273, 396]",722.598177
1,"[279, 409]",723.080859
1,"[133, 357]",727.139157
1,"[81, 244]",736.155557
1,"[42, 261]",739.750923
1,"[25, 311]",745.103533
1,"[42, 51]",748.136851
1,"[181, 394]",765.114896
1,"[32, 109]",787.205844
1,"[314, 439]",802.840165
1,"[349, 393]",815.483938
1,"[28, 442]",822.986135
1,"[171, 325]",827.412406
1,"[76, 249]",852.566241
1,"[137, 418]",854.194367
1,"[239, 433]",861.315872
1,"[195, 318]",875.750179
1,"[86, 92]",889.48399
1,"[62, 75]",928.535275
1,"[79, 107]",933.533162
1,"[23, 152]",1122.786041
1,"[59, 159]",1123.637807
2,"[76, 418]",560.295948
2,"[181, 403]",568.775181
2,"[165, 418]",576.174442
2,"[373, 396]",622.134701
2,"[181, 231]",673.899963
2,"[215, 273]",692.110129
2,"[130, 291]",702.767332
2,"[97, 394]",744.839063
2,"[42, 51]",748.136851
2,"[76, 145]",762.2326
2,"[181, 394]",765.114896
2,"[32, 109]",787.205844
2,"[314, 439]",802.840165
2,"[349, 393]",815.483938
2,"[28, 442]",822.986135
2,"[171, 325]",827.412406
2,"[42, 436]",835.855475
2,"[76, 249]",852.566241
2,"[137, 418]",854.194367
2,"[239, 433]",861.315872
2,"[81, 357]",872.592106
2,"[195, 318]",875.750179
2,"[86, 92]",889.48399
2,"[59, 353]",891.35797
2,"[62, 75]",928.535275
2,"[79, 107]",933.533162
2,"[314, 363]",1030.51137
2,"[75, 433]",1056.260203
2,"[92, 393]",1068.221955
2,"[23, 152]",1122.786041
2,"[59, 159]",1123.637807
2,"[152, 439]",1136.220554
3,"[86, 393]",587.813932
3,"[51, 62]",633.111771
3,"[403, 413]",667.715501
3,"[43, 403]",738.048311
3,"[32, 247]",747.152574
3,"[79, 357]",755.715384
3,"[76, 394]",767.283799
3,"[239, 393]",773.933242
3,"[39, 291]",823.314517
3,"[33, 349]",830.202072
3,"[42, 436]",835.855475
3,"[81, 393]",842.727529
3,"[76, 249]",852.566241
3,"[137, 418]",854.194367
3,"[239, 433]",861.315872
3,"[81, 357]",872.592106
3,"[195, 318]",875.750179
3,"[53, 75]",877.898691
3,"[86, 92]",889.48399
3,"[59, 353]",891.35797
3,"[75, 403]",897.692809
3,"[38, 373]",923.282695
3,"[62, 75]",928.535275
3,"[79, 107]",933.533162
3,"[314, 363]",1030.51137
3,"[3, 249]",1044.01482
3,"[76, 159]",1056.197448
3,"[75, 433]",1056.260203
3,"[92, 393]",1068.221955
3,"[23, 152]",1122.786041
3,"[59, 159]",1123.637807
3,"[152, 439]",1136.220554
4,"[76, 282]",525.755758
4,"[62, 432]",561.568348
4,"[121, 436]",632.457789
4,"[224, 349]",681.823639
4,"[239, 418]",692.23416
4,"[206, 393]",730.62466
4,"[81, 165]",733.903974
4,"[52, 349]",772.270832
4,"[291, 405]",802.365828
4,"[117, 436]",870.295324
4,"[195, 318]",875.750179
4,"[53, 75]",877.898691
4,"[86, 92]",889.48399
4,"[59, 353]",891.35797
4,"[81, 318]",896.47435
4,"[75, 403]",897.692809
4,"[38, 373]",923.282695
4,"[62, 75]",928.535275
4,"[79, 107]",933.533162
4,"[75, 413]",949.365299
4,"[314, 363]",1030.51137
4,"[3, 249]",1044.01482
4,"[76, 159]",1056.197448
4,"[75, 433]",1056.260203
4,"[75, 177]",1056.920502
4,"[92, 393]",1068.221955
4,"[82, 137]",1073.332722
4,"[23, 152]",1122.786041
4,"[59, 159]",1123.637807
4,"[152, 439]",1136.220554
4,"[62, 159]",1140.92929
