gen,filename,score
1,"[100, 427]",1.511
1,"[69, 300]",1.526
1,"[131, 328]",1.825
1,"[263, 399]",1.848
1,"[8, 431]",1.943
1,"[145, 284]",2.154
1,"[90, 257]",2.187
1,"[73, 216]",2.198
1,"[188, 287]",2.239
1,"[204, 350]",2.25
1,"[194, 392]",2.342
1,"[339, 403]",2.354
1,"[17, 132]",2.368
1,"[166, 432]",2.403
1,"[124, 289]",2.447
1,"[4, 335]",2.465
1,"[206, 339]",2.528
1,"[221, 385]",2.539
1,"[84, 168]",2.55
1,"[405, 424]",2.689
1,"[148, 267]",2.704
1,"[169, 202]",2.722
1,"[261, 393]",3.224
1,"[114, 442]",3.28
1,"[135, 161]",3.287
1,"[217, 316]",3.721
1,"[209, 255]",3.793
1,"[102, 155]",4.022
1,"[250, 255]",4.148
1,"[43, 316]",4.173
1,"[132, 341]",4.346
1,"[234, 374]",10
2,"[100, 427]",1.511
2,"[69, 300]",1.526
2,"[244, 263]",1.611
2,"[131, 328]",1.825
2,"[263, 399]",1.848
2,"[8, 431]",1.943
2,"[257, 313]",2.147
2,"[145, 284]",2.154
2,"[90, 257]",2.187
2,"[73, 216]",2.198
2,"[188, 287]",2.239
2,"[204, 350]",2.25
2,"[158, 424]",2.283
2,"[194, 392]",2.342
2,"[339, 403]",2.354
2,"[17, 132]",2.368
2,"[166, 432]",2.403
2,"[21, 84]",2.411
2,"[124, 289]",2.447
2,"[4, 335]",2.465
2,"[25, 289]",2.465
2,"[148, 393]",2.542
2,"[101, 114]",2.603
2,"[399, 408]",2.678
2,"[192, 300]",2.865
2,"[78, 148]",3.021
2,"[102, 321]",3.216
2,"[114, 138]",3.272
2,"[255, 375]",3.925
2,"[11, 221]",4.071
2,"[77, 339]",4.721
2,"[316, 397]",10
3,"[100, 427]",1.511
3,"[69, 300]",1.526
3,"[244, 263]",1.611
3,"[131, 328]",1.825
3,"[263, 399]",1.848
3,"[8, 431]",1.943
3,"[313, 354]",2.131
3,"[194, 285]",2.141
3,"[257, 313]",2.147
3,"[145, 284]",2.154
3,"[90, 257]",2.187
3,"[73, 216]",2.198
3,"[81, 194]",2.237
3,"[188, 287]",2.239
3,"[204, 350]",2.25
3,"[158, 424]",2.283
3,"[194, 392]",2.342
3,"[114, 218]",2.35
3,"[339, 403]",2.354
3,"[17, 132]",2.368
3,"[192, 328]",2.374
3,"[84, 102]",2.519
3,"[17, 416]",2.587
3,"[408, 437]",2.611
3,"[40, 335]",2.774
3,"[25, 138]",2.886
3,"[159, 339]",3.067
3,"[382, 424]",3.155
3,"[25, 270]",3.553
3,"[26, 399]",3.554
3,"[94, 114]",3.637
3,"[156, 399]",4.006
4,"[263, 302]",1.165
4,"[100, 427]",1.511
4,"[69, 300]",1.526
4,"[275, 427]",1.592
4,"[244, 263]",1.611
4,"[111, 244]",1.767
4,"[131, 328]",1.825
4,"[263, 399]",1.848
4,"[8, 431]",1.943
4,"[263, 407]",1.972
4,"[313, 354]",2.131
4,"[194, 285]",2.141
4,"[257, 313]",2.147
4,"[145, 284]",2.154
4,"[90, 257]",2.187
4,"[73, 216]",2.198
4,"[194, 287]",2.224
4,"[103, 431]",2.236
4,"[81, 194]",2.237
4,"[188, 287]",2.239
4,"[244, 318]",2.243
4,"[204, 350]",2.25
4,"[158, 424]",2.283
4,"[138, 206]",2.346
4,"[132, 165]",2.352
4,"[17, 116]",2.569
4,"[157, 339]",2.838
4,"[354, 411]",2.841
4,"[159, 218]",3.149
4,"[181, 437]",3.267
4,"[8, 9]",3.316
4,"[133, 339]",4.059
5,"[263, 302]",1.165
5,"[100, 427]",1.511
5,"[69, 300]",1.526
5,"[275, 427]",1.592
5,"[244, 263]",1.611
5,"[216, 263]",1.677
5,"[131, 433]",1.751
5,"[111, 244]",1.767
5,"[131, 328]",1.825
5,"[263, 399]",1.848
5,"[8, 431]",1.943
5,"[263, 407]",1.972
5,"[194, 230]",1.995
5,"[73, 380]",2.044
5,"[13, 431]",2.058
