gen,filename,score
1,"[203, 386]",2.077
1,"[117, 328]",2.147
1,"[147, 420]",2.164
1,"[141, 260]",2.177
1,"[235, 325]",2.246
1,"[95, 419]",2.28
1,"[172, 412]",2.317
1,"[312, 355]",2.461
1,"[6, 81]",2.549
1,"[225, 275]",2.571
1,"[82, 350]",2.612
1,"[27, 220]",2.656
1,"[65, 287]",2.754
1,"[216, 287]",2.987
1,"[239, 401]",2.991
1,"[16, 233]",3.054
1,"[228, 422]",3.185
1,"[5, 314]",3.247
1,"[350, 406]",3.503
1,"[273, 399]",3.718
2,"[27, 420]",1.751
2,"[27, 328]",1.984
2,"[147, 247]",2.051
2,"[203, 386]",2.077
2,"[141, 419]",2.107
2,"[117, 328]",2.147
2,"[147, 420]",2.164
2,"[141, 260]",2.177
2,"[235, 325]",2.246
2,"[95, 419]",2.28
2,"[172, 412]",2.317
2,"[287, 350]",2.395
2,"[6, 287]",2.46
2,"[312, 355]",2.461
2,"[251, 350]",2.507
2,"[6, 81]",2.549
2,"[225, 275]",2.571
2,"[239, 325]",2.653
2,"[83, 287]",2.79
2,"[273, 406]",10
3,"[27, 420]",1.751
3,"[27, 328]",1.984
3,"[117, 386]",2.042
3,"[147, 247]",2.051
3,"[203, 386]",2.077
3,"[420, 436]",2.103
3,"[141, 419]",2.107
3,"[117, 328]",2.147
3,"[147, 420]",2.164
3,"[141, 260]",2.177
3,"[247, 271]",2.183
3,"[235, 325]",2.246
3,"[95, 419]",2.28
3,"[128, 141]",2.287
3,"[260, 372]",2.318
3,"[6, 81]",2.549
3,"[268, 355]",2.787
3,"[291, 350]",2.838
3,"[83, 355]",3.244
3,"[172, 406]",3.406
4,"[27, 420]",1.751
4,"[27, 328]",1.984
4,"[117, 386]",2.042
4,"[147, 247]",2.051
4,"[203, 386]",2.077
4,"[420, 436]",2.103
4,"[141, 419]",2.107
4,"[235, 420]",2.118
4,"[117, 328]",2.147
4,"[147, 420]",2.164
4,"[141, 260]",2.177
4,"[172, 419]",2.197
4,"[268, 284]",2.201
4,"[105, 386]",2.226
4,"[406, 421]",2.272
4,"[203, 436]",2.34
4,"[6, 350]",2.467
4,"[19, 328]",2.515
4,"[168, 325]",2.543
4,"[309, 355]",3.789
5,"[27, 420]",1.751
5,"[91, 328]",1.859
5,"[117, 420]",1.922
5,"[27, 328]",1.984
5,"[172, 378]",2.031
5,"[117, 386]",2.042
5,"[147, 247]",2.051
5,"[203, 386]",2.077
5,"[420, 436]",2.103
5,"[141, 419]",2.107
5,"[235, 420]",2.118
5,"[117, 328]",2.147
5,"[147, 420]",2.164
5,"[205, 260]",2.264
5,"[105, 419]",2.437
5,"[197, 328]",2.51
5,"[105, 325]",2.698
5,"[255, 420]",2.838
5,"[144, 203]",2.982
5,"[325, 336]",3.434
6,"[27, 420]",1.751
6,"[91, 328]",1.859
6,"[117, 420]",1.922
6,"[27, 328]",1.984
6,"[147, 203]",2.024
6,"[172, 378]",2.031
6,"[117, 386]",2.042
6,"[147, 247]",2.051
6,"[105, 420]",2.06
6,"[91, 420]",2.076
6,"[203, 386]",2.077
6,"[420, 436]",2.103
6,"[171, 419]",2.107
6,"[141, 419]",2.107
6,"[147, 420]",2.164
6,"[117, 436]",2.181
6,"[144, 376]",2.268
6,"[221, 419]",2.554
6,"[105, 266]",2.637
6,"[328, 340]",2.95
7,"[27, 420]",1.751
7,"[27, 419]",1.818
7,"[91, 328]",1.859
7,"[117, 420]",1.922
7,"[27, 328]",1.984
7,"[147, 203]",2.024
7,"[172, 378]",2.031
7,"[117, 386]",2.042
7,"[147, 247]",2.051
7,"[105, 420]",2.06
7,"[91, 420]",2.076
7,"[147, 419]",2.128
7,"[168, 386]",2.277
7,"[190, 420]",2.318
7,"[395, 420]",2.347
7,"[328, 419]",2.365
