gen,filename,score
1,"[261, 436]",-0.09418252570379741
1,"[42, 261]",0.0387010928831093
1,"[373, 414]",0.2897174368383282
1,"[168, 272]",0.4283699099094086
1,"[53, 231]",0.5325518662184174
1,"[279, 409]",0.7505554448537477
1,"[76, 249]",0.7564561538740032
1,"[273, 396]",0.8356060455968815
1,"[52, 71]",0.9973974796948963
1,"[171, 325]",1.091727837652565
1,"[25, 311]",1.0992106892319138
1,"[278, 291]",1.5068048410319568
1,"[349, 393]",1.839063871463265
1,"[62, 75]",1.868885790226031
1,"[32, 109]",1.9050358051668754
1,"[83, 147]",2.1316657369791847
1,"[314, 439]",2.3685466453204516
1,"[59, 159]",2.384245346691668
1,"[181, 394]",2.4680230510644674
1,"[28, 442]",3.063073848169484
1,"[79, 107]",3.2287869158482487
1,"[319, 418]",7.509909248743193
1,"[133, 357]",21.118812289307836
1,"[137, 418]",21.1444571514614
2,"[261, 436]",-0.09418252570379741
2,"[42, 261]",0.0387010928831093
2,"[97, 442]",0.28917632929199094
2,"[373, 414]",0.2897174368383282
2,"[168, 272]",0.4283699099094086
2,"[53, 231]",0.5325518662184174
2,"[42, 409]",0.5477372538763032
2,"[51, 409]",0.6308952722518569
2,"[75, 272]",0.6730736294679713
2,"[279, 409]",0.7505554448537477
2,"[76, 249]",0.7564561538740032
2,"[273, 396]",0.8356060455968815
2,"[62, 396]",0.9677653862717606
2,"[52, 71]",0.9973974796948963
2,"[171, 325]",1.091727837652565
2,"[25, 311]",1.0992106892319138
2,"[247, 325]",1.397627045736982
2,"[278, 291]",1.5068048410319568
2,"[349, 442]",1.6554493970494495
2,"[279, 396]",1.735964147620915
2,"[23, 59]",1.9718794371049027
2,"[32, 231]",2.1399426383349684
2,"[1, 109]",2.2844612900800323
2,"[83, 107]",11.16598876438922
3,"[261, 436]",-0.09418252570379741
3,"[42, 261]",0.0387010928831093
3,"[109, 174]",0.13942839222861608
3,"[97, 442]",0.28917632929199094
3,"[373, 414]",0.2897174368383282
3,"[52, 361]",0.3249952119026669
3,"[168, 272]",0.4283699099094086
3,"[373, 440]",0.5142455625212099
3,"[53, 231]",0.5325518662184174
3,"[42, 409]",0.5477372538763032
3,"[51, 409]",0.6308952722518569
3,"[75, 272]",0.6730736294679713
3,"[279, 409]",0.7505554448537477
3,"[76, 249]",0.7564561538740032
3,"[273, 396]",0.8356060455968815
3,"[51, 442]",0.8550614123516239
3,"[62, 109]",0.966992930286205
3,"[279, 291]",1.1833566315653987
3,"[59, 279]",1.3569705524375626
3,"[325, 349]",1.4539231285707186
3,"[109, 168]",2.541330137444018
3,"[278, 396]",2.738049209507933
3,"[168, 442]",4.149814212851621
3,"[1, 353]",4.31317540485431
