gen,filename,score
1,"[100, 427]",1.511
1,"[69, 300]",1.526
1,"[131, 328]",1.825
1,"[263, 399]",1.848
1,"[8, 431]",1.943
1,"[145, 284]",2.154
1,"[90, 257]",2.187
1,"[73, 216]",2.198
1,"[188, 287]",2.239
1,"[204, 350]",2.25
1,"[194, 392]",2.342
1,"[339, 403]",2.354
1,"[166, 432]",2.403
1,"[124, 289]",2.447
1,"[206, 339]",2.528
1,"[84, 168]",2.55
1,"[405, 424]",2.689
1,"[148, 267]",2.704
1,"[169, 202]",2.722
1,"[261, 393]",3.224
1,"[114, 442]",3.28
1,"[135, 161]",3.287
1,"[217, 316]",3.721
1,"[209, 255]",3.793
1,"[102, 155]",4.022
1,"[250, 255]",4.148
1,"[43, 316]",4.173
1,"[234, 374]",10
2,"[100, 427]",1.511
2,"[69, 300]",1.526
2,"[131, 328]",1.825
2,"[263, 399]",1.848
2,"[8, 442]",1.895
2,"[8, 431]",1.943
2,"[100, 442]",2.083
2,"[145, 284]",2.154
2,"[90, 257]",2.187
2,"[73, 216]",2.198
2,"[188, 287]",2.239
2,"[204, 350]",2.25
2,"[100, 359]",2.252
2,"[166, 204]",2.256
2,"[100, 267]",2.265
2,"[84, 257]",2.267
2,"[100, 300]",2.273
2,"[100, 218]",2.304
2,"[194, 392]",2.342
2,"[339, 403]",2.354
2,"[261, 431]",2.396
2,"[166, 432]",2.403
2,"[124, 289]",2.447
2,"[145, 202]",2.77
2,"[350, 405]",2.85
2,"[216, 339]",3.429
2,"[155, 250]",4.417
2,"[132, 155]",4.699
3,"[100, 427]",1.511
3,"[69, 300]",1.526
3,"[131, 328]",1.825
3,"[263, 399]",1.848
3,"[8, 442]",1.895
3,"[8, 431]",1.943
3,"[145, 403]",1.959
3,"[8, 403]",2.026
3,"[100, 442]",2.083
3,"[145, 284]",2.154
3,"[90, 257]",2.187
3,"[73, 216]",2.198
3,"[100, 202]",2.2
3,"[188, 287]",2.239
3,"[204, 350]",2.25
3,"[100, 359]",2.252
3,"[166, 204]",2.256
3,"[132, 289]",2.355
3,"[84, 287]",2.4
3,"[194, 280]",2.613
3,"[100, 321]",2.719
3,"[187, 300]",2.812
3,"[250, 300]",2.824
3,"[216, 432]",2.826
3,"[155, 166]",3.12
3,"[86, 339]",3.28
3,"[216, 392]",4.068
3,"[216, 405]",4.221
4,"[8, 77]",0.681
4,"[100, 427]",1.511
4,"[69, 300]",1.526
4,"[131, 328]",1.825
4,"[263, 399]",1.848
4,"[8, 442]",1.895
4,"[8, 431]",1.943
4,"[145, 403]",1.959
4,"[8, 287]",1.975
4,"[73, 442]",1.979
4,"[73, 399]",2.014
4,"[8, 403]",2.026
4,"[100, 442]",2.083
4,"[145, 284]",2.154
4,"[90, 257]",2.187
4,"[73, 216]",2.198
4,"[100, 202]",2.2
4,"[188, 287]",2.239
4,"[166, 284]",2.249
4,"[138, 194]",2.263
4,"[86, 442]",2.297
4,"[11, 194]",2.301
4,"[132, 287]",2.418
4,"[216, 403]",2.48
4,"[86, 300]",2.544
4,"[250, 403]",2.572
4,"[194, 405]",2.696
4,"[166, 202]",2.751
5,"[8, 77]",0.681
5,"[100, 427]",1.511
5,"[69, 300]",1.526
5,"[73, 202]",1.727
5,"[131, 328]",1.825
5,"[263, 399]",1.848
5,"[8, 442]",1.895
5,"[8, 431]",1.943
5,"[145, 403]",1.959
5,"[8, 287]",1.975
5,"[73, 442]",1.979
5,"[73, 399]",2.014
5,"[8, 403]",2.026
5,"[141, 287]",2.031
5,"[100, 442]",2.083
5,"[194, 403]",2.083
5,"[263, 427]",2.101
5,"[145, 284]",2.154
5,"[194, 331]",2.252
5,"[382, 431]",2.291
5,"[73, 217]",2.418
5,"[166, 287]",2.464
5,"[94, 403]",2.47
5,"[86, 300]",2.544
5,"[11, 257]",2.544
5,"[191, 287]",2.701
5,"[36, 405]",2.939
5,"[205, 284]",2.957
6,"[8, 77]",0.681
6,"[100, 427]",1.511
6,"[69, 300]",1.526
