gen,filename,score
1,"[87, 293]",1.398
1,"[87, 222]",1.422
1,"[95, 427]",1.503
1,"[53, 73]",1.553
1,"[111, 196]",1.875
1,"[181, 309]",2.139
1,"[158, 348]",2.235
1,"[17, 142]",2.239
1,"[195, 437]",2.244
1,"[407, 431]",2.267
1,"[75, 303]",2.28
1,"[101, 385]",2.412
1,"[64, 118]",2.415
1,"[21, 366]",2.461
1,"[320, 416]",2.49
1,"[281, 329]",2.616
1,"[15, 267]",2.623
1,"[362, 429]",2.638
1,"[412, 439]",2.76
1,"[28, 303]",2.771
1,"[254, 353]",2.992
1,"[302, 353]",3.092
1,"[94, 396]",3.44
1,"[187, 408]",3.661
1,"[25, 214]",3.896
1,"[16, 90]",3.957
1,"[249, 406]",4.199
1,"[5, 224]",10
2,"[87, 293]",1.398
2,"[87, 222]",1.422
2,"[95, 427]",1.503
2,"[53, 73]",1.553
2,"[2, 427]",1.765
2,"[111, 196]",1.875
2,"[195, 431]",2.06
2,"[303, 424]",2.12
2,"[181, 309]",2.139
2,"[158, 200]",2.146
2,"[118, 320]",2.182
2,"[158, 348]",2.235
2,"[17, 142]",2.239
2,"[195, 437]",2.244
2,"[407, 431]",2.267
2,"[75, 303]",2.28
2,"[293, 407]",2.349
2,"[95, 300]",2.39
2,"[101, 385]",2.412
2,"[64, 118]",2.415
2,"[21, 366]",2.461
2,"[412, 417]",2.483
2,"[181, 431]",2.525
2,"[272, 362]",2.899
2,"[191, 408]",2.923
2,"[197, 416]",3.1
2,"[249, 329]",3.208
2,"[16, 109]",4.027
3,"[352, 416]",1.304
3,"[87, 293]",1.398
3,"[87, 222]",1.422
3,"[95, 427]",1.503
3,"[53, 73]",1.553
3,"[158, 427]",1.693
3,"[2, 427]",1.765
3,"[111, 196]",1.875
3,"[195, 431]",2.06
3,"[0, 431]",2.071
3,"[303, 424]",2.12
3,"[181, 309]",2.139
3,"[158, 200]",2.146
3,"[118, 320]",2.182
3,"[195, 366]",2.203
3,"[158, 348]",2.235
3,"[17, 142]",2.239
3,"[195, 437]",2.244
3,"[95, 142]",2.246
3,"[254, 431]",2.28
3,"[95, 408]",2.373
3,"[53, 329]",2.6
3,"[267, 362]",2.69
3,"[109, 407]",2.949
3,"[64, 109]",3.581
3,"[16, 118]",3.591
3,"[272, 309]",3.732
3,"[207, 272]",4.71
4,"[109, 352]",0.973
4,"[352, 416]",1.304
4,"[87, 293]",1.398
4,"[87, 222]",1.422
4,"[95, 427]",1.503
4,"[53, 73]",1.553
4,"[158, 427]",1.693
4,"[2, 427]",1.765
4,"[111, 196]",1.875
4,"[129, 158]",1.929
4,"[73, 272]",1.935
4,"[111, 142]",1.964
4,"[100, 118]",2.024
4,"[195, 431]",2.06
4,"[0, 431]",2.071
4,"[73, 95]",2.092
4,"[95, 196]",2.103
4,"[53, 222]",2.117
4,"[303, 424]",2.12
4,"[181, 309]",2.139
4,"[158, 200]",2.146
4,"[142, 158]",2.181
4,"[118, 320]",2.182
4,"[158, 283]",2.276
4,"[0, 348]",2.404
