gen,filename,score
1,"[111, 196]",449.847901
1,"[320, 416]",576.47079
1,"[53, 73]",579.473841
1,"[25, 214]",588.354652
1,"[407, 431]",590.213502
1,"[16, 90]",638.021663
1,"[412, 439]",643.034265
1,"[101, 385]",644.99247
1,"[181, 309]",652.690095
1,"[281, 329]",658.741937
1,"[5, 224]",665.146788
1,"[21, 366]",667.659239
1,"[87, 293]",675.669772
1,"[362, 429]",676.275884
1,"[187, 408]",681.825165
1,"[17, 142]",709.293861
1,"[195, 437]",802.845839
1,"[95, 427]",835.091428
1,"[302, 353]",839.333041
1,"[87, 222]",849.812058
1,"[15, 267]",852.11836
1,"[28, 303]",860.335947
1,"[158, 348]",903.857499
1,"[64, 118]",919.900809
1,"[254, 353]",961.811474
1,"[75, 303]",1024.118339
1,"[249, 406]",1037.366693
1,"[94, 396]",1479.091861
2,"[302, 396]",594.55287
2,"[197, 429]",605.441317
2,"[142, 362]",656.540955
2,"[187, 408]",681.825165
2,"[2, 303]",683.557703
2,"[53, 109]",683.631493
2,"[17, 142]",709.293861
2,"[191, 431]",714.187537
2,"[281, 417]",766.181051
2,"[5, 272]",774.384734
2,"[293, 320]",779.68769
2,"[195, 437]",802.845839
2,"[424, 427]",823.571725
2,"[95, 427]",835.091428
2,"[302, 353]",839.333041
2,"[28, 200]",848.078296
2,"[87, 222]",849.812058
2,"[15, 267]",852.11836
2,"[28, 303]",860.335947
2,"[158, 348]",903.857499
2,"[64, 118]",919.900809
2,"[87, 353]",927.486375
2,"[158, 353]",934.71372
2,"[254, 353]",961.811474
2,"[75, 303]",1024.118339
2,"[249, 406]",1037.366693
2,"[75, 300]",1047.724491
2,"[94, 396]",1479.091861
3,"[302, 417]",572.122114
3,"[87, 431]",605.014289
3,"[2, 207]",661.805764
3,"[95, 396]",702.584782
3,"[352, 362]",715.253649
3,"[293, 408]",721.539895
3,"[0, 109]",726.377902
3,"[2, 348]",779.420948
3,"[109, 254]",787.906582
3,"[281, 396]",789.16416
3,"[302, 353]",839.333041
3,"[267, 303]",843.130051
3,"[28, 200]",848.078296
3,"[87, 222]",849.812058
3,"[15, 267]",852.11836
3,"[28, 303]",860.335947
3,"[158, 348]",903.857499
3,"[64, 118]",919.900809
3,"[87, 353]",927.486375
3,"[158, 353]",934.71372
3,"[75, 429]",941.331466
3,"[254, 353]",961.811474
3,"[200, 249]",1020.623078
3,"[75, 303]",1024.118339
3,"[249, 406]",1037.366693
3,"[75, 300]",1047.724491
3,"[249, 353]",1159.9039
3,"[94, 396]",1479.091861
4,"[2, 396]",565.283523
4,"[87, 362]",681.874111
4,"[28, 129]",740.364491
4,"[130, 200]",769.994838
4,"[87, 200]",788.431768
4,"[87, 303]",800.828438
4,"[15, 100]",838.596184
4,"[222, 429]",843.784983
4,"[15, 267]",852.11836
4,"[28, 303]",860.335947
4,"[158, 348]",903.857499
4,"[75, 396]",906.162869
4,"[281, 303]",907.364123
4,"[64, 118]",919.900809
4,"[87, 353]",927.486375
4,"[158, 353]",934.71372
4,"[75, 429]",941.331466
4,"[249, 429]",949.681593
4,"[352, 353]",958.83006
4,"[254, 353]",961.811474
4,"[200, 353]",992.051724
4,"[200, 249]",1020.623078
4,"[75, 303]",1024.118339
4,"[249, 406]",1037.366693
4,"[75, 300]",1047.724491
4,"[249, 353]",1159.9039
4,"[94, 396]",1479.091861
4,"[28, 283]",1719.565037
5,"[87, 432]",579.610941
5,"[199, 200]",642.458934
5,"[200, 238]",655.299059
5,"[130, 362]",662.993805
5,"[87, 129]",680.761111
5,"[201, 429]",787.765127
5,"[276, 300]",794.491612
5,"[222, 396]",807.85399
5,"[249, 362]",913.400093
5,"[87, 353]",927.486375
5,"[158, 353]",934.71372
5,"[75, 429]",941.331466
5,"[249, 429]",949.681593
5,"[352, 353]",958.83006
5,"[75, 203]",959.551182
5,"[254, 353]",961.811474
5,"[75, 100]",976.772173
5,"[249, 352]",987.184072
5,"[200, 353]",992.051724
5,"[249, 267]",998.479058
5,"[200, 249]",1020.623078
5,"[75, 303]",1024.118339
5,"[249, 406]",1037.366693
5,"[75, 300]",1047.724491
5,"[164, 249]",1074.946042
5,"[249, 353]",1159.9039
5,"[94, 396]",1479.091861
5,"[28, 283]",1719.565037
6,"[276, 396]",653.068116
6,"[87, 342]",682.403152
6,"[158, 362]",689.376248
6,"[352, 362]",715.253649
6,"[87, 433]",833.019789
6,"[75, 396]",906.162869
6,"[129, 249]",912.945562
6,"[75, 247]",935.551763
6,"[75, 203]",959.551182
6,"[254, 353]",961.811474
6,"[158, 249]",963.190392
6,"[75, 100]",976.772173
6,"[100, 249]",985.154648
6,"[249, 352]",987.184072
6,"[200, 353]",992.051724
6,"[249, 298]",998.249287
6,"[249, 267]",998.479058
6,"[200, 249]",1020.623078
6,"[75, 303]",1024.118339
6,"[249, 303]",1032.984074
6,"[249, 406]",1037.366693
6,"[75, 300]",1047.724491
6,"[164, 249]",1074.946042
6,"[249, 353]",1159.9039
6,"[94, 396]",1479.091861
6,"[28, 283]",1719.565037
6,"[150, 283]",1733.578438
6,"[94, 249]",1753.014027
7,"[129, 396]",639.219905
7,"[87, 87]",724.529938
7,"[28, 396]",742.433908
7,"[11, 300]",771.454176
7,"[164, 396]",801.313858
7,"[226, 254]",809.95798
7,"[158, 300]",831.813444
7,"[155, 249]",870.717847
7,"[75, 396]",906.162869
7,"[249, 250]",967.674032
7,"[249, 352]",987.184072
7,"[75, 267]",989.976469
7,"[200, 353]",992.051724
7,"[249, 298]",998.249287
7,"[249, 267]",998.479058
7,"[200, 249]",1020.623078
7,"[75, 303]",1024.118339
7,"[249, 303]",1032.984074
7,"[249, 406]",1037.366693
7,"[75, 300]",1047.724491
7,"[175, 249]",1056.07722
7,"[75, 433]",1056.260203
7,"[164, 249]",1074.946042
7,"[249, 353]",1159.9039
7,"[94, 396]",1479.091861
7,"[28, 283]",1719.565037
7,"[150, 283]",1733.578438
7,"[94, 249]",1753.014027
8,"[141, 250]",715.356542
8,"[158, 303]",808.115901
8,"[232, 254]",831.396273
8,"[150, 267]",840.237398
8,"[33, 300]",861.015107
8,"[75, 268]",870.247083
8,"[24, 164]",911.865056
8,"[158, 353]",934.71372
8,"[249, 254]",990.325572
8,"[249, 298]",998.249287
8,"[249, 267]",998.479058
8,"[200, 249]",1020.623078
8,"[75, 303]",1024.118339
8,"[249, 303]",1032.984074
8,"[249, 406]",1037.366693
8,"[75, 300]",1047.724491
8,"[175, 249]",1056.07722
8,"[75, 433]",1056.260203
8,"[164, 249]",1074.946042
8,"[249, 353]",1159.9039
8,"[249, 249]",1188.516809
8,"[94, 396]",1479.091861
8,"[94, 298]",1562.644027
8,"[94, 300]",1621.158565
8,"[28, 283]",1719.565037
8,"[150, 283]",1733.578438
8,"[94, 249]",1753.014027
8,"[94, 283]",2456.700557
9,"[327, 406]",772.581479
9,"[24, 299]",786.364863
9,"[22, 150]",797.334717
9,"[267, 420]",847.982149
9,"[388, 406]",856.288145
9,"[90, 249]",870.85022
9,"[249, 418]",895.953312
9,"[249, 254]",990.325572
9,"[249, 406]",1037.366693
9,"[249, 384]",1047.332057
9,"[75, 300]",1047.724491
9,"[175, 249]",1056.07722
9,"[75, 433]",1056.260203
9,"[249, 300]",1056.741029
9,"[164, 249]",1074.946042
9,"[249, 353]",1159.9039
9,"[249, 249]",1188.516809
9,"[94, 396]",1479.091861
9,"[94, 254]",1554.600866
9,"[94, 298]",1562.644027
9,"[94, 300]",1621.158565
9,"[94, 433]",1629.391027
9,"[94, 164]",1639.365907
9,"[28, 283]",1719.565037
9,"[150, 283]",1733.578438
9,"[94, 249]",1753.014027
9,"[75, 283]",1883.379433
9,"[94, 283]",2456.700557
10,"[156, 384]",703.878717
10,"[254, 327]",725.75985
10,"[264, 433]",806.952571
10,"[219, 249]",862.264351
10,"[300, 320]",928.619235
10,"[75, 406]",1028.403024
10,"[150, 249]",1029.737407
10,"[249, 406]",1037.366693
10,"[75, 433]",1056.260203
10,"[249, 300]",1056.741029
10,"[164, 249]",1074.946042
10,"[249, 353]",1159.9039
10,"[249, 249]",1188.516809
10,"[94, 396]",1479.091861
10,"[94, 254]",1554.600866
10,"[94, 298]",1562.644027
10,"[94, 150]",1593.912129
10,"[94, 406]",1601.463652
10,"[94, 300]",1621.158565
10,"[94, 433]",1629.391027
10,"[94, 164]",1639.365907
10,"[237, 283]",1705.050844
10,"[283, 388]",1711.607065
10,"[28, 283]",1719.565037
10,"[150, 283]",1733.578438
10,"[94, 249]",1753.014027
10,"[75, 283]",1883.379433
10,"[94, 283]",2456.700557
11,"[150, 280]",707.164342
11,"[65, 249]",829.86607
11,"[156, 249]",845.007274
11,"[61, 150]",959.007042
11,"[254, 338]",1049.276624
11,"[249, 300]",1056.741029
11,"[164, 249]",1074.946042
11,"[94, 254]",1554.600866
11,"[94, 298]",1562.644027
11,"[94, 388]",1572.152042
11,"[94, 349]",1590.984174
11,"[94, 150]",1593.912129
11,"[94, 406]",1601.463652
11,"[94, 300]",1621.158565
11,"[94, 433]",1629.391027
11,"[94, 164]",1639.365907
11,"[223, 283]",1668.494876
11,"[273, 283]",1700.284816
11,"[237, 283]",1705.050844
11,"[283, 388]",1711.607065
11,"[28, 283]",1719.565037
11,"[94, 353]",1724.070392
11,"[245, 283]",1732.031776
11,"[150, 283]",1733.578438
11,"[94, 249]",1753.014027
11,"[75, 283]",1883.379433
11,"[249, 283]",1892.209359
11,"[94, 283]",2456.700557
12,"[223, 406]",813.627211
12,"[249, 371]",847.20586
12,"[75, 280]",857.143394
12,"[243, 300]",877.050943
12,"[273, 353]",967.709191
12,"[75, 300]",1047.724491
12,"[61, 249]",1117.127682
12,"[107, 353]",1156.822683
12,"[152, 338]",1536.399013
12,"[94, 254]",1554.600866
12,"[94, 349]",1590.984174
12,"[94, 300]",1621.158565
12,"[94, 433]",1629.391027
12,"[94, 164]",1639.365907
12,"[223, 283]",1668.494876
12,"[273, 283]",1700.284816
12,"[237, 283]",1705.050844
12,"[283, 388]",1711.607065
12,"[28, 283]",1719.565037
12,"[94, 353]",1724.070392
12,"[245, 283]",1732.031776
12,"[150, 283]",1733.578438
12,"[94, 249]",1753.014027
12,"[164, 283]",1778.773947
12,"[75, 283]",1883.379433
12,"[249, 283]",1892.209359
12,"[94, 283]",2456.700557
12,"[283, 283]",2596.343192
13,"[121, 280]",514.247792
13,"[242, 300]",639.1195
13,"[254, 259]",779.190991
13,"[179, 243]",809.02847
13,"[243, 352]",809.482586
13,"[75, 192]",810.241146
13,"[2, 75]",830.461067
13,"[273, 300]",864.264732
13,"[150, 300]",897.905331
13,"[245, 433]",904.190045
13,"[249, 353]",1159.9039
13,"[94, 280]",1430.269035
13,"[94, 301]",1478.177655
13,"[94, 206]",1505.609293
13,"[223, 283]",1668.494876
13,"[273, 283]",1700.284816
13,"[237, 283]",1705.050844
13,"[283, 388]",1711.607065
13,"[28, 283]",1719.565037
13,"[94, 353]",1724.070392
13,"[245, 283]",1732.031776
13,"[150, 283]",1733.578438
13,"[94, 249]",1753.014027
13,"[164, 283]",1778.773947
13,"[75, 283]",1883.379433
13,"[249, 283]",1892.209359
13,"[94, 283]",2456.700557
13,"[283, 283]",2596.343192
14,"[242, 243]",591.543015
14,"[192, 273]",626.380597
14,"[245, 358]",758.643374
14,"[237, 300]",869.606431
14,"[164, 177]",952.080784
14,"[179, 353]",959.525975
14,"[273, 353]",967.709191
14,"[75, 352]",979.926415
14,"[237, 249]",1001.242017
14,"[2, 283]",1542.849605
14,"[101, 283]",1569.31241
14,"[280, 283]",1569.315034
14,"[223, 283]",1668.494876
14,"[283, 365]",1682.590446
14,"[273, 283]",1700.284816
14,"[237, 283]",1705.050844
14,"[283, 388]",1711.607065
14,"[28, 283]",1719.565037
14,"[94, 353]",1724.070392
14,"[245, 283]",1732.031776
14,"[150, 283]",1733.578438
14,"[94, 249]",1753.014027
14,"[177, 283]",1769.183591
14,"[164, 283]",1778.773947
14,"[75, 283]",1883.379433
14,"[249, 283]",1892.209359
14,"[94, 283]",2456.700557
14,"[283, 283]",2596.343192
15,"[215, 273]",692.110129
15,"[2, 177]",716.426533
15,"[237, 274]",717.92431
15,"[157, 245]",757.43626
15,"[245, 445]",809.130778
15,"[193, 280]",821.594587
15,"[164, 388]",894.194424
15,"[75, 147]",928.783566
15,"[75, 273]",987.260184
15,"[245, 353]",999.600177
15,"[28, 249]",1015.771872
15,"[280, 283]",1569.315034
