gen,filename,score
1,"[212, 329]",448.509764
1,"[23, 354]",461.941254
1,"[1, 439]",530.242944
1,"[319, 418]",531.571077
1,"[373, 414]",532.173629
1,"[65, 435]",554.98297
1,"[23, 213]",568.173947
1,"[52, 71]",591.864676
1,"[8, 67]",603.020355
1,"[165, 287]",603.343351
1,"[168, 272]",638.726867
1,"[189, 445]",639.626305
1,"[141, 403]",654.577008
1,"[83, 147]",662.042901
1,"[261, 436]",685.065067
1,"[53, 231]",709.916517
1,"[278, 291]",718.893514
1,"[273, 396]",722.598177
1,"[279, 409]",723.080859
1,"[133, 357]",727.139157
1,"[81, 244]",736.155557
1,"[8, 343]",738.556544
1,"[42, 261]",739.750923
1,"[239, 247]",740.875543
1,"[25, 311]",745.103533
1,"[42, 51]",748.136851
1,"[117, 391]",757.593708
1,"[95, 178]",760.414352
1,"[181, 394]",765.114896
1,"[32, 109]",787.205844
1,"[314, 439]",802.840165
1,"[349, 393]",815.483938
1,"[28, 442]",822.986135
1,"[171, 325]",827.412406
1,"[76, 249]",852.566241
1,"[137, 418]",854.194367
1,"[239, 433]",861.315872
1,"[195, 318]",875.750179
1,"[86, 92]",889.48399
1,"[62, 75]",928.535275
1,"[79, 107]",933.533162
1,"[119, 411]",973.171734
1,"[178, 307]",1003.31445
1,"[229, 374]",1010.526106
1,"[23, 152]",1122.786041
1,"[59, 159]",1123.637807
1,"[113, 315]",1136.620139
1,"[92, 434]",1146.908427
2,"[65, 396]",556.141775
2,"[23, 435]",558.300083
2,"[62, 439]",597.546396
2,"[83, 396]",639.741103
2,"[8, 71]",639.904665
2,"[239, 439]",644.449249
2,"[189, 409]",645.13811
2,"[174, 418]",652.72709
2,"[79, 440]",657.621159
2,"[273, 403]",713.116928
2,"[51, 349]",739.114254
2,"[32, 147]",739.848248
2,"[25, 311]",745.103533
2,"[42, 51]",748.136851
2,"[117, 391]",757.593708
2,"[95, 178]",760.414352
2,"[181, 394]",765.114896
2,"[193, 354]",772.969654
2,"[229, 418]",773.413531
2,"[32, 109]",787.205844
2,"[28, 445]",797.266757
2,"[8, 361]",799.908584
2,"[314, 439]",802.840165
2,"[349, 393]",815.483938
2,"[28, 442]",822.986135
2,"[171, 325]",827.412406
2,"[1, 353]",843.040872
2,"[76, 249]",852.566241
2,"[137, 418]",854.194367
2,"[239, 433]",861.315872
2,"[77, 393]",865.824833
2,"[195, 318]",875.750179
2,"[62, 374]",882.637519
2,"[130, 374]",882.849243
2,"[86, 92]",889.48399
