gen,filename,score
1,"[27, 174]",1.096
1,"[373, 414]",1.503
1,"[69, 391]",1.556
1,"[178, 307]",1.678
1,"[113, 315]",1.866
1,"[37, 165]",2.037
1,"[195, 318]",2.06
1,"[141, 403]",2.068
1,"[165, 287]",2.078
1,"[52, 71]",2.145
1,"[79, 107]",2.152
1,"[158, 386]",2.184
1,"[171, 325]",2.184
1,"[116, 315]",2.204
1,"[8, 67]",2.208
1,"[215, 288]",2.22
1,"[146, 394]",2.241
1,"[145, 440]",2.273
1,"[117, 391]",2.293
1,"[83, 147]",2.31
1,"[92, 434]",2.313
1,"[194, 363]",2.315
1,"[58, 399]",2.34
1,"[86, 92]",2.383
1,"[53, 231]",2.417
1,"[314, 439]",2.421
1,"[81, 244]",2.464
1,"[39, 97]",2.481
1,"[400, 403]",2.485
1,"[319, 418]",2.485
1,"[119, 411]",2.507
1,"[279, 409]",2.565
1,"[101, 358]",2.576
1,"[1, 439]",2.589
1,"[212, 329]",2.713
1,"[75, 402]",2.747
1,"[168, 272]",2.763
1,"[361, 444]",2.777
1,"[62, 75]",2.793
1,"[181, 394]",2.84
1,"[28, 442]",2.86
1,"[65, 435]",2.889
1,"[23, 354]",2.927
1,"[239, 247]",2.969
1,"[23, 213]",2.973
1,"[239, 433]",3.055
1,"[189, 445]",3.082
1,"[95, 178]",3.105
1,"[53, 53]",3.132
1,"[32, 109]",3.15
1,"[347, 362]",3.286
1,"[8, 343]",3.305
1,"[98, 151]",3.328
1,"[59, 159]",3.336
1,"[349, 393]",3.374
1,"[137, 418]",3.379
1,"[76, 249]",3.488
1,"[42, 261]",3.498
1,"[25, 311]",3.515
1,"[278, 291]",3.545
1,"[23, 152]",3.674
1,"[273, 396]",3.679
1,"[5, 363]",3.691
1,"[64, 170]",3.828
1,"[133, 357]",3.832
1,"[261, 436]",3.942
1,"[66, 244]",4.212
1,"[272, 327]",4.235
1,"[42, 51]",4.602
1,"[241, 322]",10
1,"[229, 374]",10
1,"[327, 374]",10
2,"[27, 174]",1.096
2,"[373, 414]",1.503
2,"[69, 391]",1.556
2,"[178, 307]",1.678
2,"[229, 409]",1.729
2,"[113, 315]",1.866
2,"[165, 386]",1.981
2,"[158, 434]",1.989
2,"[37, 165]",2.037
2,"[195, 318]",2.06
2,"[141, 403]",2.068
2,"[165, 287]",2.078
2,"[1, 315]",2.134
2,"[52, 71]",2.145
2,"[79, 107]",2.152
2,"[117, 272]",2.171
2,"[171, 325]",2.184
2,"[158, 386]",2.184
2,"[116, 315]",2.204
2,"[315, 319]",2.205
2,"[195, 439]",2.207
2,"[8, 67]",2.208
2,"[215, 288]",2.22
2,"[146, 394]",2.241
2,"[195, 435]",2.251
2,"[53, 206]",2.254
2,"[145, 440]",2.273
2,"[117, 391]",2.293
2,"[83, 147]",2.31
2,"[92, 434]",2.313
2,"[194, 363]",2.315
2,"[52, 439]",2.318
2,"[58, 399]",2.34
2,"[86, 92]",2.383
2,"[354, 404]",2.403
2,"[53, 231]",2.417
2,"[314, 439]",2.421
2,"[65, 394]",2.447
2,"[101, 244]",2.449
2,"[81, 244]",2.464
2,"[39, 97]",2.481
2,"[319, 418]",2.485
2,"[400, 403]",2.485
2,"[119, 411]",2.507
2,"[92, 116]",2.538
2,"[279, 409]",2.565
2,"[101, 358]",2.576
2,"[1, 439]",2.589
2,"[95, 291]",2.641
2,"[212, 329]",2.713
2,"[75, 402]",2.747
2,"[53, 279]",2.799
2,"[318, 347]",2.826
2,"[391, 400]",3.027
2,"[64, 247]",3.058
2,"[212, 396]",3.06
2,"[50, 314]",3.135
2,"[83, 247]",3.148
2,"[133, 418]",3.18
2,"[1, 213]",3.19
2,"[189, 439]",3.316
2,"[152, 366]",3.34
2,"[101, 261]",3.433
2,"[52, 213]",3.494
2,"[77, 358]",3.693
2,"[170, 178]",3.814
2,"[241, 396]",4.319
2,"[327, 400]",4.369
2,"[71, 130]",4.923
2,"[374, 417]",10
2,"[51, 168]",10
2,"[23, 374]",10
3,"[95, 374]",0.308
3,"[27, 174]",1.096
3,"[373, 414]",1.503
3,"[69, 391]",1.556
3,"[178, 307]",1.678
3,"[229, 409]",1.729
3,"[113, 315]",1.866
3,"[37, 403]",1.966
3,"[165, 386]",1.981
3,"[158, 434]",1.989
3,"[81, 409]",1.995
3,"[165, 358]",2.033
3,"[37, 165]",2.037
3,"[53, 394]",2.059
3,"[195, 318]",2.06
3,"[141, 403]",2.068
3,"[165, 287]",2.078
3,"[1, 315]",2.134
3,"[165, 268]",2.137
3,"[315, 391]",2.142
3,"[52, 71]",2.145
3,"[79, 107]",2.152
3,"[117, 272]",2.171
3,"[158, 386]",2.184
3,"[171, 325]",2.184
3,"[315, 434]",2.189
3,"[116, 315]",2.204
3,"[315, 319]",2.205
3,"[195, 439]",2.207
3,"[8, 67]",2.208
3,"[101, 147]",2.216
3,"[215, 288]",2.22
3,"[146, 394]",2.241
3,"[5, 315]",2.251
3,"[195, 435]",2.251
3,"[53, 206]",2.254
3,"[194, 394]",2.258
3,"[81, 403]",2.261
3,"[58, 438]",2.269
3,"[168, 285]",2.27
3,"[145, 440]",2.273
3,"[101, 318]",2.28
3,"[117, 391]",2.293
3,"[314, 358]",2.309
3,"[83, 147]",2.31
3,"[52, 412]",2.311
3,"[92, 434]",2.313
3,"[314, 434]",2.314
3,"[194, 363]",2.315
3,"[52, 439]",2.318
3,"[92, 391]",2.319
3,"[58, 399]",2.34
3,"[145, 201]",2.353
3,"[52, 411]",2.357
3,"[86, 92]",2.383
3,"[354, 404]",2.403
3,"[53, 231]",2.417
3,"[37, 177]",2.495
3,"[354, 439]",2.5
3,"[92, 116]",2.538
3,"[83, 403]",2.545
3,"[232, 363]",2.571
3,"[231, 326]",2.703
3,"[23, 107]",2.712
3,"[23, 125]",2.732
3,"[192, 319]",2.824
3,"[67, 237]",2.872
3,"[65, 358]",2.959
3,"[77, 440]",3.188
3,"[77, 97]",4.324
3,"[67, 241]",10
3,"[315, 432]",10
4,"[95, 374]",0.308
4,"[27, 174]",1.096
4,"[373, 414]",1.503
4,"[69, 391]",1.556
4,"[178, 307]",1.678
4,"[229, 409]",1.729
4,"[315, 369]",1.759
4,"[113, 315]",1.866
4,"[37, 403]",1.966
4,"[232, 409]",1.974
4,"[165, 386]",1.981
4,"[165, 409]",1.984
4,"[158, 434]",1.989
4,"[117, 244]",1.995
4,"[81, 409]",1.995
4,"[79, 403]",2.02
4,"[165, 358]",2.033
4,"[37, 165]",2.037
4,"[171, 223]",2.059
4,"[53, 394]",2.059
4,"[195, 318]",2.06
4,"[37, 358]",2.067
4,"[141, 403]",2.068
4,"[165, 287]",2.078
4,"[52, 386]",2.09
4,"[125, 158]",2.096
4,"[113, 318]",2.098
4,"[92, 187]",2.128
4,"[1, 315]",2.134
4,"[165, 268]",2.137
4,"[315, 403]",2.138
4,"[315, 391]",2.142
4,"[52, 71]",2.145
4,"[79, 107]",2.152
4,"[117, 272]",2.171
4,"[27, 236]",2.173
4,"[92, 358]",2.177
4,"[229, 434]",2.182
4,"[171, 325]",2.184
4,"[158, 386]",2.184
4,"[315, 434]",2.189
4,"[192, 285]",2.195
4,"[116, 315]",2.204
4,"[315, 319]",2.205
4,"[175, 229]",2.206
4,"[195, 439]",2.207
4,"[8, 67]",2.208
4,"[101, 147]",2.216
4,"[215, 288]",2.22
