gen,filename,score
1,"[21, 416]",346.449716
1,"[169, 202]",452.640107
1,"[192, 414]",455.206592
1,"[49, 268]",466.935772
1,"[138, 359]",492.758193
1,"[84, 168]",509.849635
1,"[155, 180]",535.377517
1,"[189, 280]",535.772248
1,"[339, 403]",546.340654
1,"[263, 399]",553.439248
1,"[316, 435]",579.364763
1,"[206, 339]",582.13013
1,"[217, 395]",588.27472
1,"[209, 255]",592.965107
1,"[344, 350]",599.868347
1,"[217, 316]",608.676365
1,"[73, 216]",610.713237
1,"[86, 408]",612.705624
1,"[9, 218]",618.411195
1,"[186, 326]",621.632226
1,"[97, 109]",627.703704
1,"[8, 431]",630.887515
1,"[17, 132]",647.815393
1,"[356, 418]",650.584828
1,"[6, 25]",659.560694
1,"[132, 341]",665.459808
1,"[90, 257]",666.961048
1,"[102, 155]",671.715786
1,"[261, 393]",677.767881
1,"[30, 158]",678.561554
1,"[43, 316]",686.721578
1,"[204, 350]",688.68921
1,"[188, 287]",698.24075
1,"[98, 248]",720.093379
1,"[15, 187]",720.946822
1,"[262, 280]",728.436264
1,"[284, 422]",741.731249
1,"[4, 335]",750.403695
1,"[78, 242]",760.88567
1,"[114, 313]",770.313068
1,"[3, 396]",770.602632
1,"[250, 255]",770.628445
1,"[333, 409]",773.016063
1,"[324, 420]",773.463265
1,"[194, 392]",782.258135
1,"[345, 403]",783.477877
1,"[180, 321]",785.320017
1,"[150, 182]",786.15775
1,"[114, 442]",801.393161
1,"[166, 432]",808.556278
1,"[405, 424]",814.175393
1,"[240, 303]",818.374944
1,"[318, 382]",819.775305
1,"[24, 32]",820.332643
1,"[124, 289]",829.970196
1,"[100, 427]",843.977067
1,"[69, 300]",847.401438
1,"[131, 328]",849.46173
1,"[82, 291]",879.739079
1,"[150, 262]",892.524611
1,"[221, 385]",896.071807
1,"[257, 314]",939.561284
1,"[145, 284]",945.243841
1,"[135, 215]",979.313717
1,"[116, 330]",1003.921899
1,"[310, 408]",1029.701391
1,"[234, 374]",1047.76713
1,"[148, 267]",1057.794276
1,"[135, 161]",1069.062147
1,"[69, 315]",1116.998977
1,"[148, 166]",1244.175143
1,"[101, 190]",1491.933606
2,"[9, 84]",427.397939
2,"[84, 108]",435.463847
2,"[101, 242]",448.356227
2,"[209, 316]",455.843425
2,"[97, 431]",478.865642
2,"[328, 356]",579.18031
