gen,filename,score
1,"[204, 266]",0.154
1,"[125, 304]",0.763
1,"[302, 325]",1.34
1,"[216, 302]",1.427
1,"[427, 431]",1.534
1,"[385, 414]",1.754
1,"[22, 177]",1.891
1,"[91, 168]",2.009
1,"[177, 337]",2.011
1,"[57, 96]",2.014
1,"[34, 266]",2.062
1,"[17, 111]",2.086
1,"[204, 444]",2.094
1,"[161, 409]",2.095
1,"[111, 207]",2.153
1,"[17, 139]",2.161
1,"[118, 262]",2.196
1,"[441, 442]",2.22
1,"[17, 408]",2.232
1,"[54, 285]",2.236
1,"[313, 356]",2.236
1,"[322, 358]",2.253
1,"[22, 152]",2.255
1,"[146, 376]",2.26
1,"[83, 320]",2.309
1,"[80, 195]",2.31
1,"[177, 201]",2.344
1,"[446, 446]",2.355
1,"[312, 373]",2.36
1,"[13, 343]",2.365
1,"[281, 442]",2.402
1,"[417, 426]",2.421
1,"[50, 404]",2.464
1,"[231, 388]",2.477
1,"[76, 140]",2.497
1,"[262, 287]",2.503
1,"[125, 201]",2.517
1,"[75, 123]",2.524
1,"[26, 337]",2.554
1,"[166, 408]",2.558
1,"[148, 202]",2.574
1,"[157, 363]",2.679
1,"[192, 424]",2.71
1,"[129, 400]",2.726
1,"[101, 129]",2.747
1,"[55, 326]",2.76
1,"[186, 346]",2.773
1,"[3, 61]",2.773
1,"[234, 293]",2.8
1,"[219, 261]",2.805
1,"[321, 354]",2.808
1,"[312, 317]",2.837
1,"[142, 208]",2.844
1,"[9, 369]",2.854
1,"[25, 140]",2.861
1,"[18, 28]",2.864
1,"[65, 331]",2.866
1,"[144, 415]",2.873
1,"[160, 279]",2.886
1,"[270, 353]",2.89
1,"[19, 405]",2.915
1,"[19, 240]",2.937
1,"[189, 262]",2.951
1,"[335, 384]",2.956
1,"[384, 444]",2.974
1,"[259, 332]",3.019
1,"[164, 329]",3.075
1,"[19, 277]",3.112
1,"[153, 211]",3.126
1,"[47, 181]",3.16
1,"[240, 279]",3.169
1,"[112, 294]",3.222
1,"[104, 310]",3.274
1,"[279, 391]",3.329
1,"[217, 367]",3.364
1,"[32, 413]",3.379
1,"[49, 114]",3.386
1,"[16, 75]",3.39
1,"[50, 193]",3.393
1,"[262, 278]",3.413
1,"[81, 181]",3.423
1,"[7, 426]",3.445
1,"[28, 57]",3.487
1,"[83, 405]",3.494
1,"[282, 406]",3.505
1,"[46, 76]",3.551
1,"[68, 425]",3.593
1,"[328, 406]",3.626
1,"[300, 310]",3.666
1,"[133, 426]",3.692
1,"[213, 280]",3.852
1,"[156, 358]",3.874
1,"[14, 16]",4.009
1,"[156, 430]",4.373
1,"[11, 383]",4.46
1,"[60, 155]",4.735
2,"[156, 406]",0.135
2,"[204, 266]",0.154
2,"[125, 304]",0.763
2,"[156, 302]",1.221
2,"[302, 325]",1.34
2,"[216, 302]",1.427
2,"[427, 431]",1.534
2,"[385, 414]",1.754
2,"[91, 263]",1.815
2,"[22, 177]",1.891
2,"[91, 168]",2.009
2,"[177, 337]",2.011
2,"[57, 96]",2.014
2,"[34, 266]",2.062
2,"[240, 337]",2.065
2,"[17, 111]",2.086
2,"[204, 444]",2.094
2,"[161, 409]",2.095
2,"[96, 154]",2.134
2,"[111, 207]",2.153
2,"[17, 139]",2.161
2,"[118, 384]",2.192
2,"[118, 262]",2.196
2,"[312, 337]",2.206
2,"[441, 442]",2.22
2,"[17, 408]",2.232
2,"[17, 356]",2.232
2,"[54, 285]",2.236
2,"[313, 356]",2.236
2,"[322, 358]",2.253
2,"[22, 152]",2.255
2,"[146, 376]",2.26
2,"[57, 285]",2.265
2,"[367, 385]",2.297
2,"[83, 320]",2.309
2,"[80, 195]",2.31
2,"[328, 354]",2.334
2,"[177, 201]",2.344
2,"[446, 446]",2.355
2,"[312, 373]",2.36
2,"[13, 343]",2.365
2,"[55, 442]",2.379
2,"[18, 408]",2.4
2,"[281, 442]",2.402
2,"[417, 426]",2.421
2,"[25, 163]",2.43
2,"[14, 201]",2.456
2,"[185, 417]",2.461
2,"[50, 404]",2.464
2,"[125, 262]",2.468
2,"[231, 388]",2.477
2,"[192, 433]",2.483
2,"[312, 404]",2.494
2,"[76, 140]",2.497
2,"[219, 408]",2.503
2,"[262, 287]",2.503
2,"[125, 201]",2.517
2,"[140, 393]",2.524
2,"[75, 123]",2.524
2,"[76, 219]",2.525
2,"[26, 337]",2.554
2,"[166, 408]",2.558
2,"[148, 202]",2.574
2,"[282, 384]",2.611
2,"[75, 101]",2.621
2,"[129, 358]",2.635
2,"[354, 358]",2.637
2,"[157, 363]",2.679
2,"[14, 50]",2.683
2,"[192, 424]",2.71
2,"[129, 400]",2.726
2,"[161, 363]",2.727
2,"[356, 412]",2.733
2,"[101, 129]",2.747
2,"[55, 326]",2.76
2,"[3, 61]",2.773
2,"[186, 346]",2.773
2,"[160, 317]",2.798
2,"[125, 413]",2.803
2,"[50, 105]",2.813
2,"[162, 415]",2.822
2,"[202, 329]",2.829
2,"[68, 277]",2.833
2,"[189, 373]",2.886
2,"[129, 440]",2.892
2,"[177, 261]",2.936
2,"[240, 240]",2.948
2,"[217, 267]",3.132
2,"[26, 140]",3.21
2,"[193, 270]",3.258
2,"[19, 332]",3.296
2,"[16, 325]",3.414
2,"[57, 152]",3.493
2,"[50, 343]",3.645
2,"[83, 193]",3.726
2,"[189, 310]",4.989
3,"[156, 406]",0.135
3,"[204, 266]",0.154
3,"[125, 304]",0.763
3,"[302, 400]",1.213
3,"[156, 302]",1.221
3,"[14, 302]",1.335
3,"[302, 325]",1.34
3,"[216, 302]",1.427
3,"[427, 431]",1.534
3,"[179, 302]",1.562
3,"[385, 414]",1.754
3,"[91, 263]",1.815
3,"[91, 436]",1.877
3,"[22, 177]",1.891
3,"[91, 408]",1.912
3,"[91, 201]",1.949
3,"[91, 168]",2.009
3,"[177, 337]",2.011
3,"[57, 96]",2.014
3,"[118, 154]",2.028
3,"[177, 195]",2.046
3,"[34, 266]",2.062
3,"[240, 337]",2.065
3,"[17, 111]",2.086
3,"[204, 444]",2.094
3,"[161, 409]",2.095
3,"[96, 154]",2.134
3,"[163, 195]",2.142
3,"[111, 207]",2.153
3,"[17, 139]",2.161
3,"[91, 202]",2.163
3,"[22, 323]",2.163
3,"[118, 384]",2.192
3,"[118, 262]",2.196
3,"[312, 337]",2.206
3,"[441, 442]",2.22
3,"[22, 424]",2.222
3,"[17, 356]",2.232
3,"[17, 408]",2.232
3,"[313, 356]",2.236
3,"[54, 285]",2.236
3,"[322, 358]",2.253
3,"[22, 152]",2.255
3,"[146, 376]",2.26
3,"[57, 285]",2.265
3,"[123, 439]",2.288
3,"[367, 385]",2.297
3,"[83, 320]",2.309
3,"[80, 195]",2.31
3,"[177, 417]",2.31
3,"[262, 431]",2.324
3,"[286, 302]",2.325
3,"[328, 354]",2.334
3,"[177, 201]",2.344
3,"[189, 285]",2.35
3,"[446, 446]",2.355
3,"[312, 373]",2.36
3,"[13, 343]",2.365
3,"[217, 354]",2.376
3,"[55, 442]",2.379
3,"[18, 408]",2.4
3,"[281, 442]",2.402
3,"[317, 446]",2.407
3,"[417, 426]",2.421
3,"[25, 163]",2.43
3,"[197, 417]",2.432
3,"[14, 201]",2.456
3,"[161, 417]",2.457
3,"[125, 356]",2.458
3,"[185, 417]",2.461
3,"[105, 312]",2.473
3,"[285, 345]",2.475
3,"[6, 325]",2.477
3,"[57, 262]",2.518
3,"[312, 433]",2.52
3,"[125, 373]",2.524
3,"[148, 201]",2.532
3,"[177, 185]",2.572
3,"[262, 404]",2.573
3,"[107, 358]",2.646
3,"[140, 240]",2.656
3,"[50, 358]",2.658
3,"[101, 366]",2.678
3,"[50, 267]",2.709
3,"[105, 177]",2.739
3,"[57, 266]",2.773
3,"[129, 139]",2.786
3,"[50, 326]",2.832
3,"[262, 367]",2.879
3,"[231, 332]",2.982
3,"[189, 337]",3.022
3,"[17, 397]",3.201
3,"[140, 193]",3.21
3,"[129, 304]",3.795
3,"[304, 309]",3.918
3,"[111, 346]",4.212
4,"[156, 406]",0.135
4,"[204, 266]",0.154
