gen,filename,score
1,"[50, 404]",426.151657
1,"[7, 426]",453.859084
1,"[417, 426]",481.64429
1,"[156, 430]",491.304423
1,"[19, 277]",495.711566
1,"[302, 325]",497.974394
1,"[133, 426]",497.995846
1,"[25, 140]",506.161008
1,"[76, 140]",532.030868
1,"[11, 383]",545.561044
1,"[219, 261]",563.802662
1,"[312, 317]",568.247223
1,"[156, 358]",575.030917
1,"[17, 139]",579.5683
1,"[49, 114]",582.129966
1,"[101, 129]",590.316557
1,"[55, 326]",591.466329
1,"[17, 111]",591.855513
1,"[312, 373]",594.501545
1,"[192, 424]",595.356941
1,"[216, 302]",597.978317
1,"[213, 280]",600.52002
1,"[385, 414]",603.262822
1,"[279, 391]",619.740853
1,"[129, 400]",634.110315
1,"[111, 207]",636.38696
1,"[60, 155]",637.220292
1,"[142, 208]",651.644751
1,"[47, 181]",657.170659
1,"[164, 329]",671.048411
1,"[328, 406]",672.967313
1,"[26, 337]",684.778625
1,"[322, 358]",694.105788
1,"[427, 431]",695.429243
1,"[19, 240]",695.800185
1,"[65, 331]",697.854211
1,"[217, 367]",700.769227
1,"[28, 57]",702.041885
1,"[282, 406]",710.023906
1,"[259, 332]",710.659845
1,"[153, 211]",712.1573
1,"[81, 181]",715.501525
1,"[313, 356]",719.265351
1,"[189, 262]",721.128185
1,"[240, 279]",721.561062
1,"[54, 285]",723.121453
1,"[50, 193]",725.592793
1,"[112, 294]",737.907274
1,"[441, 442]",740.550236
1,"[321, 354]",749.770996
1,"[32, 413]",751.870704
1,"[144, 415]",756.39208
1,"[19, 405]",758.822199
1,"[177, 337]",760.099246
1,"[161, 409]",761.14223
1,"[83, 405]",762.48516
1,"[13, 343]",769.436456
1,"[68, 425]",771.311622
1,"[17, 408]",780.444705
1,"[83, 320]",785.125249
1,"[262, 287]",785.644969
1,"[204, 444]",792.314925
1,"[160, 279]",795.20983
1,"[157, 363]",804.729951
1,"[148, 202]",816.270282
1,"[262, 278]",817.12122
1,"[14, 16]",819.108623
1,"[234, 293]",822.140604
1,"[18, 28]",825.189054
1,"[231, 388]",830.974304
1,"[22, 177]",832.970599
1,"[335, 384]",866.1954
1,"[9, 369]",868.832134
1,"[281, 442]",870.565433
1,"[91, 168]",886.784499
1,"[46, 76]",892.639583
1,"[446, 446]",893.343038
1,"[384, 444]",898.586891
1,"[177, 201]",903.208357
1,"[204, 266]",907.963988
1,"[118, 262]",912.799801
1,"[146, 376]",919.248542
1,"[104, 310]",930.424242
1,"[270, 353]",947.004735
1,"[16, 75]",947.005609
1,"[34, 266]",950.566969
1,"[3, 61]",973.636159
1,"[80, 195]",979.445637
1,"[166, 408]",999.020757
1,"[75, 123]",1014.996537
1,"[186, 346]",1040.590104
1,"[300, 310]",1083.764602
1,"[125, 201]",1086.569861
1,"[57, 96]",1140.092844
1,"[125, 304]",1208.120916
1,"[22, 152]",1245.702223
2,"[50, 156]",426.142018
2,"[144, 373]",437.843097
2,"[325, 430]",465.161796
2,"[50, 261]",470.278112
2,"[19, 277]",495.711566
2,"[83, 431]",561.858602
2,"[11, 181]",564.958697
2,"[111, 217]",567.753215
2,"[140, 417]",571.033588
2,"[83, 302]",592.886004
2,"[111, 240]",598.158157
2,"[312, 358]",617.896218
2,"[50, 444]",620.636447
2,"[186, 280]",622.801567
2,"[111, 335]",631.156542
2,"[19, 440]",631.229526
2,"[329, 405]",633.680155
2,"[76, 412]",648.257185
2,"[111, 195]",656.90168
2,"[162, 406]",663.369062
2,"[156, 388]",664.022698
2,"[65, 406]",678.664023
2,"[16, 157]",685.099224
2,"[104, 409]",691.184432
2,"[105, 157]",702.000771
2,"[76, 285]",712.507794
2,"[76, 384]",712.528156
2,"[140, 427]",726.209285
2,"[201, 417]",729.496666
2,"[213, 267]",733.511797
2,"[441, 442]",740.550236
2,"[81, 163]",743.066337
2,"[321, 354]",749.770996
2,"[32, 413]",751.870704
2,"[32, 278]",756.259399
2,"[144, 415]",756.39208
2,"[19, 405]",758.822199
2,"[177, 337]",760.099246
2,"[161, 409]",761.14223
2,"[83, 405]",762.48516
2,"[28, 279]",763.809196
2,"[293, 427]",766.10335
2,"[13, 343]",769.436456
2,"[68, 425]",771.311622
2,"[285, 358]",779.259079
2,"[17, 408]",780.444705
2,"[118, 358]",781.262149
2,"[83, 320]",785.125249
2,"[262, 287]",785.644969
2,"[153, 343]",788.299512
2,"[204, 444]",792.314925
2,"[68, 181]",793.253709
2,"[160, 279]",795.20983
2,"[157, 363]",804.729951
2,"[148, 202]",816.270282
2,"[262, 278]",817.12122
2,"[195, 240]",818.59166
2,"[14, 16]",819.108623
2,"[234, 293]",822.140604
2,"[18, 28]",825.189054
2,"[393, 444]",828.437306
2,"[231, 388]",830.974304
2,"[22, 177]",832.970599
2,"[61, 154]",847.105795
2,"[3, 442]",851.828674
2,"[240, 363]",860.34078
2,"[335, 384]",866.1954
2,"[9, 369]",868.832134
2,"[281, 442]",870.565433
2,"[91, 168]",886.784499
2,"[46, 76]",892.639583
2,"[166, 263]",893.170644
2,"[446, 446]",893.343038
2,"[3, 446]",896.918882
2,"[384, 444]",898.586891
2,"[177, 201]",903.208357
2,"[204, 266]",907.963988
2,"[118, 262]",912.799801
2,"[146, 376]",919.248542
2,"[104, 310]",930.424242
2,"[177, 433]",942.062691
2,"[270, 353]",947.004735
2,"[16, 75]",947.005609
2,"[34, 266]",950.566969
2,"[3, 61]",973.636159
2,"[148, 185]",973.859465
2,"[80, 195]",979.445637
2,"[166, 408]",999.020757
2,"[75, 123]",1014.996537
2,"[177, 193]",1021.250577
2,"[186, 346]",1040.590104
2,"[300, 310]",1083.764602
2,"[125, 201]",1086.569861
2,"[57, 96]",1140.092844
2,"[125, 304]",1208.120916
2,"[22, 152]",1245.702223
3,"[111, 277]",399.25341
3,"[50, 154]",499.459229
3,"[325, 417]",521.474827
3,"[337, 439]",542.582693
3,"[50, 267]",580.333398
3,"[83, 168]",597.828768
3,"[17, 431]",614.99795
3,"[50, 446]",622.102996
3,"[161, 302]",653.969155
3,"[28, 425]",656.401537
3,"[11, 217]",657.484945
3,"[57, 240]",660.32954
3,"[111, 444]",665.107324
3,"[28, 140]",695.469179
3,"[32, 293]",709.60772
3,"[146, 287]",715.608013
3,"[201, 312]",724.434157
3,"[177, 397]",751.012741
3,"[83, 406]",762.258717
3,"[195, 358]",762.960109
3,"[3, 287]",778.710169
3,"[286, 300]",782.280145
3,"[262, 287]",785.644969
3,"[68, 197]",786.402614
3,"[153, 343]",788.299512
3,"[204, 406]",789.974318
3,"[204, 444]",792.314925
3,"[68, 181]",793.253709
3,"[16, 366]",793.326429
3,"[160, 279]",795.20983
3,"[50, 415]",795.651258
3,"[157, 363]",804.729951
3,"[22, 446]",808.476908
3,"[148, 202]",816.270282
3,"[262, 278]",817.12122
3,"[195, 240]",818.59166
3,"[14, 16]",819.108623
3,"[234, 293]",822.140604
3,"[18, 28]",825.189054
3,"[179, 201]",826.049992
3,"[393, 444]",828.437306
3,"[231, 388]",830.974304
3,"[22, 177]",832.970599
3,"[61, 154]",847.105795
3,"[3, 442]",851.828674
3,"[240, 363]",860.34078
3,"[335, 384]",866.1954
3,"[9, 369]",868.832134
3,"[281, 442]",870.565433
3,"[345, 442]",873.106532
3,"[195, 444]",884.174583
3,"[91, 168]",886.784499
3,"[46, 76]",892.639583
3,"[166, 263]",893.170644
3,"[3, 405]",893.248508
3,"[446, 446]",893.343038
3,"[195, 262]",895.644412
3,"[14, 195]",896.572212
3,"[3, 446]",896.918882
3,"[384, 444]",898.586891
3,"[177, 201]",903.208357
3,"[204, 266]",907.963988
3,"[262, 384]",910.767646
3,"[118, 262]",912.799801
3,"[285, 300]",915.85671
3,"[146, 376]",919.248542
3,"[14, 300]",920.199301
3,"[104, 310]",930.424242
3,"[177, 433]",942.062691
3,"[270, 353]",947.004735
3,"[16, 75]",947.005609
3,"[166, 413]",948.888337
3,"[34, 266]",950.566969
3,"[28, 193]",971.81014
3,"[3, 61]",973.636159
3,"[148, 185]",973.859465
3,"[80, 195]",979.445637
3,"[68, 405]",980.396265
3,"[166, 436]",981.266555
3,"[80, 323]",987.362074
3,"[107, 442]",992.886985
3,"[80, 384]",994.565456
3,"[166, 408]",999.020757
3,"[75, 123]",1014.996537
3,"[177, 193]",1021.250577
3,"[186, 346]",1040.590104
3,"[6, 310]",1048.305574
3,"[300, 310]",1083.764602
3,"[125, 201]",1086.569861
3,"[148, 405]",1096.619062
3,"[61, 75]",1108.874718
3,"[57, 96]",1140.092844
3,"[96, 441]",1198.592768
3,"[125, 304]",1208.120916
3,"[22, 152]",1245.702223
3,"[96, 309]",1256.767814
4,"[50, 280]",447.322571
4,"[57, 181]",537.25995
4,"[111, 217]",567.753215
