gen,filename,score
1,"[158, 225]",1.887
1,"[203, 386]",2.077
1,"[117, 328]",2.147
1,"[147, 420]",2.164
1,"[201, 386]",2.166
1,"[141, 260]",2.177
1,"[235, 325]",2.246
1,"[247, 322]",2.25
1,"[95, 419]",2.28
1,"[288, 364]",2.302
1,"[172, 412]",2.317
1,"[128, 264]",2.426
1,"[312, 355]",2.461
1,"[6, 81]",2.549
1,"[225, 275]",2.571
1,"[176, 184]",2.608
1,"[82, 350]",2.612
1,"[27, 220]",2.656
1,"[349, 394]",2.715
1,"[40, 386]",2.752
1,"[65, 287]",2.754
1,"[43, 275]",2.93
1,"[216, 287]",2.987
1,"[239, 401]",2.991
1,"[59, 89]",2.994
1,"[16, 233]",3.054
1,"[228, 422]",3.185
1,"[5, 314]",3.247
1,"[365, 430]",3.379
1,"[350, 406]",3.503
1,"[273, 399]",3.718
1,"[220, 299]",4.138
2,"[264, 365]",1.429
2,"[158, 225]",1.887
2,"[27, 328]",1.984
2,"[158, 275]",2.034
2,"[147, 394]",2.069
2,"[203, 386]",2.077
2,"[271, 386]",2.117
2,"[117, 328]",2.147
2,"[147, 420]",2.164
2,"[201, 386]",2.166
2,"[141, 260]",2.177
2,"[176, 386]",2.23
2,"[235, 325]",2.246
2,"[247, 322]",2.25
2,"[95, 419]",2.28
2,"[288, 364]",2.302
2,"[172, 412]",2.317
2,"[184, 203]",2.326
2,"[128, 264]",2.426
2,"[312, 355]",2.461
2,"[6, 81]",2.549
2,"[225, 275]",2.571
2,"[176, 184]",2.608
2,"[59, 419]",2.647
2,"[43, 325]",2.767
2,"[159, 172]",2.81
2,"[319, 355]",2.926
2,"[121, 273]",3.012
2,"[6, 299]",3.272
2,"[43, 260]",3.48
2,"[16, 364]",3.917
2,"[288, 422]",10
3,"[264, 365]",1.429
3,"[41, 158]",1.68
3,"[158, 264]",1.861
3,"[158, 225]",1.887
3,"[158, 364]",1.97
3,"[27, 328]",1.984
3,"[158, 275]",2.034
3,"[271, 275]",2.047
3,"[147, 394]",2.069
3,"[203, 386]",2.077
3,"[271, 386]",2.117
3,"[121, 386]",2.117
3,"[117, 328]",2.147
3,"[147, 420]",2.164
3,"[201, 386]",2.166
3,"[141, 260]",2.177
3,"[264, 419]",2.19
3,"[6, 284]",2.221
3,"[176, 386]",2.23
3,"[235, 325]",2.246
3,"[247, 322]",2.25
3,"[95, 419]",2.28
3,"[168, 203]",2.282
3,"[288, 364]",2.302
3,"[97, 271]",2.389
3,"[141, 150]",2.411
3,"[80, 364]",2.477
3,"[159, 386]",2.901
3,"[176, 299]",3.245
3,"[6, 283]",3.251
3,"[11, 225]",3.599
3,"[105, 299]",3.908
4,"[264, 365]",1.429
4,"[41, 158]",1.68
4,"[41, 419]",1.833
4,"[158, 264]",1.861
4,"[158, 225]",1.887
4,"[27, 322]",1.931
4,"[141, 386]",1.948
4,"[158, 364]",1.97
4,"[27, 328]",1.984
4,"[91, 386]",2.003
4,"[92, 275]",2.009
4,"[158, 275]",2.034
4,"[271, 275]",2.047
4,"[11, 420]",2.057
4,"[147, 394]",2.069
4,"[386, 426]",2.077
4,"[203, 386]",2.077
4,"[158, 270]",2.089
4,"[121, 386]",2.117
4,"[271, 386]",2.117
4,"[117, 328]",2.147
4,"[223, 275]",2.147
4,"[147, 420]",2.164
4,"[201, 386]",2.166
4,"[141, 260]",2.177
4,"[147, 271]",2.193
4,"[80, 386]",2.194
4,"[271, 364]",2.195
4,"[32, 264]",2.5
4,"[176, 225]",2.927
4,"[50, 283]",3.333
4,"[221, 225]",4.252
5,"[264, 365]",1.429
5,"[356, 365]",1.559
5,"[41, 158]",1.68
5,"[27, 386]",1.787
5,"[41, 419]",1.833
5,"[158, 264]",1.861
5,"[158, 225]",1.887
5,"[27, 322]",1.931
5,"[141, 386]",1.948
5,"[158, 364]",1.97
5,"[27, 328]",1.984
5,"[158, 158]",2.001
5,"[91, 386]",2.003
5,"[92, 275]",2.009
5,"[158, 275]",2.034
5,"[271, 275]",2.047
5,"[11, 420]",2.057
5,"[147, 394]",2.069
5,"[386, 426]",2.077
5,"[223, 322]",2.177
5,"[158, 386]",2.184
5,"[176, 275]",2.194
5,"[80, 275]",2.286
5,"[225, 271]",2.313
5,"[117, 225]",2.37
5,"[221, 376]",2.377
5,"[221, 394]",2.401
5,"[19, 80]",2.56
5,"[32, 275]",2.663
5,"[97, 328]",2.895
5,"[264, 311]",2.905
5,"[43, 225]",3.562
6,"[27, 426]",0.971
6,"[264, 365]",1.429
6,"[11, 365]",1.486
6,"[356, 365]",1.559
6,"[41, 158]",1.68
6,"[91, 290]",1.759
6,"[27, 386]",1.787
6,"[41, 419]",1.833
6,"[27, 394]",1.849
6,"[158, 264]",1.861
