gen,filename,score
1,"[100, 427]",1.511
1,"[69, 300]",1.526
1,"[131, 328]",1.825
1,"[263, 399]",1.848
1,"[8, 431]",1.943
1,"[145, 284]",2.154
1,"[90, 257]",2.187
1,"[73, 216]",2.198
1,"[188, 287]",2.239
1,"[204, 350]",2.25
1,"[194, 392]",2.342
1,"[339, 403]",2.354
1,"[17, 132]",2.368
1,"[166, 432]",2.403
1,"[124, 289]",2.447
1,"[4, 335]",2.465
1,"[206, 339]",2.528
1,"[221, 385]",2.539
1,"[84, 168]",2.55
1,"[405, 424]",2.689
1,"[148, 267]",2.704
1,"[169, 202]",2.722
1,"[261, 393]",3.224
1,"[114, 442]",3.28
1,"[135, 161]",3.287
1,"[217, 316]",3.721
1,"[209, 255]",3.793
1,"[102, 155]",4.022
1,"[250, 255]",4.148
1,"[43, 316]",4.173
1,"[132, 341]",4.346
1,"[234, 374]",10
2,"[100, 427]",1.511
2,"[69, 300]",1.526
2,"[17, 427]",1.631
2,"[69, 289]",1.796
2,"[131, 328]",1.825
2,"[263, 399]",1.848
2,"[8, 431]",1.943
2,"[73, 442]",1.979
2,"[100, 432]",2.044
2,"[145, 284]",2.154
2,"[90, 257]",2.187
2,"[206, 328]",2.189
2,"[73, 216]",2.198
2,"[188, 287]",2.239
2,"[204, 350]",2.25
2,"[100, 359]",2.252
2,"[194, 392]",2.342
2,"[339, 403]",2.354
2,"[17, 132]",2.368
2,"[161, 188]",2.391
2,"[166, 432]",2.403
2,"[148, 284]",2.434
2,"[90, 393]",2.445
2,"[124, 289]",2.447
2,"[101, 188]",2.45
2,"[100, 132]",2.455
2,"[4, 335]",2.465
2,"[148, 350]",2.652
2,"[86, 399]",2.686
2,"[216, 261]",3.402
2,"[102, 392]",3.422
2,"[316, 339]",4.437
3,"[100, 427]",1.511
3,"[69, 300]",1.526
3,"[188, 427]",1.535
3,"[194, 427]",1.607
3,"[17, 427]",1.631
3,"[69, 132]",1.653
3,"[69, 289]",1.796
3,"[131, 328]",1.825
3,"[263, 399]",1.848
3,"[8, 431]",1.943
3,"[73, 442]",1.979
3,"[100, 432]",2.044
3,"[100, 287]",2.152
3,"[145, 284]",2.154
3,"[90, 257]",2.187
3,"[206, 328]",2.189
3,"[73, 216]",2.198
3,"[148, 361]",2.202
3,"[188, 287]",2.239
3,"[204, 350]",2.25
3,"[100, 359]",2.252
3,"[73, 392]",2.268
3,"[161, 328]",2.521
3,"[124, 442]",2.571
3,"[300, 300]",2.576
3,"[194, 280]",2.613
3,"[188, 321]",2.64
3,"[216, 328]",2.713
3,"[4, 284]",2.778
3,"[132, 145]",3.258
3,"[66, 432]",3.339
3,"[187, 399]",4.521
4,"[100, 427]",1.511
4,"[69, 300]",1.526
4,"[188, 427]",1.535
4,"[194, 427]",1.607
4,"[17, 427]",1.631
4,"[69, 132]",1.653
4,"[69, 289]",1.796
4,"[131, 328]",1.825
4,"[145, 427]",1.827
4,"[263, 399]",1.848
4,"[8, 431]",1.943
4,"[73, 442]",1.979
4,"[100, 432]",2.044
4,"[131, 442]",2.098
4,"[194, 361]",2.106
4,"[141, 300]",2.142
4,"[100, 287]",2.152
4,"[145, 284]",2.154
4,"[90, 257]",2.187
4,"[206, 328]",2.189
4,"[100, 108]",2.307
4,"[161, 289]",2.308
4,"[186, 300]",2.343
4,"[36, 328]",2.355
4,"[188, 216]",2.848
4,"[280, 437]",2.983
4,"[26, 188]",3.035
4,"[187, 284]",3.118
4,"[69, 396]",3.247
4,"[78, 90]",3.249
4,"[132, 432]",3.391
4,"[4, 77]",3.891
5,"[69, 431]",1.415
5,"[100, 427]",1.511
5,"[69, 300]",1.526
5,"[188, 427]",1.535
5,"[9, 131]",1.55
5,"[206, 427]",1.56
5,"[194, 427]",1.607
5,"[17, 427]",1.631
5,"[69, 132]",1.653
5,"[69, 361]",1.667
5,"[263, 328]",1.773
5,"[69, 289]",1.796
5,"[131, 328]",1.825
5,"[145, 427]",1.827
5,"[263, 399]",1.848
