gen,filename,score
1,"[373, 414]",1.503
1,"[195, 318]",2.06
1,"[141, 403]",2.068
1,"[52, 71]",2.145
1,"[79, 107]",2.152
1,"[171, 325]",2.184
1,"[83, 147]",2.31
1,"[86, 92]",2.383
1,"[53, 231]",2.417
1,"[314, 439]",2.421
1,"[81, 244]",2.464
1,"[319, 418]",2.485
1,"[279, 409]",2.565
1,"[168, 272]",2.763
1,"[62, 75]",2.793
1,"[181, 394]",2.84
1,"[28, 442]",2.86
1,"[23, 354]",2.927
1,"[239, 433]",3.055
1,"[32, 109]",3.15
1,"[59, 159]",3.336
1,"[349, 393]",3.374
1,"[137, 418]",3.379
1,"[76, 249]",3.488
1,"[42, 261]",3.498
1,"[25, 311]",3.515
1,"[278, 291]",3.545
1,"[23, 152]",3.674
1,"[273, 396]",3.679
1,"[133, 357]",3.832
1,"[261, 436]",3.942
1,"[42, 51]",4.602
2,"[373, 414]",1.503
2,"[141, 442]",1.967
2,"[195, 318]",2.06
2,"[141, 403]",2.068
2,"[52, 71]",2.145
2,"[79, 107]",2.152
2,"[195, 394]",2.176
2,"[171, 325]",2.184
2,"[141, 354]",2.216
2,"[159, 171]",2.306
2,"[83, 147]",2.31
2,"[25, 386]",2.366
2,"[86, 92]",2.383
2,"[53, 231]",2.417
2,"[314, 439]",2.421
2,"[79, 109]",2.454
2,"[81, 244]",2.464
2,"[319, 418]",2.485
2,"[287, 319]",2.54
2,"[279, 409]",2.565
2,"[137, 147]",2.578
2,"[28, 403]",2.635
2,"[71, 239]",2.65
2,"[168, 272]",2.763
2,"[62, 75]",2.793
2,"[181, 394]",2.84
2,"[1, 325]",2.896
2,"[23, 403]",2.922
2,"[137, 145]",3.091
2,"[25, 231]",3.313
2,"[23, 273]",3.83
2,"[133, 391]",4.102
3,"[373, 414]",1.503
3,"[141, 442]",1.967
3,"[195, 318]",2.06
3,"[141, 403]",2.068
3,"[79, 442]",2.077
3,"[287, 403]",2.078
3,"[195, 215]",2.099
3,"[52, 71]",2.145
3,"[79, 107]",2.152
3,"[195, 394]",2.176
3,"[71, 394]",2.18
3,"[171, 325]",2.184
3,"[141, 354]",2.216
3,"[159, 171]",2.306
3,"[83, 147]",2.31
3,"[79, 396]",2.318
3,"[81, 442]",2.348
3,"[25, 386]",2.366
3,"[86, 92]",2.383
3,"[394, 422]",2.385
3,"[53, 231]",2.417
3,"[314, 439]",2.421
3,"[79, 109]",2.454
3,"[23, 92]",2.459
3,"[23, 231]",2.521
3,"[25, 92]",2.622
3,"[62, 354]",2.642
3,"[83, 325]",2.649
3,"[195, 239]",2.655
3,"[353, 373]",2.758
3,"[71, 279]",2.795
3,"[33, 159]",2.825
4,"[378, 442]",0.861
4,"[373, 414]",1.503
4,"[144, 147]",1.828
4,"[141, 442]",1.967
4,"[394, 403]",2.025
4,"[195, 318]",2.06
4,"[141, 403]",2.068
4,"[52, 92]",2.069
4,"[195, 354]",2.069
4,"[79, 442]",2.077
4,"[287, 403]",2.078
4,"[195, 215]",2.099
4,"[141, 373]",2.137
4,"[52, 71]",2.145
4,"[79, 231]",2.149
4,"[79, 107]",2.152
4,"[195, 394]",2.176
4,"[71, 394]",2.18
4,"[171, 325]",2.184
4,"[39, 354]",2.187
4,"[92, 404]",2.197
4,"[52, 231]",2.205
4,"[141, 354]",2.216
4,"[81, 394]",2.24
4,"[159, 171]",2.306
4,"[83, 147]",2.31
4,"[79, 396]",2.318
4,"[83, 394]",2.407
4,"[23, 71]",2.496
4,"[92, 299]",2.517
4,"[141, 242]",2.635
4,"[215, 314]",3.111
5,"[378, 442]",0.861
5,"[373, 414]",1.503
5,"[144, 147]",1.828
5,"[141, 442]",1.967
5,"[394, 403]",2.025
5,"[147, 195]",2.06
5,"[195, 318]",2.06
5,"[141, 403]",2.068
5,"[52, 92]",2.069
5,"[195, 354]",2.069
5,"[79, 442]",2.077
5,"[287, 403]",2.078
5,"[195, 215]",2.099
5,"[52, 318]",2.111
5,"[206, 394]",2.135
5,"[141, 373]",2.137
5,"[52, 71]",2.145
5,"[79, 231]",2.149
5,"[79, 107]",2.152
5,"[370, 394]",2.158
5,"[147, 417]",2.191
5,"[12, 195]",2.201
5,"[141, 354]",2.216
5,"[287, 394]",2.239
5,"[195, 231]",2.253
5,"[354, 431]",2.297
5,"[141, 299]",2.468
5,"[144, 354]",2.534
5,"[103, 378]",2.673
5,"[231, 378]",2.846
5,"[141, 372]",3.194
5,"[158, 414]",10
6,"[378, 442]",0.861
6,"[373, 414]",1.503
6,"[144, 147]",1.828
6,"[141, 442]",1.967
6,"[147, 257]",1.981
6,"[394, 403]",2.025
6,"[141, 394]",2.031
6,"[141, 285]",2.032
6,"[141, 318]",2.048
6,"[117, 442]",2.05
6,"[195, 318]",2.06
6,"[147, 195]",2.06
6,"[141, 403]",2.068
6,"[52, 92]",2.069
6,"[195, 354]",2.069
6,"[79, 442]",2.077
6,"[287, 403]",2.078
6,"[131, 442]",2.098
6,"[195, 215]",2.099
6,"[52, 318]",2.111
6,"[206, 394]",2.135
6,"[141, 373]",2.137
6,"[79, 233]",2.163
6,"[370, 442]",2.237
6,"[144, 303]",2.246
6,"[394, 417]",2.259
6,"[52, 146]",2.261
6,"[373, 378]",2.328
6,"[124, 394]",2.412
6,"[71, 373]",2.445
6,"[92, 354]",2.566
6,"[177, 442]",2.635
7,"[378, 442]",0.861
7,"[285, 414]",1.348
7,"[373, 414]",1.503
7,"[354, 378]",1.596
7,"[144, 147]",1.828
7,"[141, 442]",1.967
7,"[378, 422]",1.973
7,"[147, 257]",1.981
7,"[394, 403]",2.025
7,"[141, 394]",2.031
7,"[141, 285]",2.032
