gen,filename,score
1,"[87, 293]",1.398
1,"[87, 222]",1.422
1,"[95, 427]",1.503
1,"[53, 73]",1.553
1,"[111, 196]",1.875
1,"[181, 309]",2.139
1,"[158, 348]",2.235
1,"[17, 142]",2.239
1,"[195, 437]",2.244
1,"[407, 431]",2.267
1,"[75, 303]",2.28
1,"[101, 385]",2.412
1,"[64, 118]",2.415
1,"[21, 366]",2.461
1,"[320, 416]",2.49
1,"[231, 359]",2.519
1,"[197, 435]",2.539
1,"[281, 329]",2.616
1,"[15, 267]",2.623
1,"[362, 429]",2.638
1,"[412, 439]",2.76
1,"[28, 303]",2.771
1,"[44, 65]",2.784
1,"[254, 353]",2.992
1,"[302, 353]",3.092
1,"[94, 396]",3.44
1,"[38, 71]",3.55
1,"[187, 408]",3.661
1,"[25, 214]",3.896
1,"[16, 90]",3.957
1,"[249, 406]",4.199
1,"[5, 224]",10
2,"[87, 293]",1.398
2,"[87, 222]",1.422
2,"[95, 427]",1.503
2,"[53, 73]",1.553
2,"[111, 196]",1.875
2,"[38, 421]",2.11
2,"[111, 200]",2.124
2,"[181, 309]",2.139
2,"[386, 429]",2.185
2,"[320, 417]",2.219
2,"[244, 303]",2.234
2,"[158, 348]",2.235
2,"[17, 142]",2.239
2,"[195, 437]",2.244
2,"[407, 431]",2.267
2,"[75, 303]",2.28
2,"[424, 439]",2.368
2,"[101, 385]",2.412
2,"[64, 118]",2.415
2,"[90, 101]",2.44
2,"[21, 366]",2.461
2,"[17, 353]",2.484
2,"[320, 416]",2.49
2,"[231, 359]",2.519
2,"[21, 272]",2.577
2,"[53, 329]",2.6
2,"[87, 300]",2.723
2,"[254, 437]",2.959
2,"[44, 109]",2.983
2,"[64, 224]",3.291
2,"[181, 439]",3.541
2,"[16, 385]",3.873
3,"[352, 439]",1.328
3,"[87, 303]",1.377
3,"[87, 293]",1.398
3,"[87, 222]",1.422
3,"[95, 427]",1.503
3,"[53, 73]",1.553
3,"[111, 196]",1.875
3,"[111, 366]",2.047
3,"[0, 385]",2.051
3,"[38, 421]",2.11
3,"[111, 200]",2.124
3,"[181, 309]",2.139
3,"[386, 429]",2.185
3,"[75, 222]",2.198
3,"[320, 417]",2.219
3,"[244, 303]",2.234
3,"[158, 348]",2.235
3,"[17, 142]",2.239
3,"[195, 437]",2.244
3,"[17, 421]",2.265
3,"[407, 431]",2.267
3,"[75, 303]",2.28
3,"[33, 224]",2.298
3,"[129, 195]",2.308
3,"[293, 407]",2.349
3,"[227, 244]",2.363
3,"[71, 417]",2.397
3,"[244, 437]",2.526
3,"[53, 429]",2.757
3,"[38, 353]",3.136
3,"[53, 181]",3.221
3,"[64, 348]",3.583
4,"[263, 352]",0.135
4,"[352, 439]",1.328
4,"[87, 303]",1.377
4,"[87, 293]",1.398
4,"[87, 222]",1.422
4,"[87, 437]",1.491
4,"[95, 427]",1.503
4,"[53, 73]",1.553
4,"[352, 417]",1.842
4,"[111, 196]",1.875
4,"[111, 366]",2.047
4,"[0, 385]",2.051
4,"[73, 75]",2.056
