gen,filename,score
1,"[202, 264]",2.025
1,"[315, 437]",2.27
1,"[36, 145]",2.343
1,"[45, 148]",2.421
1,"[83, 298]",2.446
1,"[343, 403]",2.541
1,"[157, 326]",2.581
1,"[32, 243]",2.607
1,"[127, 139]",2.717
1,"[87, 184]",2.841
1,"[191, 380]",2.848
1,"[61, 363]",2.865
1,"[20, 435]",2.891
1,"[319, 333]",3.001
1,"[128, 225]",3.092
1,"[93, 117]",3.212
1,"[357, 400]",3.301
1,"[4, 98]",3.381
1,"[119, 277]",3.472
1,"[207, 389]",3.521
1,"[182, 349]",3.563
1,"[382, 391]",3.705
1,"[38, 83]",3.801
1,"[252, 255]",3.809
1,"[4, 339]",4.14
1,"[225, 273]",4.26
1,"[134, 329]",4.432
1,"[15, 130]",4.657
1,"[60, 156]",4.91
1,"[374, 418]",10
1,"[51, 373]",10
1,"[24, 295]",10
2,"[202, 264]",2.025
2,"[117, 315]",2.039
2,"[204, 264]",2.166
2,"[4, 139]",2.227
2,"[315, 437]",2.27
2,"[36, 145]",2.343
2,"[20, 264]",2.362
2,"[264, 319]",2.384
2,"[45, 148]",2.421
2,"[83, 298]",2.446
2,"[202, 333]",2.493
2,"[343, 403]",2.541
2,"[157, 326]",2.581
2,"[32, 243]",2.607
2,"[127, 139]",2.717
2,"[128, 437]",2.752
2,"[270, 333]",2.792
2,"[87, 184]",2.841
2,"[191, 380]",2.848
2,"[61, 363]",2.865
2,"[20, 435]",2.891
2,"[319, 333]",3.001
2,"[128, 225]",3.092
2,"[127, 339]",3.162
2,"[60, 218]",3.208
2,"[93, 117]",3.212
2,"[83, 277]",3.524
2,"[207, 393]",3.579
2,"[195, 374]",10
2,"[51, 363]",10
2,"[363, 374]",10
2,"[24, 191]",10
3,"[113, 315]",1.866
3,"[202, 264]",2.025
3,"[117, 315]",2.039
3,"[204, 264]",2.166
3,"[4, 139]",2.227
3,"[315, 437]",2.27
3,"[36, 145]",2.343
3,"[186, 435]",2.343
3,"[20, 264]",2.362
3,"[264, 319]",2.384
3,"[204, 333]",2.417
3,"[45, 148]",2.421
3,"[83, 298]",2.446
3,"[202, 333]",2.493
3,"[36, 363]",2.494
