gen,filename,score
1,"[171, 365]",1.555
1,"[123, 428]",1.912
1,"[221, 398]",2.082
1,"[376, 421]",2.103
1,"[45, 274]",2.121
1,"[36, 229]",2.137
1,"[58, 215]",2.176
1,"[79, 303]",2.206
1,"[89, 298]",2.248
1,"[107, 204]",2.249
1,"[61, 423]",2.327
1,"[244, 362]",2.458
1,"[71, 125]",2.505
1,"[86, 251]",2.514
1,"[105, 243]",2.633
1,"[62, 86]",2.672
1,"[7, 324]",2.963
1,"[101, 334]",2.978
1,"[208, 238]",3.034
1,"[35, 125]",3.05
1,"[40, 41]",3.057
1,"[78, 82]",3.077
1,"[135, 177]",3.191
1,"[177, 309]",3.318
1,"[280, 321]",3.379
1,"[310, 429]",3.898
1,"[260, 344]",3.941
1,"[66, 305]",3.971
1,"[48, 310]",4.212
1,"[93, 241]",4.336
1,"[67, 383]",4.383
1,"[294, 307]",10
2,"[171, 365]",1.555
2,"[86, 365]",1.571
2,"[123, 428]",1.912
2,"[221, 398]",2.082
2,"[376, 421]",2.103
2,"[45, 274]",2.121
2,"[36, 229]",2.137
2,"[58, 215]",2.176
2,"[171, 251]",2.202
2,"[79, 303]",2.206
2,"[89, 298]",2.248
2,"[107, 204]",2.249
2,"[35, 274]",2.272
2,"[206, 251]",2.276
2,"[61, 423]",2.327
2,"[280, 298]",2.418
2,"[244, 362]",2.458
2,"[71, 125]",2.505
2,"[86, 251]",2.514
2,"[208, 274]",2.52
2,"[429, 434]",2.597
2,"[61, 119]",2.628
2,"[105, 243]",2.633
2,"[62, 86]",2.672
2,"[40, 229]",2.673
2,"[71, 365]",2.836
2,"[135, 419]",2.981
2,"[208, 421]",3.276
2,"[1, 105]",3.299
2,"[334, 347]",3.468
2,"[107, 344]",3.83
2,"[71, 307]",10
3,"[229, 237]",1.474
3,"[237, 365]",1.479
3,"[171, 365]",1.555
3,"[86, 365]",1.571
3,"[61, 237]",1.624
3,"[123, 428]",1.912
3,"[221, 398]",2.082
3,"[376, 421]",2.103
3,"[45, 274]",2.121
3,"[36, 229]",2.137
3,"[308, 421]",2.152
3,"[58, 215]",2.176
3,"[171, 251]",2.202
3,"[79, 303]",2.206
3,"[89, 298]",2.248
3,"[107, 204]",2.249
3,"[35, 274]",2.272
3,"[206, 251]",2.276
3,"[105, 376]",2.285
3,"[61, 229]",2.29
3,"[61, 423]",2.327
3,"[71, 428]",2.404
3,"[280, 298]",2.418
3,"[105, 215]",2.532
3,"[180, 206]",2.548
3,"[62, 215]",2.59
3,"[135, 298]",2.75
3,"[187, 274]",2.762
3,"[86, 398]",2.957
3,"[35, 127]",2.988
3,"[35, 347]",3.66
3,"[35, 344]",3.941
4,"[89, 237]",1.417
4,"[105, 365]",1.439
4,"[229, 237]",1.474
4,"[237, 365]",1.479
4,"[171, 365]",1.555
4,"[86, 365]",1.571
4,"[61, 237]",1.624
4,"[173, 365]",1.7
4,"[123, 428]",1.912
4,"[171, 274]",2.009
4,"[105, 421]",2.01
4,"[221, 398]",2.082
4,"[376, 421]",2.103
4,"[45, 274]",2.121
4,"[36, 229]",2.137
4,"[308, 421]",2.152
4,"[45, 229]",2.165
4,"[58, 215]",2.176
4,"[171, 251]",2.202
4,"[275, 428]",2.204
4,"[79, 303]",2.206
4,"[89, 298]",2.248
4,"[107, 204]",2.249
4,"[132, 303]",2.278
4,"[61, 229]",2.29
4,"[171, 347]",2.292
4,"[61, 423]",2.327
4,"[280, 398]",2.391
4,"[62, 360]",2.441
4,"[36, 103]",2.47
4,"[135, 315]",2.482
4,"[127, 184]",2.67
5,"[45, 237]",1.384
5,"[89, 237]",1.417
5,"[105, 365]",1.439
5,"[229, 237]",1.474
5,"[237, 365]",1.479
5,"[275, 365]",1.515
5,"[171, 365]",1.555
5,"[86, 365]",1.571
5,"[79, 365]",1.579
5,"[61, 237]",1.624
5,"[173, 365]",1.7
5,"[58, 421]",1.857
5,"[123, 428]",1.912
5,"[171, 274]",2.009
5,"[105, 421]",2.01
5,"[171, 423]",2.058
5,"[221, 398]",2.082
5,"[376, 421]",2.103
5,"[45, 274]",2.121
5,"[61, 274]",2.13
5,"[36, 229]",2.137
5,"[308, 421]",2.152
5,"[229, 288]",2.222
5,"[173, 229]",2.238
5,"[184, 376]",2.288
5,"[89, 229]",2.421
5,"[215, 215]",2.466
5,"[105, 408]",2.667
5,"[237, 342]",2.677
5,"[45, 307]",2.952
5,"[89, 365]",2.993
5,"[61, 159]",3.095
6,"[45, 237]",1.384
6,"[172, 365]",1.399
6,"[89, 237]",1.417
6,"[105, 365]",1.439
6,"[229, 237]",1.474
6,"[237, 365]",1.479
6,"[275, 365]",1.515
6,"[171, 365]",1.555
6,"[320, 365]",1.567
6,"[36, 365]",1.569
6,"[86, 365]",1.571
6,"[79, 365]",1.579
6,"[308, 365]",1.588
6,"[61, 237]",1.624
6,"[173, 365]",1.7
6,"[58, 421]",1.857
6,"[123, 428]",1.912
6,"[171, 274]",2.009
6,"[105, 421]",2.01
6,"[171, 423]",2.058
6,"[89, 421]",2.079
6,"[79, 229]",2.109
6,"[79, 376]",2.112
6,"[45, 274]",2.121
6,"[123, 159]",2.298
6,"[105, 423]",2.341
6,"[2, 45]",2.349
6,"[173, 342]",2.398
6,"[308, 348]",2.436
6,"[342, 433]",2.798
