gen,filename,score
1,"[19, 277]",495.711566
1,"[133, 426]",497.995846
1,"[76, 140]",532.030868
1,"[11, 383]",545.561044
1,"[219, 261]",563.802662
1,"[156, 358]",575.030917
1,"[101, 129]",590.316557
1,"[55, 326]",591.466329
1,"[216, 302]",597.978317
1,"[385, 414]",603.262822
1,"[129, 400]",634.110315
1,"[60, 155]",637.220292
1,"[164, 329]",671.048411
1,"[322, 358]",694.105788
1,"[81, 181]",715.501525
1,"[189, 262]",721.128185
1,"[240, 279]",721.561062
1,"[321, 354]",749.770996
1,"[32, 413]",751.870704
1,"[19, 405]",758.822199
1,"[177, 337]",760.099246
1,"[83, 405]",762.48516
1,"[262, 287]",785.644969
1,"[204, 444]",792.314925
1,"[160, 279]",795.20983
1,"[231, 388]",830.974304
1,"[22, 177]",832.970599
1,"[118, 262]",912.799801
1,"[146, 376]",919.248542
1,"[166, 408]",999.020757
1,"[125, 201]",1086.569861
1,"[57, 96]",1140.092844
2,"[57, 325]",505.224732
2,"[111, 133]",533.163804
2,"[9, 240]",576.081616
2,"[156, 287]",578.854777
2,"[83, 261]",613.017381
2,"[17, 181]",628.6432
2,"[57, 356]",629.59858
2,"[216, 279]",666.146389
2,"[76, 408]",666.774008
2,"[189, 408]",672.166103
2,"[76, 405]",701.910125
2,"[161, 287]",708.679817
2,"[28, 261]",715.725242
2,"[240, 279]",721.561062
2,"[321, 354]",749.770996
2,"[32, 413]",751.870704
2,"[133, 405]",757.570445
2,"[19, 405]",758.822199
2,"[177, 337]",760.099246
2,"[83, 405]",762.48516
2,"[262, 287]",785.644969
2,"[204, 444]",792.314925
2,"[160, 279]",795.20983
2,"[231, 388]",830.974304
2,"[60, 177]",831.401688
2,"[22, 177]",832.970599
2,"[125, 156]",905.793368
2,"[118, 262]",912.799801
2,"[146, 376]",919.248542
2,"[166, 408]",999.020757
2,"[125, 201]",1086.569861
2,"[57, 96]",1140.092844
3,"[133, 426]",497.995846
3,"[156, 287]",578.854777
3,"[293, 337]",602.274073
3,"[261, 279]",636.581693
3,"[189, 207]",680.990278
3,"[17, 279]",714.463742
3,"[177, 189]",735.27398
3,"[216, 388]",737.155004
3,"[133, 405]",757.570445
3,"[19, 405]",758.822199
3,"[177, 337]",760.099246
3,"[83, 405]",762.48516
3,"[83, 444]",764.781437
3,"[22, 408]",770.127035
3,"[262, 287]",785.644969
3,"[204, 444]",792.314925
3,"[160, 279]",795.20983
3,"[32, 201]",828.214594
3,"[231, 388]",830.974304
3,"[60, 177]",831.401688
3,"[22, 177]",832.970599
3,"[208, 321]",842.923231
3,"[125, 156]",905.793368
3,"[118, 262]",912.799801
3,"[146, 376]",919.248542
3,"[321, 408]",936.178598
3,"[166, 408]",999.020757
3,"[75, 405]",1028.802716
3,"[125, 201]",1086.569861
3,"[125, 405]",1098.365551
3,"[57, 96]",1140.092844
3,"[96, 133]",1174.046241
4,"[57, 263]",583.691159
4,"[388, 399]",664.808797
4,"[189, 218]",685.962878
4,"[22, 279]",703.659646
4,"[156, 177]",721.745272
4,"[57, 444]",725.240022
4,"[160, 279]",795.20983
4,"[32, 201]",828.214594
4,"[231, 388]",830.974304
4,"[60, 177]",831.401688
4,"[22, 177]",832.970599
