gen,filename,score
1,"[169, 202]",452.640107
1,"[84, 168]",509.849635
1,"[339, 403]",546.340654
1,"[263, 399]",553.439248
1,"[206, 339]",582.13013
1,"[209, 255]",592.965107
1,"[217, 316]",608.676365
1,"[73, 216]",610.713237
1,"[8, 431]",630.887515
1,"[17, 132]",647.815393
1,"[132, 341]",665.459808
1,"[90, 257]",666.961048
1,"[102, 155]",671.715786
1,"[261, 393]",677.767881
1,"[43, 316]",686.721578
1,"[204, 350]",688.68921
1,"[188, 287]",698.24075
1,"[4, 335]",750.403695
1,"[250, 255]",770.628445
1,"[194, 392]",782.258135
1,"[114, 442]",801.393161
1,"[166, 432]",808.556278
1,"[405, 424]",814.175393
1,"[124, 289]",829.970196
1,"[100, 427]",843.977067
1,"[69, 300]",847.401438
1,"[131, 328]",849.46173
1,"[221, 385]",896.071807
1,"[145, 284]",945.243841
1,"[234, 374]",1047.76713
1,"[148, 267]",1057.794276
1,"[135, 161]",1069.062147
2,"[132, 328]",506.163704
2,"[263, 432]",519.975203
2,"[100, 431]",633.970776
2,"[86, 284]",646.134941
2,"[188, 287]",698.24075
2,"[168, 194]",707.203497
2,"[101, 405]",715.173196
2,"[4, 335]",750.403695
2,"[161, 250]",753.804393
2,"[102, 385]",767.440722
2,"[250, 255]",770.628445
2,"[194, 392]",782.258135
2,"[114, 442]",801.393161
2,"[166, 432]",808.556278
2,"[405, 424]",814.175393
2,"[124, 289]",829.970196
2,"[255, 405]",840.454293
2,"[8, 427]",841.033995
2,"[100, 427]",843.977067
2,"[69, 300]",847.401438
2,"[131, 328]",849.46173
2,"[148, 432]",870.606533
2,"[221, 385]",896.071807
2,"[124, 216]",924.59784
2,"[135, 359]",938.852775
2,"[145, 284]",945.243841
2,"[43, 374]",956.39753
2,"[148, 287]",981.656787
2,"[234, 374]",1047.76713
2,"[148, 267]",1057.794276
2,"[135, 161]",1069.062147
2,"[135, 255]",1085.859045
3,"[100, 432]",608.889831
3,"[66, 392]",616.421426
3,"[161, 359]",629.957011
3,"[168, 385]",652.488284
3,"[77, 86]",687.047069
3,"[187, 284]",715.437002
3,"[234, 432]",725.854671
3,"[8, 255]",784.512194
3,"[250, 361]",784.672827
3,"[255, 405]",840.454293
3,"[8, 427]",841.033995
3,"[161, 300]",842.627495
3,"[100, 427]",843.977067
3,"[69, 300]",847.401438
3,"[267, 405]",847.94209
3,"[131, 328]",849.46173
3,"[100, 300]",853.350302
3,"[148, 432]",870.606533
3,"[124, 280]",872.379498
3,"[221, 385]",896.071807
3,"[8, 321]",915.4881
3,"[124, 216]",924.59784
3,"[135, 359]",938.852775
3,"[145, 284]",945.243841
3,"[43, 374]",956.39753
3,"[221, 405]",966.616414
3,"[148, 287]",981.656787
3,"[234, 374]",1047.76713
3,"[148, 267]",1057.794276
3,"[135, 161]",1069.062147
3,"[135, 255]",1085.859045
3,"[135, 427]",1141.573573
4,"[108, 161]",586.110044
4,"[100, 432]",608.889831
4,"[66, 385]",634.726104
4,"[26, 187]",670.490812
4,"[36, 284]",713.987631
4,"[141, 161]",722.368841
4,"[161, 186]",731.597541
4,"[284, 437]",805.854954
4,"[100, 300]",853.350302
4,"[148, 432]",870.606533
4,"[124, 280]",872.379498
4,"[221, 385]",896.071807
4,"[145, 255]",899.931345
4,"[8, 321]",915.4881
4,"[124, 216]",924.59784
4,"[100, 374]",930.153524
4,"[255, 374]",935.989102
4,"[135, 359]",938.852775
4,"[145, 284]",945.243841
4,"[43, 374]",956.39753
4,"[221, 405]",966.616414
4,"[148, 287]",981.656787
4,"[135, 396]",1009.387568
4,"[234, 374]",1047.76713
4,"[148, 267]",1057.794276
4,"[135, 161]",1069.062147
4,"[135, 255]",1085.859045
4,"[148, 427]",1106.015942
4,"[148, 300]",1115.806973
4,"[135, 405]",1131.900255
4,"[135, 427]",1141.573573
4,"[78, 148]",1237.335055
5,"[141, 287]",670.343264
5,"[204, 216]",671.313374
5,"[51, 284]",749.371321
5,"[205, 427]",753.29119
5,"[187, 221]",797.173669
5,"[78, 359]",833.680538
5,"[100, 405]",834.106319
5,"[26, 405]",840.316537
5,"[148, 328]",883.189067
5,"[9, 135]",885.620594
5,"[284, 331]",903.652629
5,"[255, 374]",935.989102
5,"[135, 359]",938.852775
5,"[145, 284]",945.243841
5,"[43, 374]",956.39753
5,"[145, 427]",956.438619
5,"[221, 405]",966.616414
5,"[124, 161]",981.007301
5,"[148, 287]",981.656787
5,"[135, 396]",1009.387568
5,"[234, 374]",1047.76713
5,"[148, 267]",1057.794276
5,"[135, 161]",1069.062147
5,"[135, 255]",1085.859045
5,"[148, 427]",1106.015942
5,"[148, 300]",1115.806973
5,"[135, 405]",1131.900255
5,"[135, 427]",1141.573573
5,"[135, 374]",1223.388972
5,"[92, 374]",1224.026602
5,"[78, 148]",1237.335055
5,"[135, 148]",1342.387447
6,"[141, 211]",616.710056
6,"[240, 359]",629.198513
6,"[219, 284]",710.435235
6,"[26, 409]",777.464534
6,"[100, 255]",788.002134
6,"[135, 144]",825.25502
6,"[205, 374]",839.725432
6,"[255, 427]",849.49392
6,"[43, 374]",956.39753
6,"[221, 405]",966.616414
6,"[124, 161]",981.007301
6,"[148, 287]",981.656787
6,"[135, 261]",982.998871
6,"[135, 396]",1009.387568
6,"[145, 374]",1042.439093
6,"[234, 374]",1047.76713
6,"[148, 267]",1057.794276
6,"[135, 161]",1069.062147
6,"[135, 255]",1085.859045
6,"[338, 427]",1105.54776
6,"[148, 427]",1106.015942
6,"[148, 300]",1115.806973
6,"[421, 427]",1127.536069
6,"[135, 284]",1130.245408
6,"[135, 405]",1131.900255
6,"[135, 427]",1141.573573
6,"[148, 221]",1177.205282
6,"[135, 374]",1223.388972
6,"[92, 374]",1224.026602
6,"[78, 148]",1237.335055
6,"[135, 148]",1342.387447
6,"[96, 135]",1548.818652
7,"[136, 396]",552.44192
7,"[219, 427]",721.890494
7,"[111, 221]",742.602298
7,"[233, 374]",908.418823
7,"[347, 359]",922.431324
7,"[43, 374]",956.39753
7,"[135, 211]",963.336197
7,"[148, 208]",968.158258
7,"[148, 287]",981.656787
7,"[148, 409]",1034.259112
7,"[221, 376]",1055.558087
7,"[148, 267]",1057.794276
7,"[135, 161]",1069.062147
7,"[135, 380]",1078.799136
7,"[135, 255]",1085.859045
7,"[284, 338]",1094.57078
7,"[338, 427]",1105.54776
7,"[148, 427]",1106.015942
7,"[148, 300]",1115.806973
7,"[78, 374]",1123.220327
7,"[421, 427]",1127.536069
7,"[135, 284]",1130.245408
7,"[135, 405]",1131.900255
7,"[135, 427]",1141.573573
7,"[135, 300]",1151.129375
7,"[148, 221]",1177.205282
7,"[135, 374]",1223.388972
7,"[92, 374]",1224.026602
7,"[78, 148]",1237.335055
7,"[39, 96]",1323.969589
7,"[135, 148]",1342.387447
7,"[96, 135]",1548.818652
8,"[359, 385]",622.574962
8,"[111, 374]",759.534665
8,"[11, 427]",761.947957
