gen,filename,score
1,"[144, 334]",402.680378
1,"[50, 396]",495.864992
1,"[99, 302]",499.127178
1,"[52, 139]",547.460771
1,"[20, 198]",561.647094
1,"[371, 400]",569.253529
1,"[50, 201]",607.363712
1,"[251, 334]",627.655827
1,"[30, 213]",638.266069
1,"[255, 399]",648.624063
1,"[243, 246]",665.759823
1,"[47, 326]",671.708666
1,"[197, 200]",675.952137
1,"[113, 317]",679.627135
1,"[52, 184]",685.690962
1,"[62, 72]",688.159087
1,"[156, 444]",696.58688
1,"[201, 244]",708.869816
1,"[246, 345]",722.15172
1,"[217, 240]",727.895952
1,"[276, 357]",745.289778
1,"[170, 271]",764.000139
1,"[334, 394]",775.320932
1,"[2, 304]",797.829856
1,"[175, 419]",806.441132
1,"[130, 387]",839.605601
1,"[13, 366]",850.719852
1,"[27, 230]",900.528703
1,"[266, 441]",900.681893
1,"[151, 389]",914.321387
1,"[366, 423]",942.117766
1,"[127, 131]",1069.512439
2,"[2, 334]",512.003199
2,"[62, 389]",520.950304
2,"[246, 302]",524.641975
2,"[2, 205]",545.427787
2,"[130, 246]",594.430194
2,"[144, 345]",606.94913
2,"[22, 400]",677.314369
2,"[197, 230]",688.317113
2,"[156, 444]",696.58688
2,"[201, 244]",708.869816
2,"[163, 271]",721.535463
2,"[246, 345]",722.15172
2,"[217, 240]",727.895952
2,"[276, 357]",745.289778
2,"[52, 357]",753.598222
2,"[371, 394]",762.120625
2,"[170, 271]",764.000139
2,"[334, 394]",775.320932
2,"[2, 304]",797.829856
2,"[89, 127]",801.979554
2,"[175, 419]",806.441132
2,"[130, 387]",839.605601
2,"[13, 366]",850.719852
2,"[230, 318]",875.677601
2,"[255, 387]",893.47533
2,"[27, 230]",900.528703
2,"[266, 441]",900.681893
2,"[243, 387]",910.662448
2,"[151, 389]",914.321387
2,"[366, 423]",942.117766
2,"[127, 131]",1069.512439
2,"[190, 251]",1580.756468
3,"[217, 389]",525.429204
3,"[246, 419]",595.274256
3,"[2, 251]",605.819403
3,"[163, 441]",623.18218
3,"[11, 419]",653.490045
3,"[204, 251]",708.100893
3,"[27, 244]",739.556796
3,"[230, 400]",754.6612
3,"[170, 271]",764.000139
3,"[334, 394]",775.320932
3,"[302, 423]",784.652604
3,"[240, 243]",794.757175
3,"[2, 304]",797.829856
3,"[89, 127]",801.979554
3,"[119, 366]",804.202729
3,"[175, 419]",806.441132
3,"[130, 387]",839.605601
3,"[357, 366]",844.965818
3,"[52, 423]",850.673647
3,"[13, 366]",850.719852
3,"[230, 318]",875.677601
3,"[255, 387]",893.47533
3,"[27, 230]",900.528703
3,"[266, 441]",900.681893
3,"[243, 387]",910.662448
3,"[151, 389]",914.321387
3,"[127, 229]",922.819399
3,"[366, 423]",942.117766
3,"[266, 271]",998.906639
3,"[127, 131]",1069.512439
3,"[190, 251]",1580.756468
3,"[190, 394]",1728.902587
4,"[219, 255]",664.912532
4,"[2, 271]",681.921437
4,"[243, 391]",692.459909
4,"[30, 230]",747.673837
4,"[302, 394]",782.677942
4,"[204, 230]",786.023203
4,"[387, 443]",800.352174
4,"[98, 243]",809.816885
4,"[175, 251]",822.783788
4,"[27, 251]",822.783789
4,"[130, 387]",839.605601
4,"[357, 366]",844.965818
4,"[244, 266]",848.74118
4,"[52, 423]",850.673647
4,"[13, 366]",850.719852
4,"[230, 318]",875.677601
4,"[230, 303]",877.178815
4,"[127, 271]",888.533278
4,"[255, 387]",893.47533
4,"[27, 230]",900.528703
4,"[266, 441]",900.681893
