gen,filename,score
1,"[20, 435]",455.765937
1,"[202, 264]",499.703044
1,"[134, 329]",538.042998
1,"[119, 277]",553.234699
1,"[4, 339]",572.947013
1,"[207, 389]",593.631283
1,"[157, 326]",594.524333
1,"[128, 225]",603.59612
1,"[51, 373]",605.376445
1,"[60, 156]",610.169347
1,"[319, 333]",621.918352
1,"[225, 273]",622.742485
1,"[127, 139]",658.464273
1,"[382, 391]",660.304236
1,"[343, 403]",662.405783
1,"[252, 255]",687.510042
1,"[24, 295]",697.930853
1,"[87, 184]",707.831547
1,"[83, 298]",723.171196
1,"[357, 400]",729.163589
1,"[4, 98]",732.494429
1,"[36, 145]",776.033944
1,"[93, 117]",778.329104
1,"[182, 349]",782.601149
1,"[15, 130]",790.82189
1,"[32, 243]",811.035129
1,"[374, 418]",840.915634
1,"[191, 380]",861.478455
1,"[38, 83]",940.839787
1,"[45, 148]",945.372528
1,"[61, 363]",1004.271165
1,"[315, 437]",1102.364422
2,"[20, 400]",453.156184
2,"[93, 389]",474.778051
2,"[202, 400]",479.643654
2,"[195, 202]",601.470025
2,"[319, 393]",613.494236
2,"[139, 191]",678.520382
2,"[83, 437]",683.256268
2,"[24, 36]",697.594068
2,"[24, 295]",697.930853
2,"[87, 184]",707.831547
2,"[204, 437]",711.194961
2,"[83, 298]",723.171196
2,"[87, 437]",726.329774
2,"[184, 270]",727.465743
2,"[357, 400]",729.163589
2,"[4, 98]",732.494429
2,"[134, 218]",769.696901
2,"[36, 145]",776.033944
2,"[93, 117]",778.329104
2,"[182, 349]",782.601149
2,"[15, 130]",790.82189
2,"[32, 243]",811.035129
2,"[374, 418]",840.915634
2,"[191, 380]",861.478455
2,"[117, 207]",897.327938
2,"[24, 363]",911.936034
2,"[61, 255]",919.942067
2,"[38, 83]",940.839787
2,"[45, 148]",945.372528
2,"[61, 363]",1004.271165
2,"[184, 315]",1077.929018
2,"[315, 437]",1102.364422
3,"[182, 389]",527.404955
3,"[45, 312]",584.702301
3,"[202, 349]",594.676438
3,"[83, 301]",638.740258
3,"[228, 270]",639.722728
3,"[182, 400]",666.340486
3,"[45, 270]",674.090895
3,"[129, 437]",682.938546
3,"[83, 380]",709.36684
3,"[186, 437]",715.466564
3,"[36, 191]",743.649987
3,"[184, 218]",767.915905
3,"[134, 218]",769.696901
3,"[36, 145]",776.033944
3,"[93, 117]",778.329104
3,"[182, 349]",782.601149
3,"[15, 130]",790.82189
3,"[32, 243]",811.035129
3,"[191, 437]",835.578436
3,"[61, 400]",839.420605
3,"[374, 418]",840.915634
3,"[191, 380]",861.478455
3,"[117, 207]",897.327938
3,"[24, 363]",911.936034
3,"[61, 255]",919.942067
3,"[61, 113]",927.330819
3,"[38, 83]",940.839787
3,"[45, 148]",945.372528
3,"[61, 363]",1004.271165
3,"[315, 435]",1057.285678
3,"[184, 315]",1077.929018
3,"[315, 437]",1102.364422
4,"[191, 389]",648.453839
4,"[45, 437]",655.985609
4,"[36, 113]",676.275661
4,"[130, 184]",689.088548
4,"[45, 218]",713.817936
4,"[113, 186]",755.358155
4,"[184, 349]",777.937686
4,"[191, 400]",786.949553
4,"[15, 130]",790.82189
4,"[129, 363]",799.486638
4,"[24, 270]",805.870549
4,"[32, 243]",811.035129
4,"[182, 281]",818.949781
4,"[24, 254]",820.889405
4,"[191, 437]",835.578436
4,"[61, 400]",839.420605
4,"[374, 418]",840.915634
4,"[363, 437]",845.032773
4,"[24, 349]",859.794659
4,"[191, 380]",861.478455
4,"[117, 207]",897.327938
4,"[24, 363]",911.936034
4,"[61, 255]",919.942067
4,"[61, 113]",927.330819
4,"[38, 83]",940.839787
4,"[45, 148]",945.372528
4,"[61, 363]",1004.271165
4,"[61, 145]",1027.667665
4,"[315, 435]",1057.285678
4,"[184, 315]",1077.929018
4,"[38, 191]",1092.925739
4,"[315, 437]",1102.364422
5,"[130, 334]",610.763688
5,"[132, 437]",639.083683
5,"[392, 418]",655.753943
5,"[36, 380]",663.041168
5,"[182, 435]",669.783479
5,"[326, 349]",702.983044
5,"[83, 191]",790.363172
5,"[130, 384]",797.480598
5,"[374, 418]",840.915634
5,"[363, 437]",845.032773
5,"[145, 182]",854.237482
5,"[24, 349]",859.794659
5,"[191, 380]",861.478455
5,"[117, 207]",897.327938
5,"[32, 145]",900.533255
5,"[374, 437]",903.274755
5,"[24, 363]",911.936034
5,"[61, 255]",919.942067
5,"[38, 418]",923.383269
5,"[61, 113]",927.330819
5,"[38, 83]",940.839787
5,"[45, 148]",945.372528
5,"[66, 315]",993.929416
5,"[61, 363]",1004.271165
5,"[61, 222]",1011.115794
5,"[61, 145]",1027.667665
5,"[315, 435]",1057.285678
5,"[184, 315]",1077.929018
5,"[38, 191]",1092.925739
5,"[315, 437]",1102.364422
5,"[14, 315]",1189.890749
5,"[191, 315]",1203.826052
6,"[106, 418]",475.791863
6,"[326, 383]",506.768773
6,"[66, 259]",644.331005
6,"[24, 252]",716.266723
6,"[184, 380]",735.779957
6,"[61, 111]",741.745582
6,"[130, 363]",824.764424
6,"[38, 334]",888.144125
6,"[24, 363]",911.936034
6,"[61, 255]",919.942067
6,"[38, 418]",923.383269
6,"[148, 326]",923.878999
6,"[61, 113]",927.330819
6,"[38, 83]",940.839787
6,"[45, 148]",945.372528
6,"[191, 363]",952.186812
6,"[61, 384]",977.568123
6,"[145, 363]",984.140655
6,"[66, 315]",993.929416
6,"[61, 363]",1004.271165
6,"[145, 145]",1008.142214
6,"[61, 222]",1011.115794
6,"[61, 145]",1027.667665
6,"[315, 435]",1057.285678
6,"[184, 315]",1077.929018
6,"[182, 315]",1083.160142
6,"[38, 191]",1092.925739
6,"[315, 437]",1102.364422
6,"[315, 436]",1127.520335
6,"[24, 315]",1170.415161
6,"[14, 315]",1189.890749
6,"[191, 315]",1203.826052
7,"[66, 383]",498.148395
7,"[86, 184]",550.140217
7,"[66, 418]",563.474918
7,"[66, 287]",590.382858
7,"[277, 363]",660.23589
7,"[61, 111]",741.745582
7,"[433, 436]",860.823041
7,"[61, 367]",876.534558
7,"[145, 380]",894.278815
7,"[106, 315]",906.380062
7,"[24, 363]",911.936034
7,"[61, 384]",977.568123
7,"[145, 363]",984.140655
7,"[66, 315]",993.929416
7,"[61, 363]",1004.271165
7,"[145, 145]",1008.142214
7,"[315, 326]",1008.53424
7,"[61, 222]",1011.115794
7,"[61, 145]",1027.667665
7,"[315, 435]",1057.285678
7,"[184, 315]",1077.929018
7,"[182, 315]",1083.160142
7,"[38, 191]",1092.925739
7,"[315, 437]",1102.364422
7,"[315, 436]",1127.520335
7,"[232, 315]",1166.055396
7,"[24, 315]",1170.415161
7,"[14, 315]",1189.890749
7,"[113, 159]",1201.882077
7,"[191, 315]",1203.826052
7,"[315, 363]",1218.595374
7,"[61, 315]",1255.709238
8,"[106, 436]",564.051013
8,"[51, 326]",569.968958
8,"[11, 437]",673.272641
8,"[14, 431]",700.95697
8,"[437, 438]",708.634324
8,"[184, 388]",758.986257
8,"[145, 214]",859.472619
8,"[145, 437]",867.432234
8,"[24, 384]",882.057978
8,"[14, 363]",939.155801
8,"[191, 433]",941.879325
8,"[38, 287]",949.967173
8,"[66, 315]",993.929416
8,"[61, 191]",994.856165
8,"[315, 326]",1008.53424
8,"[61, 222]",1011.115794
8,"[61, 145]",1027.667665
8,"[315, 435]",1057.285678
8,"[184, 315]",1077.929018
8,"[182, 315]",1083.160142
8,"[38, 191]",1092.925739
8,"[315, 437]",1102.364422
8,"[315, 436]",1127.520335
8,"[120, 315]",1136.730118
8,"[232, 315]",1166.055396
8,"[24, 315]",1170.415161
8,"[14, 315]",1189.890749
8,"[113, 159]",1201.882077
