gen,filename,score
1,"[67, 383]",451.511778
1,"[66, 305]",484.294845
1,"[40, 41]",524.710133
1,"[101, 334]",538.72858
1,"[208, 238]",543.65481
1,"[62, 86]",547.713689
1,"[86, 251]",565.268737
1,"[244, 362]",596.993817
1,"[7, 324]",600.38312
1,"[45, 274]",602.717671
1,"[58, 215]",662.022956
1,"[93, 241]",671.77883
1,"[36, 229]",743.732231
1,"[89, 298]",754.780804
1,"[35, 125]",758.98546
1,"[79, 303]",780.828862
1,"[105, 243]",792.971748
1,"[280, 321]",799.179709
1,"[177, 309]",867.843066
1,"[123, 428]",878.368709
1,"[71, 125]",901.212216
1,"[48, 310]",926.970583
1,"[107, 204]",938.405596
1,"[310, 429]",976.929815
1,"[171, 365]",989.142595
1,"[260, 344]",997.624063
1,"[221, 398]",999.740449
1,"[294, 307]",1011.485112
1,"[61, 423]",1033.843605
1,"[78, 82]",1105.05711
1,"[135, 177]",1159.853419
1,"[376, 421]",1206.659178
2,"[1, 280]",548.715731
2,"[7, 419]",614.820778
2,"[244, 429]",633.714399
2,"[123, 383]",665.620823
2,"[86, 434]",666.427372
2,"[48, 119]",678.6597
2,"[206, 309]",743.675816
2,"[93, 398]",773.496185
2,"[105, 243]",792.971748
2,"[86, 107]",795.881796
2,"[280, 321]",799.179709
2,"[177, 309]",867.843066
2,"[123, 428]",878.368709
2,"[36, 307]",900.882634
2,"[71, 125]",901.212216
2,"[48, 310]",926.970583
2,"[107, 204]",938.405596
2,"[177, 177]",942.705476
2,"[310, 429]",976.929815
2,"[89, 307]",979.966538
2,"[171, 365]",989.142595
2,"[260, 344]",997.624063
2,"[221, 398]",999.740449
2,"[294, 307]",1011.485112
2,"[61, 423]",1033.843605
2,"[135, 309]",1085.555606
2,"[123, 421]",1104.133519
2,"[78, 82]",1105.05711
2,"[177, 421]",1145.88475
2,"[135, 177]",1159.853419
2,"[376, 421]",1206.659178
2,"[125, 347]",1327.076556
3,"[86, 344]",464.099017
3,"[280, 309]",668.604214
3,"[237, 280]",679.132622
3,"[89, 429]",707.121059
3,"[86, 423]",714.878025
3,"[187, 428]",722.259579
3,"[71, 177]",722.763437
3,"[89, 127]",801.979554
3,"[177, 237]",878.819237
3,"[180, 310]",879.050984
3,"[237, 398]",883.335387
3,"[376, 429]",887.550398
3,"[105, 423]",888.655587
3,"[280, 310]",892.818218
3,"[82, 308]",931.94368
3,"[107, 204]",938.405596
3,"[177, 177]",942.705476
3,"[36, 421]",947.040884
3,"[310, 429]",976.929815
3,"[89, 307]",979.966538
3,"[171, 365]",989.142595
3,"[260, 344]",997.624063
3,"[221, 398]",999.740449
3,"[294, 307]",1011.485112
3,"[61, 423]",1033.843605
3,"[135, 309]",1085.555606
3,"[123, 421]",1104.133519
3,"[78, 82]",1105.05711
3,"[177, 421]",1145.88475
3,"[135, 177]",1159.853419
3,"[376, 421]",1206.659178
3,"[125, 347]",1327.076556
4,"[71, 360]",595.918595
4,"[184, 280]",617.212135
4,"[132, 429]",632.36163
4,"[180, 309]",654.53845
4,"[123, 429]",784.867131
4,"[45, 423]",802.554836
4,"[103, 221]",820.152869
4,"[177, 308]",882.211694
4,"[82, 105]",899.414667
4,"[78, 429]",939.930247
4,"[177, 177]",942.705476
4,"[36, 347]",945.012773
4,"[36, 421]",947.040884
4,"[310, 429]",976.929815
4,"[89, 307]",979.966538
4,"[171, 365]",989.142595
4,"[260, 344]",997.624063
4,"[221, 398]",999.740449
4,"[187, 315]",1005.668868
4,"[294, 307]",1011.485112
4,"[173, 421]",1017.217811
4,"[61, 423]",1033.843605
4,"[135, 309]",1085.555606
4,"[135, 308]",1099.590202
4,"[177, 307]",1100.788637
4,"[123, 421]",1104.133519
4,"[78, 82]",1105.05711
