gen,filename,score
1,"[106, 268]",458.878396
1,"[136, 210]",461.631699
1,"[209, 297]",518.38113
1,"[162, 390]",592.684784
1,"[16, 383]",597.471877
1,"[111, 239]",609.377176
1,"[192, 352]",620.382282
1,"[16, 244]",637.896544
1,"[114, 181]",655.784739
1,"[245, 430]",674.298421
1,"[286, 341]",694.70985
1,"[40, 298]",697.848628
1,"[83, 240]",698.620341
1,"[282, 427]",719.845442
1,"[244, 300]",739.482578
1,"[6, 400]",742.740076
1,"[55, 303]",760.180387
1,"[42, 297]",767.620481
1,"[201, 204]",779.14047
1,"[243, 313]",785.497421
1,"[153, 322]",807.417683
1,"[123, 341]",807.490837
1,"[158, 446]",816.316053
1,"[178, 222]",864.079043
1,"[77, 382]",865.413537
1,"[46, 425]",868.848479
1,"[80, 294]",923.20232
1,"[137, 201]",984.085235
1,"[301, 347]",992.177466
1,"[3, 91]",1057.358104
1,"[135, 390]",1060.217936
1,"[23, 152]",1122.786041
2,"[209, 322]",565.652113
2,"[210, 243]",645.145106
2,"[178, 244]",654.449946
2,"[123, 383]",665.620823
2,"[192, 398]",701.914659
2,"[201, 268]",716.628337
2,"[16, 382]",744.668248
2,"[55, 303]",760.180387
2,"[42, 297]",767.620481
2,"[201, 204]",779.14047
2,"[243, 313]",785.497421
2,"[153, 322]",807.417683
2,"[123, 341]",807.490837
2,"[158, 446]",816.316053
2,"[16, 222]",848.76562
2,"[178, 222]",864.079043
2,"[77, 382]",865.413537
2,"[46, 425]",868.848479
2,"[384, 446]",900.299384
2,"[3, 300]",912.285858
2,"[80, 294]",923.20232
2,"[137, 240]",932.137521
2,"[137, 201]",984.085235
2,"[91, 161]",987.402753
2,"[301, 347]",992.177466
2,"[80, 229]",1012.635253
2,"[3, 91]",1057.358104
2,"[135, 390]",1060.217936
2,"[152, 225]",1104.262976
2,"[23, 152]",1122.786041
2,"[96, 390]",1230.969642
2,"[152, 415]",1503.911717
3,"[16, 161]",741.778702
3,"[80, 383]",777.277844
3,"[204, 232]",782.252412
3,"[137, 383]",788.936722
3,"[16, 201]",792.942988
3,"[77, 440]",797.752976
3,"[11, 80]",849.876404
3,"[77, 390]",854.174696
3,"[91, 404]",858.150398
3,"[201, 201]",863.690848
3,"[77, 382]",865.413537
3,"[46, 425]",868.848479
3,"[61, 322]",892.717053
3,"[384, 446]",900.299384
3,"[3, 300]",912.285858
3,"[80, 294]",923.20232
3,"[137, 240]",932.137521
3,"[137, 201]",984.085235
3,"[91, 161]",987.402753
3,"[91, 382]",990.204455
3,"[301, 347]",992.177466
3,"[80, 229]",1012.635253
3,"[3, 91]",1057.358104
3,"[135, 390]",1060.217936
3,"[201, 336]",1069.031086
3,"[152, 225]",1104.262976
3,"[42, 347]",1118.079872
3,"[23, 152]",1122.786041
3,"[96, 204]",1206.898355
3,"[96, 390]",1230.969642
3,"[96, 382]",1242.727424
3,"[152, 415]",1503.911717
4,"[301, 383]",555.860377
4,"[23, 322]",608.605473
4,"[115, 161]",650.556362
4,"[301, 341]",697.225422
4,"[3, 440]",765.382019
4,"[27, 390]",833.839996
4,"[17, 229]",843.83383
4,"[80, 390]",912.574507
4,"[137, 240]",932.137521
4,"[137, 201]",984.085235
4,"[91, 161]",987.402753
4,"[91, 382]",990.204455
4,"[301, 347]",992.177466
4,"[3, 137]",1002.439935
4,"[80, 229]",1012.635253
4,"[137, 229]",1024.084206
4,"[3, 91]",1057.358104
4,"[135, 390]",1060.217936
4,"[201, 336]",1069.031086
4,"[152, 225]",1104.262976
4,"[42, 347]",1118.079872
4,"[23, 152]",1122.786041
4,"[96, 204]",1206.898355
4,"[96, 322]",1229.123873
4,"[80, 135]",1230.064985
4,"[96, 390]",1230.969642
4,"[96, 240]",1239.546979
4,"[96, 382]",1242.727424
4,"[91, 336]",1244.58251
4,"[96, 357]",1273.059604
4,"[152, 230]",1321.931621
4,"[152, 415]",1503.911717
5,"[111, 382]",601.007518
5,"[357, 404]",663.457908
5,"[243, 440]",730.073241
5,"[51, 137]",863.126117
5,"[3, 230]",888.982217
5,"[80, 322]",910.24894
5,"[137, 390]",924.107607
5,"[80, 357]",953.985336
5,"[91, 390]",979.141485
5,"[91, 240]",986.961846
5,"[3, 91]",1057.358104
5,"[135, 390]",1060.217936
5,"[201, 336]",1069.031086
5,"[152, 225]",1104.262976
5,"[42, 347]",1118.079872
5,"[3, 347]",1122.612546
5,"[23, 152]",1122.786041
5,"[96, 204]",1206.898355
5,"[96, 322]",1229.123873
5,"[80, 135]",1230.064985
5,"[96, 390]",1230.969642
5,"[96, 240]",1239.546979
5,"[96, 161]",1240.156908
5,"[96, 382]",1242.727424
5,"[91, 336]",1244.58251
5,"[152, 322]",1253.164934
5,"[152, 161]",1264.119685
5,"[96, 357]",1273.059604
5,"[152, 230]",1321.931621
5,"[96, 229]",1331.418048
5,"[152, 415]",1503.911717
5,"[152, 336]",1521.126653
6,"[201, 426]",615.660205
6,"[201, 289]",661.515611
6,"[51, 390]",697.957886
6,"[3, 165]",724.769025
6,"[357, 403]",725.580149
6,"[91, 382]",990.204455
6,"[80, 300]",1003.093811
6,"[135, 352]",1082.774118
6,"[96, 196]",1090.471905
6,"[96, 228]",1117.904431
6,"[23, 152]",1122.786041
6,"[96, 280]",1131.299381
6,"[96, 268]",1144.592972
6,"[80, 171]",1145.070485
6,"[96, 204]",1206.898355
6,"[96, 322]",1229.123873
6,"[80, 135]",1230.064985
6,"[96, 390]",1230.969642
6,"[96, 240]",1239.546979
6,"[96, 161]",1240.156908
6,"[96, 382]",1242.727424
6,"[91, 336]",1244.58251
6,"[152, 322]",1253.164934
6,"[96, 379]",1262.659272
6,"[152, 161]",1264.119685
6,"[96, 357]",1273.059604
6,"[88, 96]",1278.432261
6,"[152, 230]",1321.931621
6,"[96, 229]",1331.418048
6,"[96, 137]",1412.321587
6,"[152, 415]",1503.911717
6,"[152, 336]",1521.126653
7,"[88, 280]",690.787262
7,"[243, 390]",786.973429
7,"[201, 240]",811.32165
7,"[99, 135]",914.253081
7,"[268, 336]",922.323089
7,"[96, 165]",1134.37989
7,"[152, 228]",1141.876744
7,"[80, 415]",1161.245375
7,"[152, 268]",1168.340437
7,"[96, 293]",1173.043799
7,"[19, 96]",1175.308384
7,"[96, 170]",1187.109819
7,"[80, 135]",1230.064985
7,"[96, 390]",1230.969642
7,"[96, 240]",1239.546979
7,"[96, 161]",1240.156908
7,"[96, 382]",1242.727424
7,"[91, 336]",1244.58251
7,"[152, 322]",1253.164934
7,"[152, 390]",1254.6087
7,"[96, 379]",1262.659272
7,"[152, 161]",1264.119685
7,"[96, 357]",1273.059604
7,"[152, 352]",1277.02465
7,"[88, 96]",1278.432261
7,"[96, 235]",1309.054908
7,"[152, 230]",1321.931621
7,"[96, 229]",1331.418048
7,"[96, 137]",1412.321587
7,"[96, 415]",1480.151862
