gen,filename,score
1,"[158, 225]",1.887
1,"[203, 386]",2.077
1,"[117, 328]",2.147
1,"[147, 420]",2.164
1,"[201, 386]",2.166
1,"[141, 260]",2.177
1,"[235, 325]",2.246
1,"[247, 322]",2.25
1,"[95, 419]",2.28
1,"[288, 364]",2.302
1,"[172, 412]",2.317
1,"[128, 264]",2.426
1,"[312, 355]",2.461
1,"[6, 81]",2.549
1,"[225, 275]",2.571
1,"[176, 184]",2.608
1,"[82, 350]",2.612
1,"[27, 220]",2.656
1,"[349, 394]",2.715
1,"[40, 386]",2.752
1,"[65, 287]",2.754
1,"[43, 275]",2.93
1,"[216, 287]",2.987
1,"[239, 401]",2.991
1,"[59, 89]",2.994
1,"[16, 233]",3.054
1,"[228, 422]",3.185
1,"[5, 314]",3.247
1,"[365, 430]",3.379
1,"[350, 406]",3.503
1,"[273, 399]",3.718
1,"[220, 299]",4.138
2,"[121, 128]",1.518
2,"[158, 225]",1.887
2,"[288, 386]",1.97
2,"[141, 328]",2.024
2,"[141, 420]",2.037
2,"[203, 386]",2.077
2,"[117, 328]",2.147
2,"[147, 420]",2.164
2,"[201, 386]",2.166
2,"[141, 260]",2.177
2,"[235, 325]",2.246
2,"[247, 322]",2.25
2,"[81, 172]",2.276
2,"[95, 419]",2.28
2,"[128, 386]",2.297
2,"[288, 364]",2.302
2,"[117, 180]",2.305
2,"[172, 412]",2.317
2,"[128, 264]",2.426
2,"[312, 355]",2.461
2,"[184, 312]",2.471
2,"[6, 325]",2.477
2,"[128, 419]",2.495
2,"[235, 260]",2.508
2,"[6, 81]",2.549
2,"[225, 275]",2.571
2,"[325, 436]",2.596
2,"[176, 184]",2.608
2,"[172, 225]",2.613
2,"[128, 247]",2.787
2,"[81, 83]",2.889
2,"[6, 184]",2.945
3,"[121, 128]",1.518
3,"[158, 225]",1.887
3,"[141, 386]",1.948
3,"[288, 386]",1.97
3,"[91, 386]",2.003
3,"[141, 328]",2.024
3,"[141, 420]",2.037
3,"[203, 386]",2.077
3,"[117, 328]",2.147
3,"[141, 144]",2.159
3,"[147, 420]",2.164
3,"[201, 386]",2.166
3,"[141, 260]",2.177
3,"[223, 322]",2.177
3,"[158, 386]",2.184
3,"[105, 386]",2.226
3,"[11, 386]",2.227
3,"[235, 325]",2.246
3,"[247, 322]",2.25
3,"[81, 172]",2.276
3,"[76, 235]",2.276
3,"[95, 419]",2.28
3,"[221, 386]",2.294
3,"[128, 386]",2.297
3,"[288, 364]",2.302
3,"[168, 322]",2.303
3,"[288, 328]",2.327
3,"[117, 364]",2.474
3,"[128, 288]",2.763
3,"[106, 147]",2.871
3,"[19, 225]",3.011
3,"[150, 225]",3.33
4,"[121, 128]",1.518
4,"[91, 128]",1.841
4,"[158, 225]",1.887
4,"[117, 420]",1.922
4,"[141, 386]",1.948
4,"[288, 386]",1.97
4,"[91, 386]",2.003
4,"[141, 328]",2.024
4,"[141, 420]",2.037
4,"[231, 420]",2.076
4,"[203, 386]",2.077
4,"[121, 386]",2.117
4,"[117, 328]",2.147
4,"[144, 171]",2.157
4,"[141, 144]",2.159
4,"[147, 420]",2.164
4,"[201, 386]",2.166
4,"[223, 322]",2.177
4,"[141, 260]",2.177
4,"[158, 386]",2.184
4,"[201, 322]",2.188
4,"[121, 260]",2.219
4,"[105, 386]",2.226
4,"[141, 311]",2.239
4,"[288, 328]",2.327
4,"[158, 266]",2.403
4,"[201, 260]",2.443
4,"[127, 201]",2.566
4,"[223, 377]",2.611
4,"[225, 244]",2.749
4,"[290, 386]",3.069
4,"[225, 340]",3.439
5,"[121, 128]",1.518
5,"[91, 128]",1.841
5,"[91, 328]",1.859
5,"[158, 225]",1.887
5,"[144, 158]",1.901
5,"[117, 420]",1.922
5,"[288, 420]",1.944
5,"[141, 386]",1.948
5,"[288, 386]",1.97
5,"[91, 386]",2.003
5,"[141, 328]",2.024
5,"[141, 420]",2.037
5,"[141, 385]",2.04
5,"[117, 386]",2.042
5,"[147, 386]",2.049
5,"[121, 171]",2.061
5,"[231, 420]",2.076
5,"[203, 386]",2.077
5,"[121, 386]",2.117
5,"[141, 407]",2.12
5,"[117, 328]",2.147
5,"[144, 171]",2.157
5,"[141, 144]",2.159
5,"[147, 420]",2.164
5,"[203, 328]",2.247
5,"[231, 376]",2.265
5,"[288, 328]",2.327
5,"[35, 117]",2.45
5,"[231, 398]",2.761
5,"[8, 144]",3.182
5,"[117, 278]",3.24
5,"[116, 144]",3.371
6,"[121, 128]",1.518
6,"[91, 128]",1.841
6,"[91, 328]",1.859
6,"[158, 225]",1.887
6,"[144, 158]",1.901
6,"[117, 420]",1.922
6,"[288, 420]",1.944
6,"[141, 386]",1.948
6,"[288, 386]",1.97
6,"[91, 386]",2.003
