gen,filename,score
1,"[169, 202]",452.640107
1,"[84, 168]",509.849635
1,"[339, 403]",546.340654
1,"[263, 399]",553.439248
1,"[206, 339]",582.13013
1,"[209, 255]",592.965107
1,"[217, 316]",608.676365
1,"[73, 216]",610.713237
1,"[8, 431]",630.887515
1,"[17, 132]",647.815393
1,"[132, 341]",665.459808
1,"[90, 257]",666.961048
1,"[102, 155]",671.715786
1,"[261, 393]",677.767881
1,"[43, 316]",686.721578
1,"[204, 350]",688.68921
1,"[188, 287]",698.24075
1,"[4, 335]",750.403695
1,"[250, 255]",770.628445
1,"[194, 392]",782.258135
1,"[114, 442]",801.393161
1,"[166, 432]",808.556278
1,"[405, 424]",814.175393
1,"[124, 289]",829.970196
1,"[100, 427]",843.977067
1,"[69, 300]",847.401438
1,"[131, 328]",849.46173
1,"[221, 385]",896.071807
1,"[145, 284]",945.243841
1,"[234, 374]",1047.76713
1,"[148, 267]",1057.794276
1,"[135, 161]",1069.062147
2,"[101, 114]",671.833889
2,"[187, 267]",678.137341
2,"[188, 287]",698.24075
2,"[158, 424]",740.308162
2,"[188, 385]",742.658294
2,"[4, 335]",750.403695
2,"[161, 250]",753.804393
2,"[250, 255]",770.628445
2,"[194, 392]",782.258135
2,"[114, 442]",801.393161
2,"[166, 432]",808.556278
2,"[267, 408]",812.768329
2,"[405, 424]",814.175393
2,"[166, 328]",821.112746
2,"[124, 289]",829.970196
2,"[100, 284]",832.943912
2,"[100, 427]",843.977067
2,"[69, 300]",847.401438
2,"[131, 328]",849.46173
2,"[114, 427]",852.47217
2,"[221, 392]",877.921769
2,"[221, 424]",894.696781
2,"[221, 385]",896.071807
2,"[250, 321]",901.319889
2,"[135, 359]",938.852775
2,"[145, 284]",945.243841
2,"[234, 374]",1047.76713
2,"[148, 442]",1055.077545
2,"[148, 267]",1057.794276
2,"[135, 161]",1069.062147
2,"[135, 255]",1085.859045
2,"[135, 267]",1093.328937
3,"[69, 328]",615.638816
3,"[255, 263]",698.936734
3,"[221, 328]",753.252595
3,"[114, 255]",797.099637
3,"[100, 427]",843.977067
3,"[69, 300]",847.401438
3,"[131, 328]",849.46173
3,"[114, 427]",852.47217
3,"[221, 392]",877.921769
3,"[221, 424]",894.696781
3,"[221, 385]",896.071807
3,"[250, 321]",901.319889
3,"[145, 442]",905.895464
3,"[221, 255]",920.820575
3,"[221, 442]",925.435213
3,"[221, 267]",928.123179
3,"[135, 359]",938.852775
3,"[145, 284]",945.243841
3,"[392, 411]",954.893934
3,"[221, 427]",976.182807
3,"[142, 148]",990.274738
3,"[145, 321]",1030.793419
3,"[135, 392]",1042.886282
3,"[234, 374]",1047.76713
3,"[148, 442]",1055.077545
3,"[148, 267]",1057.794276
3,"[135, 161]",1069.062147
3,"[135, 255]",1085.859045
3,"[135, 267]",1093.328937
3,"[131, 321]",1145.505151
3,"[135, 159]",1486.752481
3,"[94, 392]",1512.747514
4,"[392, 431]",596.620711
4,"[392, 417]",651.286989
4,"[221, 328]",753.252595
4,"[221, 359]",773.305599
4,"[161, 273]",782.432452
4,"[267, 382]",787.596311
4,"[142, 321]",864.45444
4,"[135, 359]",938.852775
4,"[145, 284]",945.243841
4,"[234, 284]",950.217606
4,"[392, 411]",954.893934
4,"[221, 427]",976.182807
4,"[142, 148]",990.274738
4,"[135, 287]",1016.352037
4,"[131, 267]",1022.95938
4,"[145, 321]",1030.793419
4,"[135, 392]",1042.886282
4,"[234, 374]",1047.76713
4,"[148, 442]",1055.077545
4,"[148, 267]",1057.794276
4,"[135, 233]",1058.302806
4,"[135, 161]",1069.062147
4,"[135, 255]",1085.859045
4,"[135, 267]",1093.328937
4,"[131, 321]",1145.505151
4,"[14, 135]",1146.378693
4,"[148, 374]",1192.722077
4,"[131, 159]",1415.587817
4,"[135, 159]",1486.752481
4,"[94, 392]",1512.747514
4,"[94, 321]",1686.605371
4,"[94, 374]",1697.83813
5,"[161, 219]",648.826443
5,"[167, 255]",649.085255
5,"[326, 442]",671.935827
5,"[374, 422]",839.020861
5,"[14, 267]",863.048083
5,"[131, 167]",870.536381
5,"[374, 375]",875.14703
5,"[240, 321]",907.58767
5,"[148, 392]",1007.434365
5,"[135, 392]",1042.886282
5,"[234, 374]",1047.76713
5,"[148, 442]",1055.077545
5,"[148, 267]",1057.794276
5,"[135, 233]",1058.302806
5,"[135, 161]",1069.062147
5,"[267, 347]",1077.148944
5,"[135, 255]",1085.859045
5,"[135, 267]",1093.328937
5,"[3, 148]",1103.551078
5,"[131, 321]",1145.505151
5,"[14, 135]",1146.378693
5,"[135, 351]",1165.620199
5,"[148, 374]",1192.722077
5,"[159, 234]",1306.704121
5,"[135, 148]",1342.387447
5,"[131, 159]",1415.587817
5,"[135, 159]",1486.752481
5,"[94, 392]",1512.747514
5,"[94, 267]",1563.293902
5,"[94, 321]",1686.605371
5,"[94, 374]",1697.83813
5,"[94, 135]",1847.598461
6,"[14, 414]",688.415727
6,"[267, 419]",749.299722
6,"[156, 234]",759.331278
6,"[212, 321]",785.783221
6,"[77, 267]",886.856649
6,"[131, 295]",893.202777
6,"[3, 351]",926.746735
6,"[131, 341]",1012.411493
6,"[131, 267]",1022.95938
6,"[135, 147]",1032.241412
6,"[135, 392]",1042.886282
6,"[32, 135]",1085.169099
6,"[135, 255]",1085.859045
6,"[135, 267]",1093.328937
6,"[3, 148]",1103.551078
6,"[14, 148]",1111.607891
6,"[148, 345]",1124.398491
6,"[131, 321]",1145.505151
6,"[14, 135]",1146.378693
6,"[135, 351]",1165.620199
6,"[148, 374]",1192.722077
6,"[88, 159]",1216.448837
6,"[159, 234]",1306.704121
6,"[135, 148]",1342.387447
6,"[131, 159]",1415.587817
6,"[135, 159]",1486.752481
6,"[94, 392]",1512.747514
6,"[94, 267]",1563.293902
6,"[94, 321]",1686.605371
6,"[94, 374]",1697.83813
6,"[94, 135]",1847.598461
6,"[94, 159]",1956.474722
7,"[14, 59]",783.894558
7,"[272, 345]",830.239286
7,"[267, 300]",866.868652
7,"[131, 280]",889.877062
7,"[33, 321]",925.586413
7,"[135, 141]",1030.882104
7,"[135, 356]",1037.580366
7,"[92, 392]",1039.0799
7,"[159, 197]",1047.587166
7,"[135, 388]",1102.233057
7,"[148, 345]",1124.398491
7,"[131, 321]",1145.505151
7,"[14, 135]",1146.378693
7,"[135, 345]",1159.835804
7,"[148, 234]",1161.925216
7,"[135, 351]",1165.620199
7,"[148, 374]",1192.722077
7,"[88, 159]",1216.448837
7,"[159, 366]",1229.663088
7,"[159, 234]",1306.704121
7,"[135, 148]",1342.387447
7,"[131, 159]",1415.587817
7,"[135, 159]",1486.752481
7,"[94, 392]",1512.747514
7,"[94, 267]",1563.293902
7,"[94, 345]",1629.641827
7,"[94, 351]",1635.263596
7,"[94, 321]",1686.605371
7,"[94, 374]",1697.83813
7,"[283, 351]",1774.92583
7,"[94, 135]",1847.598461
7,"[94, 159]",1956.474722
