gen,filename,score
1,"[158, 225]",1.887
1,"[203, 386]",2.077
1,"[117, 328]",2.147
1,"[147, 420]",2.164
1,"[201, 386]",2.166
1,"[141, 260]",2.177
1,"[235, 325]",2.246
1,"[247, 322]",2.25
1,"[95, 419]",2.28
1,"[288, 364]",2.302
1,"[172, 412]",2.317
1,"[128, 264]",2.426
1,"[312, 355]",2.461
1,"[6, 81]",2.549
1,"[225, 275]",2.571
1,"[176, 184]",2.608
1,"[82, 350]",2.612
1,"[27, 220]",2.656
1,"[349, 394]",2.715
1,"[40, 386]",2.752
1,"[65, 287]",2.754
1,"[43, 275]",2.93
1,"[216, 287]",2.987
1,"[239, 401]",2.991
1,"[59, 89]",2.994
1,"[16, 233]",3.054
1,"[228, 422]",3.185
1,"[5, 314]",3.247
1,"[365, 430]",3.379
1,"[350, 406]",3.503
1,"[273, 399]",3.718
1,"[220, 299]",4.138
2,"[158, 225]",1.887
2,"[141, 264]",2.061
2,"[203, 386]",2.077
2,"[147, 287]",2.081
2,"[117, 328]",2.147
2,"[97, 158]",2.163
2,"[147, 420]",2.164
2,"[201, 386]",2.166
2,"[141, 260]",2.177
2,"[350, 394]",2.188
2,"[220, 386]",2.199
2,"[6, 394]",2.22
2,"[235, 325]",2.246
2,"[247, 322]",2.25
2,"[95, 419]",2.28
2,"[288, 364]",2.302
2,"[172, 412]",2.317
2,"[176, 419]",2.344
2,"[223, 239]",2.404
2,"[201, 251]",2.411
2,"[132, 287]",2.418
2,"[128, 264]",2.426
2,"[150, 322]",2.445
2,"[312, 355]",2.461
2,"[6, 81]",2.549
2,"[225, 275]",2.571
2,"[176, 184]",2.608
2,"[83, 264]",2.65
2,"[268, 399]",2.768
2,"[220, 401]",3.009
2,"[83, 260]",3.31
2,"[16, 406]",10
3,"[158, 225]",1.887
3,"[141, 264]",2.061
3,"[203, 386]",2.077
3,"[147, 287]",2.081
3,"[147, 184]",2.123
3,"[117, 328]",2.147
3,"[97, 158]",2.163
3,"[147, 420]",2.164
3,"[201, 386]",2.166
3,"[158, 322]",2.173
3,"[141, 260]",2.177
3,"[201, 322]",2.188
3,"[350, 394]",2.188
3,"[223, 394]",2.198
3,"[220, 386]",2.199
3,"[37, 239]",2.209
3,"[6, 394]",2.22
3,"[141, 184]",2.223
3,"[235, 325]",2.246
3,"[247, 322]",2.25
3,"[86, 264]",2.268
3,"[95, 419]",2.28
3,"[81, 203]",2.286
3,"[288, 364]",2.302
3,"[235, 412]",2.379
3,"[132, 176]",2.72
3,"[41, 225]",2.902
3,"[19, 260]",3.061
3,"[26, 251]",3.062
3,"[295, 401]",3.103
3,"[132, 260]",3.535
3,"[16, 283]",3.745
4,"[41, 328]",1.738
4,"[158, 225]",1.887
4,"[141, 386]",1.948
4,"[141, 264]",2.061
4,"[203, 386]",2.077
4,"[147, 287]",2.081
4,"[337, 394]",2.108
4,"[147, 184]",2.123
4,"[117, 328]",2.147
4,"[97, 158]",2.163
4,"[147, 420]",2.164
4,"[201, 386]",2.166
4,"[158, 322]",2.173
4,"[141, 260]",2.177
4,"[201, 322]",2.188
4,"[350, 394]",2.188
4,"[223, 394]",2.198
4,"[220, 386]",2.199
4,"[37, 239]",2.209
4,"[95, 328]",2.306
4,"[141, 239]",2.307
4,"[244, 260]",2.328
4,"[184, 235]",2.33
4,"[288, 292]",2.347
4,"[132, 386]",2.425
4,"[117, 260]",2.467
4,"[216, 386]",2.505
4,"[19, 176]",2.526
4,"[201, 311]",2.531
4,"[168, 184]",2.753
4,"[283, 295]",3.498
4,"[190, 325]",3.763
5,"[41, 260]",1.441
5,"[41, 328]",1.738
5,"[158, 264]",1.861
5,"[158, 225]",1.887
5,"[141, 386]",1.948
5,"[147, 188]",1.962
5,"[141, 328]",2.024
5,"[147, 386]",2.049
5,"[141, 264]",2.061
5,"[203, 386]",2.077
5,"[147, 287]",2.081
5,"[337, 394]",2.108
5,"[203, 264]",2.115
5,"[147, 184]",2.123
5,"[117, 328]",2.147
5,"[97, 158]",2.163
5,"[147, 420]",2.164
5,"[201, 386]",2.166
5,"[158, 322]",2.173
5,"[141, 260]",2.177
5,"[350, 394]",2.188
5,"[201, 322]",2.188
5,"[95, 176]",2.241
5,"[184, 386]",2.242
5,"[244, 394]",2.259
5,"[287, 360]",2.305
5,"[37, 65]",2.319
5,"[201, 325]",2.353
5,"[201, 295]",2.494
5,"[239, 330]",2.727
5,"[94, 132]",3.051
5,"[220, 295]",3.618
6,"[41, 277]",1.435
6,"[41, 260]",1.441
6,"[41, 328]",1.738
6,"[158, 264]",1.861
6,"[158, 225]",1.887
6,"[141, 386]",1.948
6,"[147, 188]",1.962
6,"[147, 330]",1.969
6,"[288, 386]",1.97
6,"[158, 328]",1.984
