gen,filename,score
1,"[216, 302]",1.427
1,"[385, 414]",1.754
1,"[22, 177]",1.891
1,"[177, 337]",2.011
1,"[57, 96]",2.014
1,"[204, 444]",2.094
1,"[118, 262]",2.196
1,"[322, 358]",2.253
1,"[146, 376]",2.26
1,"[231, 388]",2.477
1,"[76, 140]",2.497
1,"[262, 287]",2.503
1,"[125, 201]",2.517
1,"[166, 408]",2.558
1,"[129, 400]",2.726
1,"[101, 129]",2.747
1,"[55, 326]",2.76
1,"[219, 261]",2.805
1,"[321, 354]",2.808
1,"[160, 279]",2.886
1,"[19, 405]",2.915
1,"[189, 262]",2.951
1,"[164, 329]",3.075
1,"[19, 277]",3.112
1,"[240, 279]",3.169
1,"[32, 413]",3.379
1,"[81, 181]",3.423
1,"[83, 405]",3.494
1,"[133, 426]",3.692
1,"[156, 358]",3.874
1,"[11, 383]",4.46
1,"[60, 155]",4.735
2,"[28, 414]",1.223
2,"[76, 302]",1.421
2,"[216, 302]",1.427
2,"[133, 413]",1.649
2,"[385, 414]",1.754
2,"[22, 177]",1.891
2,"[177, 337]",2.011
2,"[57, 96]",2.014
2,"[204, 444]",2.094
2,"[111, 125]",2.137
2,"[204, 426]",2.172
2,"[118, 262]",2.196
2,"[322, 358]",2.253
2,"[146, 376]",2.26
2,"[231, 325]",2.335
2,"[231, 388]",2.477
2,"[76, 140]",2.497
2,"[262, 287]",2.503
2,"[125, 201]",2.517
2,"[166, 408]",2.558
2,"[32, 155]",2.561
2,"[19, 177]",2.695
2,"[19, 354]",2.709
2,"[129, 400]",2.726
2,"[101, 129]",2.747
2,"[161, 444]",2.85
2,"[240, 279]",3.169
2,"[16, 181]",3.512
2,"[9, 129]",3.604
2,"[19, 383]",3.651
2,"[133, 279]",3.871
2,"[133, 405]",4.197
3,"[28, 414]",1.223
3,"[76, 302]",1.421
3,"[216, 302]",1.427
3,"[19, 302]",1.514
3,"[133, 413]",1.649
3,"[88, 414]",1.65
3,"[111, 400]",1.744
3,"[385, 414]",1.754
3,"[22, 177]",1.891
3,"[177, 337]",2.011
3,"[57, 96]",2.014
3,"[204, 444]",2.094
3,"[111, 125]",2.137
3,"[204, 426]",2.172
3,"[118, 262]",2.196
3,"[57, 376]",2.198
3,"[322, 358]",2.253
3,"[146, 376]",2.26
3,"[76, 96]",2.263
3,"[325, 385]",2.303
3,"[231, 325]",2.335
3,"[153, 325]",2.363
3,"[231, 388]",2.477
3,"[166, 177]",2.513
3,"[140, 166]",2.573
3,"[80, 262]",2.587
3,"[129, 161]",2.588
3,"[17, 133]",2.632
3,"[358, 399]",2.737
3,"[111, 413]",2.824
3,"[129, 405]",3.095
3,"[19, 218]",3.175
4,"[22, 414]",1.12
4,"[28, 414]",1.223
4,"[302, 393]",1.299
4,"[80, 302]",1.324
4,"[302, 385]",1.353
4,"[76, 302]",1.421
4,"[216, 302]",1.427
4,"[19, 302]",1.514
4,"[133, 413]",1.649
4,"[88, 414]",1.65
4,"[111, 398]",1.739
4,"[111, 400]",1.744
4,"[385, 414]",1.754
4,"[111, 337]",1.862
4,"[22, 177]",1.891
4,"[177, 337]",2.011
4,"[57, 96]",2.014
4,"[88, 96]",2.092
4,"[204, 444]",2.094
4,"[204, 402]",2.103
4,"[111, 125]",2.137
4,"[204, 426]",2.172
4,"[118, 262]",2.196
4,"[57, 376]",2.198
4,"[22, 123]",2.255
4,"[177, 358]",2.349
4,"[19, 325]",2.549
4,"[325, 399]",2.55
4,"[161, 325]",2.556
4,"[76, 426]",2.562
4,"[129, 413]",4.467
4,"[204, 414]",10
5,"[22, 414]",1.12
5,"[28, 414]",1.223
5,"[287, 302]",1.244
5,"[302, 393]",1.299
5,"[80, 302]",1.324
5,"[302, 385]",1.353
5,"[76, 302]",1.421
5,"[216, 302]",1.427
5,"[19, 302]",1.514
5,"[204, 302]",1.518
5,"[133, 413]",1.649
5,"[88, 414]",1.65
5,"[111, 398]",1.739
5,"[111, 400]",1.744
5,"[385, 414]",1.754
5,"[111, 337]",1.862
5,"[22, 177]",1.891
5,"[88, 337]",1.938
5,"[177, 337]",2.011
5,"[163, 177]",2.026
5,"[100, 444]",2.05
5,"[22, 96]",2.146
5,"[111, 344]",2.213
5,"[96, 302]",2.5
5,"[262, 325]",2.518
5,"[161, 325]",2.556
5,"[402, 412]",2.822
5,"[177, 398]",2.841
5,"[80, 402]",2.842
5,"[76, 400]",2.846
5,"[137, 204]",3.021
5,"[204, 414]",10
6,"[22, 414]",1.12
6,"[28, 414]",1.223
6,"[262, 302]",1.233
6,"[287, 302]",1.244
6,"[80, 414]",1.267
6,"[302, 393]",1.299
6,"[80, 302]",1.324
6,"[302, 385]",1.353
6,"[302, 302]",1.387
6,"[76, 302]",1.421
6,"[216, 302]",1.427
6,"[19, 302]",1.514
6,"[204, 302]",1.518
6,"[133, 413]",1.649
6,"[88, 414]",1.65
6,"[111, 398]",1.739
6,"[111, 400]",1.744
6,"[385, 414]",1.754
6,"[111, 337]",1.862
6,"[111, 412]",1.994
6,"[337, 345]",2.167
6,"[22, 173]",2.212
6,"[80, 204]",2.242
6,"[177, 197]",2.4
6,"[177, 262]",2.49
6,"[22, 329]",2.546
