gen,filename,score
1,"[100, 427]",1.511
1,"[69, 300]",1.526
1,"[131, 328]",1.825
1,"[263, 399]",1.848
1,"[8, 431]",1.943
1,"[145, 284]",2.154
1,"[90, 257]",2.187
1,"[73, 216]",2.198
1,"[188, 287]",2.239
1,"[204, 350]",2.25
1,"[194, 392]",2.342
1,"[339, 403]",2.354
1,"[17, 132]",2.368
1,"[166, 432]",2.403
1,"[124, 289]",2.447
1,"[4, 335]",2.465
1,"[206, 339]",2.528
1,"[221, 385]",2.539
1,"[84, 168]",2.55
1,"[405, 424]",2.689
1,"[148, 267]",2.704
1,"[169, 202]",2.722
1,"[261, 393]",3.224
1,"[114, 442]",3.28
1,"[135, 161]",3.287
1,"[217, 316]",3.721
1,"[209, 255]",3.793
1,"[102, 155]",4.022
1,"[250, 255]",4.148
1,"[43, 316]",4.173
1,"[132, 341]",4.346
1,"[234, 374]",10
2,"[69, 431]",1.415
2,"[100, 427]",1.511
2,"[69, 300]",1.526
2,"[69, 166]",1.733
2,"[131, 328]",1.825
2,"[263, 399]",1.848
2,"[8, 431]",1.943
2,"[194, 257]",2.078
2,"[145, 284]",2.154
2,"[17, 202]",2.184
2,"[90, 257]",2.187
2,"[73, 216]",2.198
2,"[188, 287]",2.239
2,"[145, 257]",2.241
2,"[204, 350]",2.25
2,"[17, 168]",2.294
2,"[194, 392]",2.342
2,"[339, 403]",2.354
2,"[17, 132]",2.368
2,"[166, 432]",2.403
2,"[90, 328]",2.403
2,"[135, 432]",2.444
2,"[124, 289]",2.447
2,"[4, 335]",2.465
2,"[25, 287]",2.561
2,"[135, 403]",2.564
2,"[261, 403]",2.729
2,"[114, 161]",2.902
2,"[217, 350]",2.945
2,"[182, 405]",3.292
2,"[155, 217]",3.693
2,"[255, 396]",3.797
3,"[69, 431]",1.415
3,"[100, 427]",1.511
3,"[90, 427]",1.515
3,"[69, 300]",1.526
3,"[69, 166]",1.733
3,"[131, 328]",1.825
3,"[263, 399]",1.848
3,"[263, 300]",1.924
3,"[8, 431]",1.943
3,"[145, 403]",1.959
3,"[194, 257]",2.078
3,"[183, 403]",2.079
3,"[194, 403]",2.083
3,"[145, 284]",2.154
3,"[17, 202]",2.184
3,"[90, 257]",2.187
3,"[73, 216]",2.198
3,"[188, 287]",2.239
3,"[90, 284]",2.239
3,"[145, 257]",2.241
3,"[204, 350]",2.25
3,"[194, 300]",2.269
3,"[100, 168]",2.276
3,"[17, 168]",2.294
3,"[17, 399]",2.307
3,"[25, 431]",2.489
3,"[166, 354]",2.637
3,"[78, 90]",3.249
3,"[124, 396]",3.264
3,"[4, 132]",3.355
3,"[77, 90]",3.603
3,"[217, 339]",4.162
4,"[69, 431]",1.415
4,"[100, 427]",1.511
4,"[90, 427]",1.515
4,"[69, 300]",1.526
4,"[69, 166]",1.733
4,"[131, 328]",1.825
4,"[263, 399]",1.848
4,"[131, 284]",1.893
4,"[17, 286]",1.908
4,"[263, 300]",1.924
4,"[8, 431]",1.943
4,"[145, 403]",1.959
4,"[36, 403]",2.071
4,"[194, 257]",2.078
4,"[183, 403]",2.079
4,"[194, 403]",2.083
4,"[17, 431]",2.11
4,"[145, 284]",2.154
4,"[17, 202]",2.184
4,"[90, 257]",2.187
4,"[92, 300]",2.229
4,"[188, 350]",2.232
4,"[166, 257]",2.255
4,"[188, 257]",2.311
4,"[183, 417]",2.315
4,"[145, 399]",2.498
4,"[148, 166]",2.735
4,"[90, 339]",3.1
4,"[78, 354]",3.335
4,"[217, 399]",3.341
4,"[9, 25]",4.32
4,"[51, 399]",10
5,"[69, 431]",1.415
5,"[100, 427]",1.511
5,"[90, 427]",1.515
5,"[69, 300]",1.526
5,"[69, 427]",1.545
5,"[69, 166]",1.733
5,"[131, 328]",1.825
5,"[263, 399]",1.848
5,"[131, 284]",1.893
5,"[17, 286]",1.908
5,"[263, 300]",1.924
5,"[8, 431]",1.943
5,"[145, 403]",1.959
5,"[36, 403]",2.071
5,"[194, 257]",2.078
