gen,filename,score
1,"[87, 293]",1.398
1,"[87, 222]",1.422
1,"[95, 427]",1.503
1,"[53, 73]",1.553
1,"[111, 196]",1.875
1,"[181, 309]",2.139
1,"[158, 348]",2.235
1,"[17, 142]",2.239
1,"[195, 437]",2.244
1,"[407, 431]",2.267
1,"[75, 303]",2.28
1,"[101, 385]",2.412
1,"[64, 118]",2.415
1,"[21, 366]",2.461
1,"[320, 416]",2.49
1,"[231, 359]",2.519
1,"[197, 435]",2.539
1,"[281, 329]",2.616
1,"[15, 267]",2.623
1,"[362, 429]",2.638
1,"[412, 439]",2.76
1,"[28, 303]",2.771
1,"[44, 65]",2.784
1,"[254, 353]",2.992
1,"[302, 353]",3.092
1,"[94, 396]",3.44
1,"[38, 71]",3.55
1,"[187, 408]",3.661
1,"[25, 214]",3.896
1,"[16, 90]",3.957
1,"[249, 406]",4.199
1,"[5, 224]",10
2,"[302, 385]",1.353
2,"[87, 293]",1.398
2,"[87, 222]",1.422
2,"[95, 427]",1.503
2,"[53, 73]",1.553
2,"[111, 196]",1.875
2,"[222, 409]",2.053
2,"[181, 309]",2.139
2,"[158, 348]",2.235
2,"[17, 142]",2.239
2,"[195, 437]",2.244
2,"[407, 431]",2.267
2,"[75, 303]",2.28
2,"[95, 267]",2.404
2,"[101, 385]",2.412
2,"[64, 118]",2.415
2,"[362, 385]",2.434
2,"[21, 366]",2.461
2,"[320, 416]",2.49
2,"[231, 359]",2.519
2,"[281, 439]",2.548
2,"[2, 267]",2.602
2,"[25, 201]",2.702
2,"[55, 87]",2.818
2,"[90, 191]",2.885
2,"[65, 197]",2.897
2,"[25, 196]",3.072
2,"[87, 416]",3.144
2,"[5, 417]",3.448
2,"[16, 267]",3.822
2,"[5, 207]",3.982
2,"[5, 200]",4.159
3,"[302, 385]",1.353
3,"[87, 293]",1.398
3,"[87, 222]",1.422
3,"[87, 118]",1.465
3,"[95, 427]",1.503
3,"[53, 73]",1.553
3,"[87, 201]",1.589
3,"[25, 73]",1.846
3,"[111, 196]",1.875
3,"[222, 409]",2.053
3,"[53, 222]",2.117
3,"[181, 309]",2.139
3,"[158, 303]",2.228
3,"[158, 348]",2.235
3,"[17, 142]",2.239
3,"[195, 437]",2.244
3,"[407, 431]",2.267
3,"[75, 303]",2.28
3,"[95, 267]",2.404
3,"[101, 385]",2.412
3,"[64, 118]",2.415
3,"[362, 385]",2.434
3,"[5, 288]",2.442
3,"[250, 385]",2.547
3,"[64, 196]",2.801
3,"[64, 267]",3.003
3,"[87, 416]",3.144
3,"[133, 231]",3.333
3,"[65, 200]",3.36
3,"[55, 207]",3.857
3,"[16, 359]",3.926
3,"[5, 416]",10
4,"[302, 385]",1.353
4,"[302, 348]",1.389
4,"[87, 293]",1.398
4,"[87, 222]",1.422
4,"[87, 118]",1.465
4,"[87, 427]",1.465
4,"[95, 427]",1.503
4,"[53, 73]",1.553
4,"[87, 201]",1.589
4,"[111, 427]",1.677
4,"[25, 73]",1.846
4,"[111, 196]",1.875
4,"[111, 231]",1.951
