gen,filename,score
1,"[111, 196]",449.847901
1,"[197, 435]",568.858229
1,"[320, 416]",576.47079
1,"[53, 73]",579.473841
1,"[44, 65]",583.8099
1,"[25, 214]",588.354652
1,"[407, 431]",590.213502
1,"[16, 90]",638.021663
1,"[412, 439]",643.034265
1,"[101, 385]",644.99247
1,"[181, 309]",652.690095
1,"[281, 329]",658.741937
1,"[5, 224]",665.146788
1,"[231, 359]",667.255154
1,"[21, 366]",667.659239
1,"[87, 293]",675.669772
1,"[362, 429]",676.275884
1,"[187, 408]",681.825165
1,"[17, 142]",709.293861
1,"[195, 437]",802.845839
1,"[95, 427]",835.091428
1,"[302, 353]",839.333041
1,"[87, 222]",849.812058
1,"[15, 267]",852.11836
1,"[28, 303]",860.335947
1,"[38, 71]",873.25014
1,"[158, 348]",903.857499
1,"[64, 118]",919.900809
1,"[254, 353]",961.811474
1,"[75, 303]",1024.118339
1,"[249, 406]",1037.366693
1,"[94, 396]",1479.091861
2,"[21, 329]",426.167721
2,"[2, 359]",494.677736
2,"[111, 417]",517.076262
2,"[191, 416]",581.888395
2,"[111, 207]",636.38696
2,"[111, 200]",645.361185
2,"[362, 429]",676.275884
2,"[187, 408]",681.825165
2,"[17, 142]",709.293861
2,"[320, 359]",715.551598
2,"[53, 201]",724.388396
2,"[87, 385]",735.259542
2,"[53, 118]",748.234775
2,"[195, 437]",802.845839
2,"[16, 427]",813.875747
2,"[406, 409]",823.790528
2,"[95, 427]",835.091428
2,"[75, 359]",835.112192
2,"[302, 353]",839.333041
2,"[87, 222]",849.812058
2,"[15, 267]",852.11836
2,"[28, 303]",860.335947
2,"[5, 427]",868.414418
2,"[38, 71]",873.25014
2,"[158, 348]",903.857499
2,"[55, 249]",915.310909
2,"[64, 118]",919.900809
2,"[254, 353]",961.811474
2,"[249, 408]",1002.702516
2,"[75, 303]",1024.118339
2,"[249, 406]",1037.366693
2,"[94, 396]",1479.091861
3,"[111, 359]",468.575528
3,"[329, 362]",510.030233
3,"[111, 437]",583.397356
3,"[53, 133]",606.307319
3,"[17, 359]",622.061814
3,"[2, 207]",661.805764
3,"[111, 118]",674.456326
3,"[250, 396]",694.183712
3,"[396, 406]",763.579652
3,"[111, 353]",784.52204
3,"[95, 201]",814.32659
3,"[254, 303]",835.015061
3,"[95, 427]",835.091428
3,"[75, 359]",835.112192
3,"[95, 118]",837.918739
3,"[302, 353]",839.333041
3,"[87, 222]",849.812058
3,"[15, 267]",852.11836
3,"[28, 303]",860.335947
3,"[5, 427]",868.414418
3,"[38, 71]",873.25014
3,"[158, 348]",903.857499
3,"[55, 249]",915.310909
3,"[64, 118]",919.900809
3,"[254, 353]",961.811474
3,"[249, 408]",1002.702516
3,"[191, 288]",1010.31642
3,"[75, 303]",1024.118339
3,"[249, 406]",1037.366693
3,"[249, 427]",1046.610315
3,"[38, 222]",1109.092003
3,"[94, 396]",1479.091861
4,"[111, 359]",468.575528
4,"[53, 359]",542.059494
4,"[111, 427]",671.716264
4,"[111, 164]",699.951042
4,"[64, 359]",714.32079
4,"[348, 431]",777.408402
4,"[95, 267]",786.945083
4,"[250, 427]",825.97769
4,"[87, 222]",849.812058
4,"[15, 267]",852.11836
4,"[28, 303]",860.335947
4,"[5, 427]",868.414418
4,"[38, 71]",873.25014
4,"[64, 303]",903.39799
4,"[158, 348]",903.857499
4,"[55, 249]",915.310909
