gen,filename,score
1,"[188, 287]",-0.0766855720543143
1,"[261, 393]",-0.0320753045116908
1,"[339, 403]",0.08789708044703819
1,"[8, 431]",0.3646151037955747
1,"[204, 350]",0.6741656851790441
1,"[124, 289]",0.720819749142222
1,"[169, 202]",0.7716598933878954
1,"[166, 432]",0.9006225165702635
1,"[135, 161]",0.9069473240472942
1,"[114, 442]",0.9933430035257298
1,"[90, 257]",1.0119688306706554
1,"[132, 341]",1.0564135444034353
1,"[263, 399]",1.1310786482361068
1,"[145, 284]",1.134273153009831
1,"[102, 155]",1.2437254566723033
1,"[4, 335]",1.2661401692036411
1,"[405, 424]",1.2741252881365617
1,"[206, 339]",1.2883694459274697
1,"[131, 328]",1.4020164448050105
1,"[17, 132]",1.511495415885852
1,"[69, 300]",1.5947097064572118
1,"[100, 427]",1.781612801731718
1,"[217, 316]",2.365203758719137
1,"[221, 385]",2.7703803477411264
1,"[43, 316]",2.7910301469977097
1,"[73, 216]",2.814176161846067
1,"[234, 374]",3.499489736710216
1,"[209, 255]",3.6110365652530327
1,"[84, 168]",3.7377645998347107
1,"[250, 255]",7.037526783905201
1,"[194, 392]",7.6082685563513355
1,"[148, 267]",50.832140200246464
2,"[166, 261]",-0.1882806277209498
2,"[261, 350]",-0.10289874077135747
2,"[188, 287]",-0.0766855720543143
2,"[261, 393]",-0.0320753045116908
2,"[339, 403]",0.08789708044703819
2,"[8, 431]",0.3646151037955747
2,"[25, 161]",0.5139362759515609
2,"[169, 403]",0.5149671269675462
2,"[263, 328]",0.6154109486867971
2,"[204, 350]",0.6741656851790441
2,"[124, 289]",0.720819749142222
2,"[263, 427]",0.7564181401872339
2,"[169, 202]",0.7716598933878954
2,"[166, 432]",0.9006225165702635
2,"[135, 161]",0.9069473240472942
2,"[114, 442]",0.9933430035257298
2,"[90, 257]",1.0119688306706554
2,"[90, 202]",1.0393469121593983
2,"[132, 341]",1.0564135444034353
2,"[73, 350]",1.0962244042433322
2,"[263, 399]",1.1310786482361068
2,"[145, 284]",1.134273153009831
2,"[17, 182]",1.1693844720537987
2,"[102, 155]",1.2437254566723033
2,"[4, 335]",1.2661401692036411
2,"[217, 341]",1.5202361008814378
2,"[43, 341]",1.808349159833538
2,"[43, 284]",1.853385725777181
2,"[124, 202]",2.4551582640589995
2,"[168, 396]",6.700783138360795
2,"[73, 255]",8.156958893957984
2,"[221, 316]",12.376778951520095
3,"[166, 261]",-0.1882806277209498
3,"[261, 350]",-0.10289874077135747
3,"[188, 287]",-0.0766855720543143
3,"[73, 354]",-0.04237429193451818
3,"[261, 393]",-0.0320753045116908
3,"[339, 403]",0.08789708044703819
3,"[261, 442]",0.15549886992586037
3,"[263, 350]",0.19078885275404203
3,"[8, 431]",0.3646151037955747
3,"[4, 161]",0.5039776621697574
3,"[25, 161]",0.5139362759515609
3,"[169, 403]",0.5149671269675462
3,"[8, 287]",0.5173637793228436
3,"[263, 328]",0.6154109486867971
3,"[114, 431]",0.6567918151750841
3,"[204, 350]",0.6741656851790441
3,"[169, 287]",0.6743191467770044
3,"[263, 341]",0.6931591311813373
3,"[183, 341]",0.6960804791922942
3,"[124, 289]",0.720819749142222
3,"[263, 427]",0.7564181401872339
3,"[169, 202]",0.7716598933878954
3,"[166, 432]",0.9006225165702635
3,"[135, 161]",0.9069473240472942
3,"[114, 442]",0.9933430035257298
3,"[161, 204]",1.309332407814752
3,"[102, 341]",1.5946809449028598
3,"[17, 316]",1.6363228103646694
3,"[90, 255]",3.490830507234648
3,"[78, 124]",4.583791098816593
3,"[124, 328]",6.413734543978837
3,"[77, 124]",39.625773135488856
4,"[166, 261]",-0.1882806277209498
4,"[9, 261]",-0.14656504241537505
4,"[261, 403]",-0.14228056106555456
4,"[261, 350]",-0.10289874077135747
4,"[188, 287]",-0.0766855720543143
4,"[73, 354]",-0.04237429193451818
4,"[261, 393]",-0.0320753045116908
4,"[339, 403]",0.08789708044703819
4,"[261, 442]",0.15549886992586037
4,"[36, 427]",0.18326462222315534
4,"[263, 350]",0.19078885275404203
4,"[114, 403]",0.3349918763376314
4,"[8, 431]",0.3646151037955747
4,"[287, 339]",0.3685818032806155
4,"[78, 261]",0.47509446882875506
4,"[4, 161]",0.5039776621697574
4,"[25, 161]",0.5139362759515609
4,"[169, 403]",0.5149671269675462
4,"[8, 287]",0.5173637793228436
4,"[161, 263]",0.578461295262891
4,"[263, 417]",0.5794457201934466
