gen,filename,score
1,"[158, 225]",1.887
1,"[203, 386]",2.077
1,"[117, 328]",2.147
1,"[147, 420]",2.164
1,"[201, 386]",2.166
1,"[141, 260]",2.177
1,"[235, 325]",2.246
1,"[247, 322]",2.25
1,"[95, 419]",2.28
1,"[288, 364]",2.302
1,"[172, 412]",2.317
1,"[128, 264]",2.426
1,"[312, 355]",2.461
1,"[6, 81]",2.549
1,"[225, 275]",2.571
1,"[176, 184]",2.608
1,"[82, 350]",2.612
1,"[27, 220]",2.656
1,"[349, 394]",2.715
1,"[40, 386]",2.752
1,"[65, 287]",2.754
1,"[43, 275]",2.93
1,"[216, 287]",2.987
1,"[239, 401]",2.991
1,"[59, 89]",2.994
1,"[16, 233]",3.054
1,"[228, 422]",3.185
1,"[5, 314]",3.247
1,"[365, 430]",3.379
1,"[350, 406]",3.503
1,"[273, 399]",3.718
1,"[220, 299]",4.138
2,"[27, 233]",1.44
2,"[158, 225]",1.887
2,"[288, 386]",1.97
2,"[203, 386]",2.077
2,"[117, 328]",2.147
2,"[147, 420]",2.164
2,"[201, 386]",2.166
2,"[141, 260]",2.177
2,"[176, 223]",2.184
2,"[268, 314]",2.229
2,"[235, 325]",2.246
2,"[247, 322]",2.25
2,"[59, 420]",2.251
2,"[95, 419]",2.28
2,"[288, 364]",2.302
2,"[235, 328]",2.314
2,"[172, 412]",2.317
2,"[128, 264]",2.426
2,"[220, 275]",2.426
2,"[83, 386]",2.436
2,"[312, 355]",2.461
2,"[6, 81]",2.549
2,"[225, 275]",2.571
2,"[220, 364]",2.594
2,"[176, 184]",2.608
2,"[83, 264]",2.65
2,"[40, 264]",2.673
2,"[81, 132]",2.729
2,"[150, 350]",2.813
2,"[97, 350]",3.013
2,"[43, 251]",3.081
2,"[16, 364]",3.917
3,"[27, 41]",0.072
3,"[27, 355]",0.864
3,"[27, 233]",1.44
3,"[158, 225]",1.887
3,"[288, 386]",1.97
3,"[117, 322]",1.974
3,"[158, 275]",2.034
3,"[203, 386]",2.077
3,"[117, 328]",2.147
3,"[203, 260]",2.156
3,"[147, 420]",2.164
3,"[201, 386]",2.166
3,"[141, 260]",2.177
3,"[176, 223]",2.184
3,"[268, 314]",2.229
3,"[172, 233]",2.239
3,"[235, 325]",2.246
3,"[247, 322]",2.25
3,"[59, 420]",2.251
3,"[95, 419]",2.28
3,"[288, 364]",2.302
3,"[235, 328]",2.314
3,"[43, 386]",2.484
3,"[132, 312]",2.492
3,"[86, 132]",2.585
3,"[37, 314]",2.66
3,"[264, 295]",2.766
3,"[132, 247]",2.784
3,"[19, 412]",2.808
3,"[81, 83]",2.889
3,"[26, 328]",2.987
3,"[43, 283]",10
4,"[27, 41]",0.072
4,"[27, 355]",0.864
4,"[27, 311]",0.977
4,"[27, 57]",1.079
4,"[27, 240]",1.215
4,"[27, 233]",1.44
4,"[41, 201]",1.623
4,"[27, 223]",1.65
4,"[41, 158]",1.68
4,"[27, 419]",1.818
4,"[41, 203]",1.887
4,"[158, 225]",1.887
4,"[288, 386]",1.97
4,"[117, 322]",1.974
4,"[158, 328]",1.984
4,"[158, 275]",2.034
4,"[203, 386]",2.077
4,"[141, 223]",2.077
4,"[117, 328]",2.147
4,"[203, 260]",2.156
4,"[147, 420]",2.164
4,"[201, 386]",2.166
4,"[141, 260]",2.177
4,"[176, 223]",2.184
4,"[268, 314]",2.229
4,"[176, 386]",2.23
4,"[172, 233]",2.239
4,"[95, 247]",2.375
4,"[37, 41]",2.525
4,"[203, 225]",2.842
4,"[41, 184]",2.955
4,"[97, 355]",3.368
5,"[27, 41]",0.072
5,"[2, 27]",0.837
5,"[27, 355]",0.864
5,"[27, 311]",0.977
5,"[27, 188]",1.048
5,"[27, 57]",1.079
5,"[27, 184]",1.172
5,"[27, 240]",1.215
5,"[27, 233]",1.44
5,"[27, 275]",1.469
5,"[41, 147]",1.601
5,"[41, 201]",1.623
5,"[27, 223]",1.65
5,"[41, 158]",1.68
5,"[27, 274]",1.761
5,"[27, 386]",1.787
5,"[27, 419]",1.818
5,"[41, 95]",1.848
5,"[41, 203]",1.887
5,"[158, 225]",1.887
5,"[27, 260]",1.937
5,"[288, 386]",1.97
5,"[117, 322]",1.974
5,"[158, 328]",1.984
5,"[158, 275]",2.034
5,"[386, 442]",2.094
5,"[27, 247]",2.154
5,"[57, 117]",2.165
5,"[243, 419]",2.174
5,"[203, 360]",2.219
5,"[27, 94]",2.82
5,"[51, 419]",10
6,"[27, 41]",0.072
6,"[2, 27]",0.837
6,"[27, 355]",0.864
6,"[27, 425]",0.943
6,"[27, 311]",0.977
6,"[27, 277]",1.006
6,"[27, 188]",1.048
6,"[27, 57]",1.079
6,"[27, 184]",1.172
6,"[27, 240]",1.215
