gen,filename,score
1,"[373, 414]",1.503
1,"[195, 318]",2.06
1,"[141, 403]",2.068
1,"[52, 71]",2.145
1,"[79, 107]",2.152
1,"[171, 325]",2.184
1,"[83, 147]",2.31
1,"[86, 92]",2.383
1,"[53, 231]",2.417
1,"[314, 439]",2.421
1,"[81, 244]",2.464
1,"[319, 418]",2.485
1,"[279, 409]",2.565
1,"[168, 272]",2.763
1,"[62, 75]",2.793
1,"[181, 394]",2.84
1,"[28, 442]",2.86
1,"[23, 354]",2.927
1,"[239, 433]",3.055
1,"[32, 109]",3.15
1,"[59, 159]",3.336
1,"[349, 393]",3.374
1,"[137, 418]",3.379
1,"[76, 249]",3.488
1,"[42, 261]",3.498
1,"[25, 311]",3.515
1,"[278, 291]",3.545
1,"[23, 152]",3.674
1,"[273, 396]",3.679
1,"[133, 357]",3.832
1,"[261, 436]",3.942
1,"[42, 51]",4.602
2,"[373, 414]",1.503
2,"[137, 291]",1.775
2,"[62, 409]",2.053
2,"[195, 318]",2.06
2,"[141, 403]",2.068
2,"[52, 71]",2.145
2,"[79, 231]",2.149
2,"[79, 107]",2.152
2,"[171, 439]",2.177
2,"[171, 325]",2.184
2,"[171, 396]",2.307
2,"[83, 147]",2.31
2,"[315, 354]",2.323
2,"[86, 92]",2.383
2,"[53, 231]",2.417
2,"[314, 439]",2.421
2,"[83, 386]",2.436
2,"[81, 244]",2.464
2,"[319, 418]",2.485
2,"[279, 409]",2.565
2,"[239, 287]",2.631
2,"[159, 181]",2.74
2,"[168, 272]",2.763
2,"[62, 75]",2.793
2,"[181, 394]",2.84
2,"[98, 418]",2.854
2,"[278, 353]",2.99
2,"[97, 231]",2.994
2,"[133, 215]",3.04
2,"[107, 434]",3.053
2,"[1, 396]",3.427
2,"[273, 393]",3.509
3,"[373, 414]",1.503
3,"[137, 291]",1.775
3,"[97, 409]",2.029
3,"[62, 409]",2.053
3,"[195, 318]",2.06
3,"[141, 403]",2.068
3,"[122, 231]",2.105
3,"[79, 147]",2.122
3,"[52, 71]",2.145
3,"[79, 231]",2.149
3,"[79, 107]",2.152
3,"[171, 439]",2.177
3,"[171, 325]",2.184
3,"[171, 215]",2.19
3,"[319, 386]",2.192
3,"[75, 79]",2.235
3,"[171, 396]",2.307
3,"[83, 147]",2.31
3,"[79, 396]",2.318
3,"[92, 366]",2.319
3,"[315, 354]",2.323
3,"[1, 244]",2.345
3,"[86, 92]",2.383
3,"[53, 231]",2.417
3,"[195, 418]",2.417
3,"[314, 439]",2.421
3,"[291, 386]",2.45
3,"[137, 147]",2.578
3,"[77, 403]",2.867
3,"[98, 396]",3.303
3,"[181, 299]",3.567
3,"[141, 414]",10
4,"[137, 414]",1.3
4,"[373, 414]",1.503
4,"[137, 291]",1.775
4,"[79, 414]",1.962
4,"[52, 409]",1.974
4,"[97, 409]",2.029
4,"[62, 409]",2.053
4,"[195, 318]",2.06
4,"[141, 403]",2.068
4,"[52, 386]",2.09
4,"[122, 231]",2.105
4,"[79, 147]",2.122
4,"[79, 354]",2.142
4,"[52, 71]",2.145
4,"[79, 231]",2.149
4,"[79, 107]",2.152
4,"[171, 439]",2.177
4,"[171, 325]",2.184
4,"[171, 215]",2.19
4,"[319, 386]",2.192
4,"[231, 431]",2.217
4,"[75, 79]",2.235
4,"[79, 372]",2.423
4,"[3, 354]",2.456
4,"[1, 231]",2.561
4,"[291, 418]",2.756
4,"[231, 252]",2.803
4,"[231, 291]",2.824
4,"[62, 396]",3.044
4,"[107, 369]",3.061
4,"[366, 413]",4.576
4,"[107, 425]",10
5,"[352, 414]",0.327
5,"[137, 414]",1.3
5,"[373, 414]",1.503
5,"[137, 291]",1.775
5,"[95, 414]",1.952
5,"[79, 414]",1.962
5,"[52, 409]",1.974
5,"[122, 318]",1.993
5,"[143, 373]",2.017
5,"[97, 409]",2.029
5,"[62, 409]",2.053
5,"[195, 318]",2.06
5,"[79, 285]",2.062
5,"[141, 403]",2.068
5,"[52, 386]",2.09
5,"[131, 231]",2.095
5,"[122, 231]",2.105
5,"[146, 171]",2.116
5,"[79, 147]",2.122
5,"[79, 354]",2.142
5,"[52, 71]",2.145
5,"[79, 231]",2.149
5,"[79, 107]",2.152
5,"[52, 201]",2.153
5,"[171, 233]",2.173
5,"[62, 403]",2.192
5,"[79, 334]",2.283
5,"[152, 171]",2.451
5,"[1, 439]",2.589
5,"[112, 325]",2.648
5,"[71, 366]",3.167
5,"[3, 412]",3.33
6,"[352, 414]",0.327
6,"[137, 414]",1.3
6,"[231, 352]",1.302
6,"[51, 414]",1.406
6,"[233, 352]",1.487
6,"[373, 414]",1.503
6,"[287, 414]",1.608
6,"[137, 291]",1.775
6,"[352, 409]",1.835
6,"[122, 409]",1.898
6,"[95, 414]",1.952
6,"[79, 414]",1.962
6,"[52, 409]",1.974
6,"[122, 318]",1.993
6,"[143, 373]",2.017
6,"[97, 409]",2.029
6,"[62, 409]",2.053
6,"[195, 318]",2.06
6,"[79, 285]",2.062
6,"[141, 403]",2.068
6,"[52, 386]",2.09
6,"[131, 231]",2.095
6,"[52, 233]",2.18
6,"[79, 318]",2.21
6,"[62, 318]",2.244
6,"[79, 268]",2.254
6,"[83, 147]",2.31
6,"[171, 291]",2.347
6,"[40, 352]",2.653
6,"[71, 95]",2.837
6,"[71, 383]",3.528
6,"[141, 414]",10
7,"[352, 414]",0.327
7,"[82, 414]",1.278
7,"[137, 414]",1.3
7,"[231, 352]",1.302
7,"[51, 414]",1.406
7,"[182, 414]",1.417
7,"[233, 352]",1.487
7,"[373, 414]",1.503
7,"[140, 414]",1.586
7,"[287, 414]",1.608
7,"[137, 291]",1.775
