gen,filename,score
1,"[87, 293]",1.398
1,"[87, 222]",1.422
1,"[95, 427]",1.503
1,"[53, 73]",1.553
1,"[111, 196]",1.875
1,"[181, 309]",2.139
1,"[158, 348]",2.235
1,"[17, 142]",2.239
1,"[195, 437]",2.244
1,"[407, 431]",2.267
1,"[75, 303]",2.28
1,"[101, 385]",2.412
1,"[64, 118]",2.415
1,"[21, 366]",2.461
1,"[320, 416]",2.49
1,"[231, 359]",2.519
1,"[197, 435]",2.539
1,"[281, 329]",2.616
1,"[15, 267]",2.623
1,"[362, 429]",2.638
1,"[412, 439]",2.76
1,"[28, 303]",2.771
1,"[44, 65]",2.784
1,"[254, 353]",2.992
1,"[302, 353]",3.092
1,"[94, 396]",3.44
1,"[38, 71]",3.55
1,"[187, 408]",3.661
1,"[25, 214]",3.896
1,"[16, 90]",3.957
1,"[249, 406]",4.199
1,"[5, 224]",10
2,"[87, 293]",1.398
2,"[87, 222]",1.422
2,"[95, 427]",1.503
2,"[53, 73]",1.553
2,"[111, 427]",1.677
2,"[73, 302]",1.833
2,"[111, 222]",1.849
2,"[111, 196]",1.875
2,"[408, 409]",1.949
2,"[181, 309]",2.139
2,"[53, 303]",2.196
2,"[158, 348]",2.235
2,"[17, 142]",2.239
2,"[195, 437]",2.244
2,"[407, 431]",2.267
2,"[75, 303]",2.28
2,"[44, 201]",2.372
2,"[101, 385]",2.412
2,"[64, 118]",2.415
2,"[2, 142]",2.452
2,"[21, 366]",2.461
2,"[87, 431]",2.483
2,"[320, 416]",2.49
2,"[231, 359]",2.519
2,"[94, 142]",2.836
2,"[191, 353]",2.879
2,"[249, 417]",2.926
2,"[28, 293]",2.944
2,"[25, 55]",3.712
2,"[38, 348]",3.792
2,"[25, 200]",3.812
2,"[16, 207]",4.124
3,"[87, 293]",1.398
3,"[87, 222]",1.422
3,"[87, 427]",1.465
3,"[95, 427]",1.503
3,"[53, 73]",1.553
3,"[87, 142]",1.561
3,"[111, 427]",1.677
3,"[73, 302]",1.833
3,"[25, 73]",1.846
3,"[111, 222]",1.849
3,"[111, 196]",1.875
3,"[408, 409]",1.949
3,"[111, 293]",2.097
3,"[181, 309]",2.139
3,"[73, 87]",2.193
3,"[53, 303]",2.196
3,"[158, 348]",2.235
3,"[17, 142]",2.239
3,"[195, 437]",2.244
3,"[407, 431]",2.267
3,"[231, 288]",2.268
3,"[75, 303]",2.28
3,"[25, 222]",2.387
3,"[73, 207]",2.55
3,"[407, 437]",2.584
3,"[28, 431]",2.632
3,"[87, 366]",2.742
3,"[44, 348]",2.935
3,"[250, 348]",3.155
3,"[53, 133]",3.297
3,"[94, 309]",3.646
3,"[16, 409]",4.153
4,"[87, 293]",1.398
4,"[87, 222]",1.422
4,"[87, 427]",1.465
4,"[95, 427]",1.503
4,"[427, 431]",1.534
4,"[53, 73]",1.553
4,"[87, 142]",1.561
4,"[111, 427]",1.677
4,"[73, 303]",1.783
4,"[73, 302]",1.833
4,"[25, 73]",1.846
4,"[111, 222]",1.849
4,"[111, 196]",1.875
