gen,filename,score
1,"[171, 365]",1.555
1,"[123, 428]",1.912
1,"[221, 398]",2.082
1,"[376, 421]",2.103
1,"[45, 274]",2.121
1,"[36, 229]",2.137
1,"[58, 215]",2.176
1,"[79, 303]",2.206
1,"[89, 298]",2.248
1,"[107, 204]",2.249
1,"[61, 423]",2.327
1,"[244, 362]",2.458
1,"[71, 125]",2.505
1,"[86, 251]",2.514
1,"[105, 243]",2.633
1,"[62, 86]",2.672
1,"[7, 324]",2.963
1,"[101, 334]",2.978
1,"[208, 238]",3.034
1,"[35, 125]",3.05
1,"[40, 41]",3.057
1,"[78, 82]",3.077
1,"[135, 177]",3.191
1,"[177, 309]",3.318
1,"[280, 321]",3.379
1,"[310, 429]",3.898
1,"[260, 344]",3.941
1,"[66, 305]",3.971
1,"[48, 310]",4.212
1,"[93, 241]",4.336
1,"[67, 383]",4.383
1,"[294, 307]",10
2,"[48, 125]",0.834
2,"[31, 215]",0.926
2,"[41, 310]",1.378
2,"[237, 303]",1.489
2,"[171, 365]",1.555
2,"[125, 354]",1.587
2,"[123, 428]",1.912
2,"[221, 398]",2.082
2,"[376, 421]",2.103
2,"[45, 274]",2.121
2,"[36, 229]",2.137
2,"[105, 274]",2.146
2,"[58, 215]",2.176
2,"[171, 193]",2.184
2,"[171, 251]",2.202
2,"[79, 303]",2.206
2,"[89, 298]",2.248
2,"[107, 204]",2.249
2,"[61, 423]",2.327
2,"[244, 362]",2.458
2,"[71, 125]",2.505
2,"[86, 251]",2.514
2,"[105, 243]",2.633
2,"[86, 238]",2.667
2,"[62, 86]",2.672
2,"[105, 177]",2.739
2,"[89, 429]",2.809
2,"[244, 309]",2.84
2,"[208, 307]",2.912
2,"[78, 125]",2.923
2,"[135, 428]",3.14
2,"[66, 204]",3.24
3,"[48, 125]",0.834
3,"[31, 215]",0.926
3,"[41, 310]",1.378
3,"[237, 423]",1.482
3,"[237, 303]",1.489
3,"[171, 365]",1.555
3,"[125, 354]",1.587
3,"[41, 274]",1.794
3,"[123, 428]",1.912
3,"[36, 421]",1.98
3,"[221, 398]",2.082
3,"[376, 421]",2.103
3,"[45, 274]",2.121
3,"[36, 229]",2.137
3,"[45, 243]",2.138
3,"[105, 274]",2.146
3,"[184, 274]",2.146
3,"[171, 391]",2.154
3,"[125, 132]",2.164
3,"[58, 215]",2.176
3,"[171, 193]",2.184
3,"[171, 251]",2.202
3,"[79, 303]",2.206
3,"[41, 125]",2.249
3,"[61, 303]",2.291
3,"[221, 303]",2.391
3,"[125, 238]",2.515
3,"[105, 243]",2.633
3,"[79, 383]",2.654
3,"[215, 221]",2.662
3,"[365, 387]",2.97
3,"[48, 127]",3.058
4,"[48, 125]",0.834
4,"[31, 215]",0.926
4,"[41, 387]",1.257
4,"[36, 125]",1.32
4,"[41, 310]",1.378
4,"[125, 274]",1.389
4,"[237, 423]",1.482
4,"[237, 303]",1.489
4,"[171, 365]",1.555
4,"[125, 354]",1.587
4,"[41, 215]",1.693
4,"[41, 274]",1.794
4,"[41, 423]",1.884
4,"[123, 428]",1.912
4,"[10, 376]",1.919
4,"[36, 421]",1.98
4,"[221, 315]",1.993
4,"[215, 421]",2.07
4,"[221, 398]",2.082
4,"[376, 421]",2.103
4,"[58, 229]",2.117
4,"[45, 274]",2.121
4,"[36, 229]",2.137
4,"[45, 243]",2.138
4,"[105, 274]",2.146
4,"[171, 215]",2.19
4,"[58, 125]",2.258
4,"[125, 215]",2.285
4,"[193, 260]",2.342
4,"[237, 256]",3.326
4,"[48, 193]",3.851
4,"[303, 341]",4.82
5,"[31, 421]",0.795
5,"[48, 125]",0.834
5,"[31, 215]",0.926
5,"[41, 387]",1.257
5,"[36, 125]",1.32
5,"[31, 260]",1.359
5,"[41, 310]",1.378
5,"[125, 274]",1.389
5,"[237, 423]",1.482
5,"[237, 303]",1.489
5,"[171, 365]",1.555
5,"[125, 354]",1.587
5,"[41, 215]",1.693
5,"[41, 274]",1.794
5,"[41, 423]",1.884
5,"[41, 308]",1.886
5,"[123, 428]",1.912
5,"[10, 376]",1.919
5,"[36, 421]",1.98
5,"[125, 171]",2.014
5,"[260, 376]",2.055
5,"[58, 229]",2.117
5,"[36, 229]",2.137
5,"[172, 274]",2.154
5,"[125, 322]",2.165
5,"[45, 421]",2.173
5,"[41, 125]",2.249
5,"[58, 125]",2.258
5,"[215, 404]",2.362
5,"[45, 125]",2.372
5,"[354, 433]",2.503
5,"[237, 353]",2.895
6,"[31, 421]",0.795
6,"[48, 125]",0.834
6,"[31, 215]",0.926
6,"[31, 387]",1.012
6,"[41, 387]",1.257
6,"[36, 125]",1.32
6,"[31, 260]",1.359
6,"[31, 125]",1.376
6,"[41, 310]",1.378
6,"[125, 274]",1.389
6,"[237, 428]",1.472
6,"[237, 423]",1.482
6,"[237, 404]",1.482
6,"[237, 303]",1.489
6,"[171, 365]",1.555
6,"[125, 354]",1.587
6,"[237, 421]",1.617
6,"[41, 215]",1.693
6,"[41, 274]",1.794
6,"[41, 423]",1.884
6,"[41, 308]",1.886
6,"[41, 223]",1.95
6,"[171, 215]",2.19
6,"[219, 308]",2.197
6,"[10, 108]",2.439
6,"[169, 274]",2.44
6,"[74, 125]",2.596
6,"[48, 176]",2.713
6,"[48, 274]",2.738
6,"[237, 353]",2.895
