gen,filename,score
1,"[228, 422]",558.022979
1,"[65, 287]",564.271989
1,"[176, 184]",570.836072
1,"[239, 401]",573.870519
1,"[158, 225]",589.481022
1,"[365, 430]",626.364034
1,"[216, 287]",652.318961
1,"[273, 399]",653.403917
1,"[235, 325]",673.201062
1,"[59, 89]",676.414163
1,"[225, 275]",683.777876
1,"[312, 355]",687.204825
1,"[117, 328]",710.267297
1,"[40, 386]",715.145655
1,"[247, 322]",719.560388
1,"[128, 264]",719.86243
1,"[95, 419]",726.651171
1,"[16, 233]",730.895734
1,"[172, 412]",749.693992
1,"[220, 299]",764.866691
1,"[350, 406]",783.508791
1,"[147, 420]",787.218054
1,"[203, 386]",794.411597
1,"[201, 386]",852.393204
1,"[82, 350]",862.316268
1,"[27, 220]",867.429677
1,"[6, 81]",886.358329
1,"[43, 275]",889.978897
1,"[288, 364]",921.284696
1,"[349, 394]",941.205024
1,"[5, 314]",965.182992
1,"[141, 260]",1079.717905
2,"[65, 97]",472.335527
2,"[225, 268]",505.143367
2,"[83, 328]",548.608045
2,"[228, 233]",627.594007
2,"[132, 412]",665.154892
2,"[228, 386]",678.206203
2,"[247, 287]",678.730668
2,"[59, 251]",686.466831
2,"[95, 419]",726.651171
2,"[16, 233]",730.895734
2,"[216, 386]",744.701825
2,"[172, 412]",749.693992
2,"[95, 223]",752.543109
2,"[83, 406]",762.258717
2,"[220, 299]",764.866691
2,"[150, 264]",772.010094
2,"[273, 364]",779.081869
2,"[350, 406]",783.508791
2,"[147, 420]",787.218054
2,"[203, 386]",794.411597
2,"[203, 275]",838.274421
2,"[201, 386]",852.393204
2,"[82, 350]",862.316268
2,"[27, 220]",867.429677
2,"[6, 81]",886.358329
2,"[43, 275]",889.978897
2,"[288, 364]",921.284696
2,"[117, 406]",923.417064
2,"[349, 394]",941.205024
2,"[5, 314]",965.182992
2,"[27, 314]",1010.84927
2,"[141, 260]",1079.717905
3,"[41, 141]",572.259241
3,"[86, 412]",593.699779
3,"[287, 295]",603.128406
3,"[132, 172]",636.083713
3,"[19, 264]",652.503715
3,"[141, 412]",731.398647
3,"[37, 350]",754.757804
3,"[225, 314]",770.302297
3,"[273, 364]",779.081869
3,"[350, 406]",783.508791
3,"[147, 420]",787.218054
3,"[203, 386]",794.411597
3,"[81, 247]",809.276307
3,"[27, 233]",830.692652
3,"[203, 275]",838.274421
3,"[26, 406]",840.002074
3,"[201, 386]",852.393204
3,"[82, 350]",862.316268
3,"[27, 220]",867.429677
3,"[6, 81]",886.358329
3,"[43, 275]",889.978897
3,"[275, 349]",895.657897
3,"[288, 364]",921.284696
3,"[117, 406]",923.417064
3,"[349, 394]",941.205024
3,"[117, 275]",944.099761
3,"[82, 406]",963.918703
3,"[5, 314]",965.182992
3,"[27, 314]",1010.84927
3,"[141, 260]",1079.717905
3,"[260, 273]",1140.373483
3,"[83, 283]",1617.304525
4,"[225, 295]",493.879916
4,"[244, 264]",612.822895
4,"[132, 273]",676.223634
4,"[147, 233]",712.589463
4,"[168, 406]",722.184663
4,"[216, 386]",744.701825
4,"[141, 386]",762.8664
4,"[6, 350]",767.430197
4,"[82, 292]",795.998661
4,"[141, 275]",806.254243
4,"[314, 337]",837.981549
4,"[201, 386]",852.393204
4,"[82, 350]",862.316268
4,"[27, 220]",867.429677
4,"[6, 81]",886.358329
4,"[43, 275]",889.978897
4,"[275, 349]",895.657897
4,"[288, 364]",921.284696
4,"[117, 406]",923.417064
4,"[43, 394]",935.465596
4,"[349, 394]",941.205024
4,"[117, 275]",944.099761
4,"[201, 311]",944.164236
4,"[82, 406]",963.918703
4,"[5, 314]",965.182992
4,"[27, 314]",1010.84927
4,"[141, 260]",1079.717905
4,"[260, 273]",1140.373483
4,"[83, 283]",1617.304525
4,"[190, 406]",1667.785015
4,"[203, 283]",1671.738515
4,"[81, 283]",1757.235992
5,"[5, 65]",651.342025
5,"[220, 360]",750.701894
5,"[203, 364]",751.656629
5,"[203, 386]",794.411597
5,"[82, 337]",810.264204
5,"[117, 273]",882.215085
5,"[275, 349]",895.657897
5,"[27, 406]",904.075855
5,"[188, 288]",907.770876
5,"[311, 330]",911.643011
5,"[288, 364]",921.284696
5,"[117, 406]",923.417064
5,"[43, 394]",935.465596
5,"[349, 394]",941.205024
5,"[117, 275]",944.099761
5,"[201, 311]",944.164236
5,"[82, 406]",963.918703
5,"[5, 314]",965.182992
5,"[82, 275]",985.352443
5,"[27, 314]",1010.84927
5,"[275, 314]",1013.441892
5,"[141, 260]",1079.717905
5,"[260, 273]",1140.373483
5,"[190, 295]",1493.235905
5,"[132, 283]",1572.470302
5,"[83, 283]",1617.304525
5,"[190, 406]",1667.785015
5,"[203, 283]",1671.738515
5,"[94, 288]",1697.600736
5,"[81, 283]",1757.235992
5,"[27, 283]",1758.032136
5,"[190, 314]",1770.079106
6,"[132, 399]",526.962693
6,"[203, 277]",553.964494
6,"[274, 337]",598.806878
6,"[188, 375]",706.076936
