gen,filename,score
1,"[20, 192]",362.853965
1,"[86, 252]",495.666531
1,"[350, 383]",577.950347
1,"[199, 437]",580.21385
1,"[404, 438]",594.702392
1,"[115, 264]",606.527081
1,"[58, 383]",607.347252
1,"[326, 438]",615.075469
1,"[71, 259]",634.393229
1,"[253, 296]",645.540655
1,"[103, 186]",647.735079
1,"[43, 97]",662.187576
1,"[147, 327]",672.234908
1,"[15, 25]",679.981307
1,"[11, 269]",701.589222
1,"[95, 286]",703.189853
1,"[267, 422]",704.825799
1,"[111, 387]",715.586625
1,"[207, 418]",718.63537
1,"[48, 381]",729.117379
1,"[63, 175]",735.506912
1,"[17, 33]",771.014473
1,"[272, 361]",771.178591
1,"[24, 254]",820.889405
1,"[33, 275]",862.344342
1,"[56, 409]",914.210575
1,"[270, 353]",947.004735
1,"[33, 304]",951.192443
1,"[191, 321]",998.969062
1,"[421, 436]",1064.971434
1,"[116, 369]",1276.991554
1,"[96, 331]",1321.655027
2,"[71, 248]",576.706437
2,"[261, 286]",616.132265
2,"[327, 337]",617.638477
2,"[33, 383]",635.188209
2,"[207, 383]",653.080956
2,"[267, 422]",704.825799
2,"[111, 387]",715.586625
2,"[15, 219]",716.01009
2,"[207, 418]",718.63537
2,"[48, 381]",729.117379
2,"[147, 436]",733.388234
2,"[63, 175]",735.506912
2,"[272, 409]",740.826714
2,"[272, 436]",749.628999
2,"[140, 387]",769.63523
2,"[17, 33]",771.014473
2,"[272, 361]",771.178591
2,"[24, 254]",820.889405
2,"[377, 387]",829.94249
2,"[48, 321]",833.576216
2,"[11, 321]",836.757379
2,"[33, 275]",862.344342
2,"[175, 267]",866.678769
2,"[56, 409]",914.210575
2,"[270, 353]",947.004735
2,"[33, 304]",951.192443
2,"[208, 369]",987.166662
2,"[191, 321]",998.969062
2,"[61, 321]",1050.831581
2,"[421, 436]",1064.971434
2,"[116, 369]",1276.991554
2,"[96, 331]",1321.655027
3,"[344, 422]",559.321664
3,"[183, 208]",652.446493
3,"[59, 327]",655.45117
3,"[11, 436]",699.215128
3,"[48, 254]",702.016702
3,"[272, 361]",771.178591
3,"[177, 377]",805.364446
3,"[24, 436]",814.438118
3,"[24, 254]",820.889405
3,"[66, 353]",827.391462
3,"[377, 387]",829.94249
3,"[48, 321]",833.576216
3,"[11, 321]",836.757379
3,"[15, 436]",837.552311
3,"[186, 387]",847.397866
3,"[33, 275]",862.344342
3,"[175, 267]",866.678769
3,"[272, 321]",886.38
3,"[261, 411]",894.936703
3,"[56, 409]",914.210575
3,"[197, 369]",921.982171
3,"[207, 321]",944.843434
3,"[270, 353]",947.004735
3,"[33, 304]",951.192443
3,"[208, 369]",987.166662
3,"[191, 321]",998.969062
3,"[61, 321]",1050.831581
3,"[240, 369]",1052.089112
3,"[421, 436]",1064.971434
3,"[116, 369]",1276.991554
3,"[96, 331]",1321.655027
3,"[96, 321]",1387.66681
4,"[208, 224]",564.648933
4,"[197, 299]",608.312948
4,"[197, 254]",646.135545
4,"[48, 254]",702.016702
4,"[183, 294]",720.337324
4,"[66, 387]",758.102591
4,"[208, 331]",776.915216
4,"[175, 267]",866.678769
4,"[177, 254]",867.920687
4,"[272, 321]",886.38
4,"[261, 411]",894.936703
4,"[48, 411]",906.674469
4,"[361, 387]",907.188577
4,"[56, 409]",914.210575
4,"[197, 369]",921.982171
4,"[61, 361]",935.221498
4,"[207, 321]",944.843434
4,"[270, 353]",947.004735
4,"[33, 304]",951.192443
4,"[175, 387]",958.16074
4,"[208, 369]",987.166662
4,"[191, 321]",998.969062
4,"[116, 361]",1015.909972
4,"[61, 321]",1050.831581
4,"[240, 369]",1052.089112
4,"[290, 377]",1064.011054
4,"[421, 436]",1064.971434
4,"[309, 421]",1071.010754
4,"[96, 254]",1256.087639
4,"[116, 369]",1276.991554
4,"[96, 331]",1321.655027
4,"[96, 321]",1387.66681
5,"[197, 261]",543.698223
5,"[202, 270]",545.372047
5,"[240, 329]",569.871731
5,"[183, 224]",587.415419
5,"[197, 387]",745.744403
5,"[309, 436]",786.458964
5,"[33, 436]",788.785616
5,"[66, 321]",789.817018
5,"[191, 254]",867.568418
5,"[321, 361]",938.918507
5,"[207, 321]",944.843434
5,"[270, 353]",947.004735
5,"[33, 304]",951.192443
5,"[175, 387]",958.16074
5,"[48, 369]",978.124984
5,"[208, 369]",987.166662
5,"[191, 321]",998.969062
5,"[361, 411]",1012.199993
5,"[116, 361]",1015.909972
5,"[61, 321]",1050.831581
5,"[240, 369]",1052.089112
5,"[290, 377]",1064.011054
5,"[421, 436]",1064.971434
5,"[309, 421]",1071.010754
5,"[254, 290]",1126.313839
5,"[321, 421]",1202.212207
5,"[96, 409]",1240.486933
5,"[96, 436]",1249.810121
5,"[96, 254]",1256.087639
5,"[116, 369]",1276.991554
5,"[96, 331]",1321.655027
5,"[96, 321]",1387.66681
6,"[103, 309]",692.554999
6,"[361, 436]",801.85237
6,"[112, 331]",817.884742
6,"[261, 321]",821.494479
6,"[183, 387]",833.672558
6,"[309, 331]",858.262437
6,"[191, 436]",861.628764
6,"[33, 321]",925.586413
6,"[282, 369]",939.489523
6,"[122, 436]",961.017997
6,"[191, 321]",998.969062
6,"[361, 411]",1012.199993
6,"[116, 361]",1015.909972
6,"[191, 304]",1023.753769
6,"[61, 321]",1050.831581
6,"[240, 369]",1052.089112
6,"[290, 377]",1064.011054
6,"[421, 436]",1064.971434
6,"[309, 421]",1071.010754
6,"[361, 369]",1083.771253
6,"[254, 290]",1126.313839
6,"[59, 96]",1185.5453
6,"[321, 421]",1202.212207
6,"[38, 116]",1226.496565
6,"[96, 409]",1240.486933
6,"[96, 436]",1249.810121
6,"[96, 254]",1256.087639
6,"[116, 369]",1276.991554
6,"[290, 353]",1295.974244
6,"[96, 331]",1321.655027
6,"[116, 290]",1335.071993
6,"[96, 321]",1387.66681
7,"[183, 185]",658.289412
7,"[101, 254]",668.432988
7,"[33, 169]",687.708911
7,"[103, 254]",692.917351
7,"[361, 418]",713.380512
7,"[287, 436]",718.70752
7,"[361, 409]",792.791596
7,"[182, 353]",916.139839
7,"[309, 321]",924.529132
7,"[304, 361]",964.099859
7,"[321, 402]",995.110432
7,"[183, 369]",1010.042364
7,"[83, 290]",1049.443245
7,"[290, 377]",1064.011054
7,"[421, 436]",1064.971434
7,"[309, 421]",1071.010754
7,"[361, 369]",1083.771253
7,"[254, 290]",1126.313839
7,"[59, 96]",1185.5453
7,"[321, 421]",1202.212207
7,"[38, 116]",1226.496565
7,"[96, 409]",1240.486933
7,"[96, 436]",1249.810121
