gen,filename,score
1,"[144, 334]",402.680378
1,"[50, 396]",495.864992
1,"[99, 302]",499.127178
1,"[52, 139]",547.460771
1,"[20, 198]",561.647094
1,"[371, 400]",569.253529
1,"[50, 201]",607.363712
1,"[251, 334]",627.655827
1,"[30, 213]",638.266069
1,"[255, 399]",648.624063
1,"[243, 246]",665.759823
1,"[47, 326]",671.708666
1,"[197, 200]",675.952137
1,"[113, 317]",679.627135
1,"[52, 184]",685.690962
1,"[62, 72]",688.159087
1,"[156, 444]",696.58688
1,"[201, 244]",708.869816
1,"[246, 345]",722.15172
1,"[217, 240]",727.895952
1,"[276, 357]",745.289778
1,"[170, 271]",764.000139
1,"[334, 394]",775.320932
1,"[2, 304]",797.829856
1,"[175, 419]",806.441132
1,"[130, 387]",839.605601
1,"[13, 366]",850.719852
1,"[27, 230]",900.528703
1,"[266, 441]",900.681893
1,"[151, 389]",914.321387
1,"[366, 423]",942.117766
1,"[127, 131]",1069.512439
2,"[121, 156]",492.251412
2,"[144, 240]",515.463008
2,"[50, 72]",519.872165
2,"[52, 399]",591.609206
2,"[317, 350]",616.968367
2,"[2, 230]",683.537631
2,"[156, 444]",696.58688
2,"[201, 244]",708.869816
2,"[246, 345]",722.15172
2,"[217, 240]",727.895952
2,"[30, 200]",735.319452
2,"[276, 357]",745.289778
2,"[170, 271]",764.000139
2,"[130, 194]",772.087941
2,"[334, 394]",775.320932
2,"[2, 304]",797.829856
2,"[175, 419]",806.441132
2,"[130, 345]",815.00155
2,"[130, 387]",839.605601
2,"[13, 366]",850.719852
2,"[27, 114]",861.365364
2,"[201, 366]",863.464359
2,"[27, 230]",900.528703
2,"[266, 441]",900.681893
2,"[151, 389]",914.321387
2,"[357, 394]",922.068637
2,"[366, 423]",942.117766
2,"[131, 217]",966.215059
2,"[243, 304]",967.456389
2,"[260, 334]",1004.084733
2,"[127, 131]",1069.512439
2,"[151, 419]",1081.890845
3,"[30, 144]",445.23331
3,"[2, 366]",676.56328
3,"[170, 240]",707.196163
3,"[244, 366]",708.907329
3,"[189, 444]",709.109914
3,"[27, 156]",711.800315
3,"[52, 366]",771.626807
3,"[13, 240]",798.610058
3,"[10, 394]",803.247157
3,"[175, 419]",806.441132
3,"[27, 217]",809.750873
3,"[130, 345]",815.00155
3,"[130, 387]",839.605601
3,"[13, 366]",850.719852
3,"[27, 114]",861.365364
3,"[201, 366]",863.464359
3,"[201, 271]",868.907792
3,"[230, 366]",870.436426
3,"[30, 266]",874.413013
3,"[27, 230]",900.528703
3,"[266, 441]",900.681893
3,"[151, 389]",914.321387
3,"[357, 394]",922.068637
3,"[366, 423]",942.117766
3,"[131, 217]",966.215059
3,"[243, 304]",967.456389
3,"[200, 266]",987.299551
3,"[260, 334]",1004.084733
3,"[68, 394]",1045.612075
3,"[131, 366]",1049.564166
3,"[127, 131]",1069.512439
3,"[151, 419]",1081.890845
4,"[144, 341]",518.750839
4,"[62, 389]",520.950304
4,"[2, 114]",645.092959
4,"[359, 394]",758.594799
4,"[201, 441]",770.639913
4,"[244, 394]",785.638318
4,"[16, 200]",787.87624
4,"[130, 398]",819.943988
4,"[27, 240]",841.393465
4,"[366, 366]",863.505475
4,"[201, 271]",868.907792
4,"[230, 366]",870.436426
4,"[30, 266]",874.413013
4,"[10, 107]",885.970599
4,"[27, 303]",899.336358
4,"[27, 230]",900.528703
4,"[266, 441]",900.681893
4,"[151, 389]",914.321387
4,"[260, 389]",914.366153
4,"[357, 394]",922.068637
4,"[366, 423]",942.117766
